Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",01/12/2020,Recoveries Account - Other Payables,Corporate Payments,"Personal Expense, Name Withheld",370217,63.89,Default-recoveries Account - Other Payables,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",02/12/2020,Recoveries Account - Other Payables,Corporate Payments,Xl Joinery Ltd,370319,153.6,Default-recoveries Account - Other Payables,WF17 8NE,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",03/12/2020,Recoveries Account - Other Payables,Corporate Payments,Institute Of Directors,370436,155.81,Default-recoveries Account - Other Payables,SW1Y 5ED,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",07/12/2020,Recoveries Account - Other Payables,Corporate Payments,"Personal Expense, Name Withheld",370764,114.02,Default-recoveries Account - Other Payables,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",09/12/2020,Payroll Ogd Recharge,Corporate Payments,Legal And General Assurance Society Ltd,371215,12753.37,Default-payroll Ogd Recharge,CF24 0EB,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",09/12/2020,Payroll Ogd Recharge,Corporate Payments,Legal And General Assurance Society Ltd,371216,82230.99,Default-payroll Ogd Recharge,CF24 0EB,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",17/12/2020,Payment To Barclaycard For Erac (Enterprise-rent-a-car),Corporate Payments,Barclays Bank Plc,372492,174,Default-payment To Barclaycard For Erac (Enterprise-rent-a-car),TS17 6YT,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",17/12/2020,Gpc New Procedures,Corporate Payments,Barclays Bank Plc,372495,86954.03,Default-gpc New Procedures,TS17 6YT,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",18/12/2020,Gpc New Procedures,Corporate Payments,"Personal Expense, Name Withheld",372689,-64.89,Default-gpc New Procedures,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",21/12/2020,Recoveries Account - Other Payables,Corporate Payments,Islington Centre For English Ltd,372983,404.28,Default-recoveries Account - Other Payables,N1 9PF,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",21/12/2020,Recoveries Account - Other Payables,Corporate Payments,Repsol Sinopec Resources Uk Ltd,372988,50,Default-recoveries Account - Other Payables,AB10 6BZ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",01/12/2020,Current Grants To Local Government,"Industrial Strategy, Science And Innovation - Business Growth",Wiltshire Council,370098,5838.28,Local Business Improvement Networks-current Grants To Local Government,BA14 8JD,WGA ONLY,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",01/12/2020,Current Grants To Local Government,"Industrial Strategy, Science And Innovation - Business Growth",Hampshire County Council,370103,4692.78,Local Business Improvement Networks-current Grants To Local Government,SO23 8UJ,WGA ONLY,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",02/12/2020,Stationery,"Industrial Strategy, Science And Innovation - Business Growth","Personal Expense, Name Withheld",370380,136.51,Mf Devolved Admin-stationery,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",03/12/2020,Exp - Miscellaneous Expenditure - Iexpenses,"Industrial Strategy, Science And Innovation - Business Growth","Personal Expense, Name Withheld",370514,74.98,Eu Exit Core Beis Staff: Res & Inn Workstream Adm-exp - Miscellaneous Expenditure - Iexpenses,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16/12/2020,Telecoms Equipment,"Industrial Strategy, Science And Innovation - Business Growth",Language Line Ltd T/A Language Line Solutions,372101,31.16,Business Support Helpline-telecoms Equipment,E14 5NR,VENDOR,,,,,,,,,,,,,,,,,,
