Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",08 July 2020,Legal Services and Advice Agency,Corporate Services - Legal Services,2 Hare Court,354481,886.00,Litigation and Government Legal Department-Legal Services and Advice Agency,EC4Y 7BH,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",08 July 2020,Legal Services and Advice Agency,Corporate Services - Legal Services,2 Hare Court,354482,466.00,Litigation and Government Legal Department-Legal Services and Advice Agency,EC4Y 7BH,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",28 July 2020,Legal Services and Advice Agency,Corporate Services - Legal Services,6 KBW College Hill,356435,2710.00,Litigation and Government Legal Department-Legal Services and Advice Agency,EC4R 2RP,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",14 July 2020,Other Professional Services,Energy Transformation and Clean Growth - Industrial Energy,A. Stufkens,354770,730.00,MF Devolved Admin-Other Professional Services,3068 HD,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",28 July 2020,Professional Training,Corporate Services - Human Resources,Acacia Learning Ltd,356408,5471.66,MF Non Devolved Admin-Professional Training,SE23 3HG,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",24 July 2020,Learning and Dev - CS Skills,Corporate Services - Human Resources,Academy of Executive Coaching Ltd,356206,4500.00,MF Non Devolved Admin-Learning and Dev - CS Skills,AL1 4DL,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",03 July 2020,R & D Current Grants to Private Sector - NPISH,"Industrial Strategy, Science and Innovation - International Science and Innovation",ACADEMY OF MEDICAL SCIENCES,354051,2375.00,Academy of Medical Sciences-R & D Current Grants to Private Sector - NPISH,W1B 1QH,GRANT
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",03 July 2020,R & D Current Grants to Private Sector - NPISH,"Industrial Strategy, Science and Innovation - International Science and Innovation",ACADEMY OF MEDICAL SCIENCES,354051,163368.00,Academy of Medical Sciences-R & D Current Grants to Private Sector - NPISH,W1B 1QH,GRANT
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",03 July 2020,R & D Current Grants to Private Sector - NPISH,"Industrial Strategy, Science and Innovation - International Science and Innovation",ACADEMY OF MEDICAL SCIENCES,354060,1196250.00,Academy of Medical Sciences: 2018-2021 R&D uplift Skills-R & D Current Grants to Private Sector - NPISH,W1B 1QH,GRANT
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",01 July 2020,Grant-In-Aid to Arms Length Bodies,Market Frameworks - Labour Market,ACAS,352701,3800000.00,ACAS Non-Budget-Grant-In-Aid to Arms Length Bodies,NW1 3JJ,WGA ONLY
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",07 July 2020,Leasing of Motor Vehicles,"Corporate Services - Policy, Delivery and Private Office",ADDISON LEE plc,354267,-644.57,MF Devolved Admin-Leasing of Motor Vehicles,NW1 3ER,VENDOR
