Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",06/04/2021,Recoveries Account - Other Payables,Corporate Payments,Davies Turner And Co Ltd,388770,19.2,Default-recoveries Account - Other Payables,DA2 6QJ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",13/04/2021,Recoveries Account - Other Payables,Corporate Payments,Oil And Gas Authority,389980,30.3,Default-recoveries Account - Other Payables,WC1B 3HF,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",13/04/2021,Recoveries Account - Other Payables,Corporate Payments,"Personal Expense, Name Withheld",389981,143.22,Default-recoveries Account - Other Payables,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",13/04/2021,Recoveries Account - Other Payables,Corporate Payments,"Personal Expense, Name Withheld",389982,143.22,Default-recoveries Account - Other Payables,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",13/04/2021,Recoveries Account - Other Payables,Corporate Payments,Murdock Hardwood Industries Ltd,389984,19.2,Default-recoveries Account - Other Payables,BT34 1LD,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",14/04/2021,Payment To Barclaycard For Erac (Enterprise-rent-a-car),Corporate Payments,Barclays Bank Plc,390073,482.82,Default-payment To Barclaycard For Erac (Enterprise-rent-a-car),TS17 6YT,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",14/04/2021,Gpc New Procedures,Corporate Payments,Barclays Bank Plc,390076,110922.94,Default-gpc New Procedures,TS17 6YT,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",19/04/2021,Gpc New Procedures,Corporate Payments,"Personal Expense, Name Withheld",390625,-122.43,Default-gpc New Procedures,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",21/04/2021,Recoveries Account - Other Payables,Corporate Payments,Libra Scale Company Ltd T/A The Libra Company,390784,3.84,Default-recoveries Account - Other Payables,CB8 0AT,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",21/04/2021,Payroll Ogd Recharge,Corporate Payments,Legal And General Assurance Society Ltd,390818,13019.42,Default-payroll Ogd Recharge,CF24 0EB,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",21/04/2021,Payroll Ogd Recharge,Corporate Payments,Legal And General Assurance Society Ltd,390820,80858.74,Default-payroll Ogd Recharge,CF24 0EB,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",01/04/2021,Consultancy Expenditure,"Industrial Strategy, Science And Innovation - Business Growth",Hatch Associates Ltd,388624,23762.74,Mf Devolved Admin-consultancy Expenditure,EC4A 3AG,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",01/04/2021,Current Grants To Local Government,"Industrial Strategy, Science And Innovation - Business Growth",Staffordshire County Council,388730,67500,Peer Networks-current Grants To Local Government,ST16 2DH,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",06/04/2021,Current Grants To Local Government,"Industrial Strategy, Science And Innovation - Business Growth",Cheshire East Borough Council,388866,70633.09,Peer Networks-current Grants To Local Government,CW11 1HZ,WGA ONLY
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",06/04/2021,Current Grants To Local Government,"Industrial Strategy, Science And Innovation - Business Growth",Walsall Metropolitan Borough Council,388904,18770.8,Peer Networks-current Grants To Local Government,WS1 1TP,GRANT
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",07/04/2021,Current Grants To Local Government,"Industrial Strategy, Science And Innovation - Business Growth",Greater London Authority,389209,75992.25,Peer Networks-current Grants To Local Government,SE1 2AA,WGA ONLY
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",07/04/2021,Current Grants To Private Sector - Npish,"Industrial Strategy, Science And Innovation - Business Growth",The Productivity Group Ltd,389267,293757,Productivity Council-current Grants To Private Sector - Npish,SW1P 1BX,GRANT
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",08/04/2021,Telecoms Equipment,"Industrial Strategy, Science And Innovation - Business Growth",Language Line Ltd T/A Language Line Solutions,389440,47.88,Business Support Helpline-telecoms Equipment,E14 5NR,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",08/04/2021,Telecoms Equipment,"Industrial Strategy, Science And Innovation - Business Growth",Language Line Ltd T/A Language Line Solutions,389441,66.12,Business Support Helpline-telecoms Equipment,E14 5NR,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",08/04/2021,Current Grants To Local Government,"Industrial Strategy, Science And Innovation - Business Growth",Buckinghamshire Council,389445,46524.54,Peer Networks-current Grants To Local Government,HP20 1UD,WGA ONLY
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",09/04/2021,Current Grants To Local Government,"Industrial Strategy, Science And Innovation - Business Growth",Buckinghamshire Council,389623,50044.79,Peer Networks-current Grants To Local Government,HP20 1UD,WGA ONLY
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",12/04/2021,Current Grants To Local Government,"Industrial Strategy, Science And Innovation - Business Growth",Wiltshire Council,389654,65620.96,Peer Networks-current Grants To Local Government,BA14 8JD,WGA ONLY
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",13/04/2021,Stationery,"Industrial Strategy, Science And Innovation - Business Growth","Personal Expense, Name Withheld",389926,28.99,Mf Devolved Admin-stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",14/04/2021,Current Grants To Local Government,"Industrial Strategy, Science And Innovation - Business Growth",Staffordshire County Council,390230,52500,Peer Networks-current Grants To Local Government,ST16 2DH,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",14/04/2021,Current Grants To Local Government,"Industrial Strategy, Science And Innovation - Business Growth",Kingston Upon Hull City Council,390236,21818.2,Peer Networks-current Grants To Local Government,HU1 2AB,WGA ONLY
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",14/04/2021,Current Grants To Local Government,"Industrial Strategy, Science And Innovation - Business Growth",Shropshire Council,390245,21280.76,Peer Networks-current Grants To Local Government,SY2 6ND,WGA ONLY
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15/04/2021,Business Management Advice,"Industrial Strategy, Science And Innovation - Business Growth",Umi Commercial Ltd,390256,243380.76,Business Support Helpline-business Management Advice,SR7 7TT,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15/04/2021,Current Grants To Private Sector - Npish,"Industrial Strategy, Science And Innovation - Business Growth",The Productivity Group Ltd,390290,168807,Productivity Council-current Grants To Private Sector - Npish,SW1P 1BX,GRANT
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16/04/2021,Current Grants To Local Government,"Industrial Strategy, Science And Innovation - Business Growth",Cornwall Council,390438,45000,Peer Networks-current Grants To Local Government,TR1 3AY,WGA ONLY
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",22/04/2021,Current Grants To Local Government,"Industrial Strategy, Science And Innovation - Business Growth",Portsmouth City Council,390930,78608.16,Peer Networks-current Grants To Local Government,PO1 2AR,WGA ONLY
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",26/04/2021,Current Grants To Private Sector - Npish,"Industrial Strategy, Science And Innovation - Business Growth",The Chartered Association Of Business Schools,390951,3439961.53,Small Business Leadership Programme-current Grants To Private Sector - Npish,EC4R 1DD,GRANT
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",26/04/2021,Exp - Miscellaneous Expenditure - Iexpenses,"Industrial Strategy, Science And Innovation - Business Growth","Personal Expense, Name Withheld",391251,100,Mf Devolved Admin-exp - Miscellaneous Expenditure - Iexpenses,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",07/04/2021,Rail Travel Uk,"People, Strategy And Higher Education - Strategy And Growth","Personal Expense, Name Withheld",389223,4.8,Mf Devolved Admin-rail Travel Uk,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",07/04/2021,Subsistence Uk,"People, Strategy And Higher Education - Strategy And Growth","Personal Expense, Name Withheld",389223,5,Mf Devolved Admin-subsistence Uk,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",07/04/2021,Subsistence Uk,"People, Strategy And Higher Education - Strategy And Growth","Personal Expense, Name Withheld",389223,15,Mf Devolved Admin-subsistence Uk,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",09/04/2021,Ict Maintenance & Upkeep,"People, Strategy And Higher Education - Strategy And Growth",Bit Zesty Ltd,389620,5669.5,Db: Queens Award-ict Maintenance & Upkeep,N1 9PF,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",12/04/2021,Ict Maintenance & Upkeep,"People, Strategy And Higher Education - Strategy And Growth",Bit Zesty Ltd,389634,12240,Db: Queens Award-ict Maintenance & Upkeep,N1 9PF,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",23/04/2021,R & D Outsourced Other,"People, Strategy And Higher Education - Strategy And Growth",Oliver Wyman Ltd,390839,10000,Mf Devolved Admin-r & D Outsourced Other,W1U 8EW,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",23/04/2021,Ict Maintenance & Upkeep,"People, Strategy And Higher Education - Strategy And Growth",Bit Zesty Ltd,391064,-3900,Db: Queens Award-ict Maintenance & Upkeep,N1 9PF,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",23/04/2021,Ict Maintenance & Upkeep,"People, Strategy And Higher Education - Strategy And Growth",Bit Zesty Ltd,391064,8220,Db: Queens Award-ict Maintenance & Upkeep,N1 9PF,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",23/04/2021,Ict Maintenance & Upkeep,"People, Strategy And Higher Education - Strategy And Growth",Bit Zesty Ltd,391065,12785.7,Db: Queens Award-ict Maintenance & Upkeep,N1 9PF,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",08/04/2021,Economic Consultancy & Research,Market Frameworks - Dg & Group Support,"Department For Culture, Media And Sport",388304,6750,Mf Devolved Admin-economic Consultancy & Research,SW1A 2BQ,WGA ONLY
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",01/04/2021,Economic Consultancy & Research,Market Frameworks - Dg & Group Support,National Centre For Social Research (Natcen),388724,117000,Mf Devolved Admin-economic Consultancy & Research,EC1V 0AX,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",06/04/2021,Economic Consultancy & Research,Market Frameworks - Dg & Group Support,Behavioural Insights Ltd,388859,11666.67,Mf Devolved Admin-economic Consultancy & Research,SW1H 9NP,GRANT
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",06/04/2021,Economic Consultancy & Research,Market Frameworks - Dg & Group Support,Behavioural Insights Ltd,388860,-1166.67,Mf Devolved Admin-economic Consultancy & Research,SW1H 9NP,GRANT
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",06/04/2021,Economic Consultancy & Research,Market Frameworks - Dg & Group Support,Behavioural Insights Ltd,388860,12833.34,Mf Devolved Admin-economic Consultancy & Research,SW1H 9NP,GRANT
