Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",02/06/2021,Payroll Ogd Recharge,Corporate Payments,Legal And General Assurance Society Ltd,395660,14926.27,Default-payroll Ogd Recharge,CF24 0EB,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",02/06/2021,Payroll Ogd Recharge,Corporate Payments,Legal And General Assurance Society Ltd,395661,87769.14,Default-payroll Ogd Recharge,CF24 0EB,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",03/06/2021,Recoveries Account - Other Payables,Corporate Payments,Hess Ltd,395662,36.25,Default-recoveries Account - Other Payables,77010,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",03/06/2021,Recoveries Account - Other Payables,Corporate Payments,Rockrose Ukcs8 Llc,395663,49874.1,Default-recoveries Account - Other Payables,AB15 6FZ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",07/06/2021,Recoveries Account - Other Payables,Corporate Payments,Carlton Furniture Limited,396008,1.92,Default-recoveries Account - Other Payables,NG10 4QE,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",08/06/2021,Recoveries Account - Other Payables,Corporate Payments,Maison Furniture Group Ltd,396183,9.6,Default-recoveries Account - Other Payables,CB7 5BA,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",08/06/2021,Recoveries Account - Other Payables,Corporate Payments,Public Health England,396184,37.5,Default-recoveries Account - Other Payables,SP4 OJG,GRANT
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",08/06/2021,Recoveries Account - Other Payables,Corporate Payments,Department For International Trade,396407,108,Default-recoveries Account - Other Payables,NP10 8QQ,WGA ONLY
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",10/06/2021,Recoveries Account - Other Payables,Corporate Payments,Tsg Uk Solutions Ltd,396573,384,Default-recoveries Account - Other Payables,DD2 5HU,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15/06/2021,Payment To Barclaycard For Erac (Enterprise-rent-a-car),Corporate Payments,Barclays Bank Plc,397016,611.4,Default-payment To Barclaycard For Erac (Enterprise-rent-a-car),TS17 6YT,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15/06/2021,Gpc New Procedures,Corporate Payments,Barclays Bank Plc,397019,52727.94,Default-gpc New Procedures,TS17 6YT,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16/06/2021,Employees Other Deductions,Corporate Payments,Hm Revenue And Customs,397077,447679,Default-employees Other Deductions,BD98 8AA,WGA ONLY
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16/06/2021,National Insurance Deductions,Corporate Payments,Hm Revenue And Customs,397078,6102027.95,Default-national Insurance Deductions,BD98 8AA,WGA ONLY
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16/06/2021,Tax Deductions,Corporate Payments,Hm Revenue And Customs,397079,4833884.92,Default-tax Deductions,BD98 8AA,WGA ONLY
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16/06/2021,Tax Deductions,Corporate Payments,Hm Revenue And Customs,397080,157502,Default-tax Deductions,BD98 8AA,WGA ONLY
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16/06/2021,Avc Equitable Life,Corporate Payments,Equitable Life Assurance Society (The),397081,76.98,Default-avc Equitable Life,HP21 7QW,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16/06/2021,Bis Ben Health Care,Corporate Payments,Benenden Healthcare Society Ltd,397082,3794.5,Default-bis Ben Health Care,YO2 2DT,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16/06/2021,Birm Hospital Saturday Fund,Corporate Payments,The British Healthcare Association,397083,226.19,Default-birm Hospital Saturday Fund,NW15 6DD,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16/06/2021,Cash For Health,Corporate Payments,The British Healthcare Association,397084,13.26,Default-cash For Health,NW15 6DD,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16/06/2021,Charitable Giving,Corporate Payments,Charity Aid Foundation,397085,4879.44,Default-charitable Giving,ME19 4TA,VENDOR
