Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",04/05/2021,Recoveries Account - Other Payables,Corporate Payments,Amphenol Ltd,391823,9,Default-recoveries Account - Other Payables,CT5 3JF,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",05/05/2021,Payroll Ogd Recharge,Corporate Payments,Legal And General Assurance Society Ltd,392168,14551.46,Default-payroll Ogd Recharge,CF24 0EB,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",05/05/2021,Payroll Ogd Recharge,Corporate Payments,Legal And General Assurance Society Ltd,392171,88598.68,Default-payroll Ogd Recharge,CF24 0EB,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",17/05/2021,Payment To Barclaycard For Erac (Enterprise-rent-a-car),Corporate Payments,Barclays Bank Plc,393714,95.68,Default-payment To Barclaycard For Erac (Enterprise-rent-a-car),TS17 6YT,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",17/05/2021,Gpc New Procedures,Corporate Payments,Barclays Bank Plc,393716,65152.45,Default-gpc New Procedures,TS17 6YT,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",18/05/2021,Recoveries Account - Other Payables,Corporate Payments,Leonardo Uk Ltd,393784,199.99,Default-recoveries Account - Other Payables,SS14 3EL,GRANT
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",20/05/2021,Season Ticket Loan,Corporate Payments,"Ministry Of Housing, Communities & Local Government",394277,383.63,Default-season Ticket Loan,HP2 4XN,WGA ONLY
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",06/05/2021,Current Grants To Local Government,"Industrial Strategy, Science And Innovation - Business Growth",Cumbria County Council,392306,33087.24,Peer Networks-current Grants To Local Government,CA1 1RD,WGA ONLY
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",06/05/2021,Current Grants To Local Government,"Industrial Strategy, Science And Innovation - Business Growth",Cumbria County Council,392307,15000,Peer Networks-current Grants To Local Government,CA1 1RD,WGA ONLY
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",06/05/2021,Current Grants To Local Government,"Industrial Strategy, Science And Innovation - Business Growth",Cumbria County Council,392309,30000,Peer Networks-current Grants To Local Government,CA1 1RD,WGA ONLY
