Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Department for Education,DfE Core,21/12/2020,"Marketing, Media and Comms",COMMUNICATIONS DIRECTORATE,OMD GROUP TA MANNING GOTTLIEB OMD LTD,CORE-PCR-000447,-63333.00,Digital media and web production
Department for Education,DfE Core,21/12/2020,"Marketing, Media and Comms",COMMUNICATIONS DIRECTORATE,OMD GROUP TA MANNING GOTTLIEB OMD LTD,CORE-PINV-010569,63333.00,Digital media and web production
Department for Education,DfE Core,03/12/2020,Grants expenditure,CHILDRENS SOCIAL CARE,EARLY INTERVENTION FOUNDATION,CORE-MAIN-009126,155716.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,DfE Core,03/12/2020,Grants expenditure,CHILDRENS SOCIAL CARE,THE FOSTERING NETWORK,CORE-MAIN-009127,70678.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,DfE Core,03/12/2020,Grants expenditure,CHILDRENS SOCIAL CARE,What Works for Children's Social Care,CORE-MAIN-009128,780000.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,DfE Core,11/12/2020,Grants expenditure,CHILDRENS SOCIAL CARE,DAYBREAK FAMILY GROUP CONFERENCES,CORE-MAIN-009333,44817.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,DfE Core,11/12/2020,Grants expenditure,CHILDRENS SOCIAL CARE,PAUSE CREATING SPACE FOR CHANGE,CORE-MAIN-009334,1010605.80,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,DfE Core,11/12/2020,Grants expenditure,CHILDRENS SOCIAL CARE,FAMILY RIGHTS GROUP LTD,CORE-MAIN-009335,400000.00,Capital grants paid to third sector / not for profit organisation
Department for Education,DfE Core,11/12/2020,Grants expenditure,CHILDRENS SOCIAL CARE,What Works for Children's Social Care,CORE-MAIN-009336,3160000.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,DfE Core,31/12/2020,Grants expenditure,CHILDRENS SOCIAL CARE,LONDON BOROUGH OF RICHMOND UPON THAMES DCSF,CORE-MAIN-010126,278006.00,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,CHILDRENS SOCIAL CARE,HAMPSHIRE COUNTY COUNCIL,CORE-MAIN-010127,29043.00,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,CHILDRENS SOCIAL CARE,ISLINGTON LONDON BOROUGH COUNCIL,CORE-MAIN-010128,31523.00,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,CHILDRENS SOCIAL CARE,LEEDS CITY COUNCIL,CORE-MAIN-010129,342990.00,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,CHILDRENS SOCIAL CARE,LINCOLNSHIRE COUNTY COUNCIL,CORE-MAIN-010130,364150.18,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,CHILDRENS SOCIAL CARE,NORTH YORKSHIRE COUNTY COUNCIL,CORE-MAIN-010131,349354.00,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,CHILDRENS SOCIAL CARE,CAMDEN LONDON BOROUGH COUNCIL,CORE-MAIN-010132,30000.00,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,CHILDRENS SOCIAL CARE,CHESHIRE WEST & CHESTER COUNCIL,CORE-MAIN-010133,88540.00,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,CHILDRENS SOCIAL CARE,STOCKPORT METRO BOROUGH COUNCIL,CORE-MAIN-010134,113810.00,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,CHILDRENS SOCIAL CARE,NORTH TYNESIDE METRO BOROUGH COUNCIL,CORE-MAIN-010135,173000.00,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,CHILDRENS SOCIAL CARE,SOUTH TYNESIDE COUNCIL,CORE-MAIN-010136,66272.00,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,CHILDRENS SOCIAL CARE,DONCASTER CHILDRENS SERVICES TRUST,CORE-MAIN-010140,106739.03,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,DfE Core,22/12/2020,Other Goods & Services,CHILDRENS SOCIAL CARE,Kantar UK Ltd,CORE-PINV-012771,53987.00,Research and Development
Department for Education,DfE Core,22/12/2020,Other Goods & Services,CHILDRENS SOCIAL CARE,MUTUAL VENTURES LTD,CORE-PINV-012775,112453.20,Other Professional Services
Department for Education,DfE Core,31/12/2020,Grants expenditure,CHILDRENS SOCIAL CARE,NSPCC,CORE-MAIN-010141,100000.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,DfE Core,01/12/2020,Other Goods & Services,CHILDRENS SOCIAL CARE,THE DARTINGTON HALL TRUST,CORE-PINV-011534,88268.25,Other Professional Services
Department for Education,DfE Core,09/12/2020,Other Goods & Services,CHILDRENS SOCIAL CARE,SQW Limited,CORE-PINV-011897,36000.00,Research and Development
Department for Education,DfE Core,17/12/2020,Other Goods & Services,CHILDRENS SOCIAL CARE,FARSIGHT CONSULTING LIMITED,CORE-PINV-012341,34644.00,Research and Development
Department for Education,DfE Core,03/12/2020,Grants expenditure,CHILDRENS SOCIAL CARE,Brighter Futures for Children Ltd,CORE-MAIN-009129,1435875.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,DfE Core,03/12/2020,Grants expenditure,CHILDRENS SOCIAL CARE,SLOUGH CHILDRENS SERVICES TRUST LTD,CORE-MAIN-009130,175640.25,Grants to educational establishments or not for profit organisations including other businesses
