Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Department for Education,Core,11/06/2021,IS/IT,Operational Finance,KAINOS WORKSMART LTD,CORE-PINV-022031,22532.58,Software licences
Department for Education,Core,25/06/2021,Other Goods & Services,Operational Finance,DELOITTE LLP,CORE-PINV-022206,21556.00,Professional Services - Accountancy
Department for Education,Core,04/06/2021,Other Costs,Operational Finance,IBM UK LTD,CORE-PINV-021718,54048.75,Software development
Department for Education,Core,08/06/2021,IS/IT,Operational Finance,Agile Management Solutions Limited,CORE-PINV-021766,35700.00,Systems Development
Department for Education,Core,08/06/2021,IS/IT,Operational Finance,Agile Management Solutions Limited,CORE-PINV-021767,142800.00,Systems Development
Department for Education,Core,08/06/2021,Other Costs,Operational Finance,Total Enterprise Solutions,CORE-PINV-021781,25925.00,Software development
Department for Education,Core,14/06/2021,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-022049,300000.00,Rentals
Department for Education,Core,14/06/2021,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-022051,129726.00,Rentals
Department for Education,Core,14/06/2021,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-022052,139611.92,Rentals
Department for Education,Core,14/06/2021,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-022054,54435.69,Rentals
Department for Education,Core,14/06/2021,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-022057,30555.42,Rentals
Department for Education,Core,14/06/2021,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-022058,78024.30,Rentals
Department for Education,Core,14/06/2021,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-022100,36896.91,Rentals
Department for Education,Core,14/06/2021,Staff - Other,Operational Finance,Cabinet Office,CORE-PINV-021883,120000.00,Personnel Related
Department for Education,Core,16/06/2021,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-022039,38591.70,Rentals
Department for Education,Core,17/06/2021,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-022294,26694.45,Rentals
Department for Education,Core,21/06/2021,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-022381,83799.32,Rentals
Department for Education,Core,21/06/2021,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-022384,97949.13,Rentals
Department for Education,Core,21/06/2021,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-022385,40018.21,Rentals
Department for Education,Core,23/06/2021,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-022551,51082.25,Rentals
Department for Education,Core,23/06/2021,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-022553,15746.92,Rentals
Department for Education,Core,23/06/2021,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PINV-022553,4721.21,Estates Management
