Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Department for Education,DEPARTMENT FOR EDUCATION,03/02/2020,Other costs,SOCIAL CARE MOBILITY AND DISADVANTAGE,OFFICE OF THE CHILDRENS COMMISSIONER,30000729,259000.00,Current grants paid to organisations including arms length bodies and educational establishments
Department for Education,DEPARTMENT FOR EDUCATION,03/02/2020,Other Goods & Services,CHILDRENS SOCIAL CARE,MUTUAL VENTURES LTD,1041110227,68944.58,"Fees / expenses of professionals such as auditors, accountants, lawyers, etc. engaged to provide advice or opinion on how to affect something"
Department for Education,DEPARTMENT FOR EDUCATION,03/02/2020,Other Goods & Services,CHILDRENS SOCIAL CARE,MUTUAL VENTURES LTD,1041110227,13788.92,"Fees / expenses of professionals such as auditors, accountants, lawyers, etc. engaged to provide advice or opinion on how to affect something"
Department for Education,DEPARTMENT FOR EDUCATION,11/02/2020,Grants expenditure,CHILDRENS SOCIAL CARE,SURREY COUNTY COUNCIL,1041111360,694656.00,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,12/02/2020,Grants expenditure,CHILDRENS SOCIAL CARE,BARNARDOS,1041111434,70878.93,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,DEPARTMENT FOR EDUCATION,14/02/2020,Grants expenditure,CHILDRENS SOCIAL CARE,PAUSE CREATING SPACE FOR CHANGE,1041112272,100708.08,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,DEPARTMENT FOR EDUCATION,14/02/2020,Other Goods & Services,CHILDRENS SOCIAL CARE,BEHAVIOURAL INSIGHTS LTD,1041112297,39416.74,Research and Development
Department for Education,DEPARTMENT FOR EDUCATION,14/02/2020,Grants expenditure,CHILDRENS SOCIAL CARE,DAYBREAK FAMILY GROUP CONFERENCES,1041112315,50259.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,DEPARTMENT FOR EDUCATION,17/02/2020,Other Goods & Services,CHILDRENS SOCIAL CARE,UNIVERSITY OF SUSSEX,1041112421,77498.00,Research and Development
Department for Education,DEPARTMENT FOR EDUCATION,17/02/2020,Other Goods & Services,CHILDRENS SOCIAL CARE,THE TAVISTOCK INSTITUTE OF HUMAN RELATIONS,1041112441,41000.00,Research and Development
