Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Department for Education,DEPARTMENT FOR EDUCATION,17/03/2020,Other Goods & Services,COMMUNICATIONS DIRECTORATE,DEFINE RESEARCH & INSIGHT LTD,1041117507,30550,Research and Development
Department for Education,DEPARTMENT FOR EDUCATION,03/03/2020,Other costs,SOCIAL CARE MOBILITY AND DISADVANTAGE,OFFICE OF THE CHILDRENS COMMISSIONER,30000755,323000,Current grants paid to organisations including arms length bodies and educational establishments
Department for Education,DEPARTMENT FOR EDUCATION,03/03/2020,Other Goods & Services,CHILDRENS SOCIAL CARE,KANTAR UK LTD,1041114995,62620,Research and Development
Department for Education,DEPARTMENT FOR EDUCATION,03/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,THE FOSTERING NETWORK,1041115650,46290,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,DEPARTMENT FOR EDUCATION,03/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,THE FOSTERING NETWORK,1041115650,126974.75,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,DEPARTMENT FOR EDUCATION,04/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,HERTFORDSHIRE COUNTY COUNCIL,1041116004,1195941,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,04/03/2020,Other Goods & Services,CHILDRENS SOCIAL CARE,NESTA,1041116015,129206.48,"Fees / expenses of professionals such as auditors, accountants, lawyers, etc. engaged to provide advice or opinion on how to affect something"
Department for Education,DEPARTMENT FOR EDUCATION,04/03/2020,Other Goods & Services,CHILDRENS SOCIAL CARE,NESTA,1041116015,152149.61,"Fees / expenses of professionals such as auditors, accountants, lawyers, etc. engaged to provide advice or opinion on how to affect something"
Department for Education,DEPARTMENT FOR EDUCATION,04/03/2020,Other Goods & Services,CHILDRENS SOCIAL CARE,NESTA,1041116015,25341.3,"Fees / expenses of professionals such as auditors, accountants, lawyers, etc. engaged to provide advice or opinion on how to affect something"
Department for Education,DEPARTMENT FOR EDUCATION,04/03/2020,Other Goods & Services,CHILDRENS SOCIAL CARE,NESTA,1041116015,28125.72,"Fees / expenses of professionals such as auditors, accountants, lawyers, etc. engaged to provide advice or opinion on how to affect something"
