Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,,,,,,,,,
Department for Education,Core,26/05/2022,Staff - Temporary Staff,Operational Finance,Actica Consulting Ltd,CORE-PINV-038079,"32,756.40 ",Short term & agency staff,,,,,,,,,
Department for Education,Core,06/05/2022,IS/IT,Operational Finance,Agile Management Solutions Limited,CORE-PINV-037095,"43,286.50 ",Systems Development,,,,,,,,,
Department for Education,Core,16/05/2022,IS/IT,Operational Finance,Total Enterprise Solutions,CORE-PINV-037411,"24,496.25 ",ICT Support & Services,,,,,,,,,
Department for Education,Core,16/05/2022,IS/IT,Operational Finance,Total Enterprise Solutions,CORE-PINV-037493,"75,897.78 ",ICT Support & Services,,,,,,,,,
Department for Education,Core,06/05/2022,Other Costs,Operational Finance,Agile Management Solutions Limited,CORE-PINV-037094,"173,146.00 ",Software Development,,,,,,,,,
Department for Education,Core,25/05/2022,Staff - Other,Operational Finance,Cabinet Office,CORE-PINV-038048,"98,400.00 ",Personnel Related,,,,,,,,,
Department for Education,Core,30/05/2022,Accommodation & Estates - Maintenance,Operational Finance,Government Property Agency,CORE-PINV-038191,"1,066.54 ",Maintenance & Repairs,,,,,,,,,
Department for Education,Core,30/05/2022,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PINV-038191,"4,766.58 ",Estates Management,,,,,,,,,
Department for Education,Core,30/05/2022,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-038191,"61,439.51 ",Rentals,,,,,,,,,
Department for Education,Core,30/05/2022,Accommodation & Estates - Maintenance,Operational Finance,Government Property Agency,CORE-PINV-038193,"1,416.26 ",Maintenance & Repairs,,,,,,,,,
Department for Education,Core,30/05/2022,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PINV-038193,"5,139.10 ",Estates Management,,,,,,,,,
Department for Education,Core,30/05/2022,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-038193,"79,527.55 ",Rentals,,,,,,,,,
Department for Education,Core,30/05/2022,Accommodation & Estates - Maintenance,Operational Finance,Government Property Agency,CORE-PINV-038183,"2,733.16 ",Maintenance & Repairs,,,,,,,,,
Department for Education,Core,30/05/2022,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PINV-038183,"6,548.07 ",Estates Management,,,,,,,,,
Department for Education,Core,30/05/2022,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-038183,"152,844.11 ",Rentals,,,,,,,,,
Department for Education,Core,30/05/2022,Accommodation & Estates - Maintenance,Operational Finance,Government Property Agency,CORE-PINV-038192,"3,931.24 ",Maintenance & Repairs,,,,,,,,,
Department for Education,Core,30/05/2022,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PINV-038192,"7,825.26 ",Estates Management,,,,,,,,,
Department for Education,Core,30/05/2022,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-038192,"218,570.29 ",Rentals,,,,,,,,,
Department for Education,Core,30/05/2022,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PINV-038185,"3,627.50 ",Estates Management,,,,,,,,,
Department for Education,Core,30/05/2022,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-038185,"54,435.69 ",Rentals,,,,,,,,,
Department for Education,Core,30/05/2022,Accommodation & Estates - Maintenance,Operational Finance,Government Property Agency,CORE-PINV-038186,"15,581.83 ",Maintenance & Repairs,,,,,,,,,
Department for Education,Core,30/05/2022,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PINV-038186,"4,942.13 ",Estates Management,,,,,,,,,
