Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Department for Education,Core,01/04/2021,Learning & Development,TECHNOLOGY DIRECTORATE TOTAL,GNOS TEC LTD,CORE-PINV-018843,35020.00,Training & Development costs
Department for Education,Core,01/04/2021,Other Goods & Services,TECHNOLOGY DIRECTORATE TOTAL,SMART SOURCING PLC,CORE-PINV-017388,30182.40,Other Professional Services
Department for Education,Core,01/04/2021,IS/IT,TECHNOLOGY DIRECTORATE TOTAL,Bytes Software Services Ltd,CORE-PINV-018850,126802.07,IS/IT Services - End user Hardware & Software
Department for Education,Core,06/04/2021,IS/IT,TECHNOLOGY CAPITAL,SMART SOURCING PLC,CORE-PINV-017032,44800.00,Software Development
Department for Education,Core,01/04/2021,IS/IT,SYSTEMS AND ACCOUNTABILITY,AGILE SOLUTIONS GB LTD,CORE-PINV-018530,58866.00,IS/IT Services
Department for Education,Core,01/04/2021,IS/IT,SYSTEMS AND ACCOUNTABILITY,INFORMATICA SOFTWARE LTD,CORE-PINV-018758,36408.00,IS/IT Systems Operations
Department for Education,Core,06/04/2021,IS/IT,SYSTEMS AND ACCOUNTABILITY,RM EDUCATION PLC,CORE-PINV-018891,388200.00,IS/IT Systems Operations
Department for Education,Core,01/04/2021,IS/IT,SYSTEMS AND ACCOUNTABILITY,HIVE IT LIMITED,CORE-PINV-018819,30132.00,IS/IT Systems Operations
Department for Education,Core,01/04/2021,Other Goods & Services,EY AND SCHOOLS STRATEGY TOTAL,Hempsall Consultancies Ltd.,CORE-PINV-018826,50100.00,Other Professional Services
Department for Education,Core,07/04/2021,Grants expenditure,EY AND SCHOOLS STRATEGY TOTAL,SHEFFIELD HALLAM UNIVERSITY,CUPS0023441,36540.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,07/04/2021,Grants expenditure,EY AND SCHOOLS STRATEGY TOTAL,UNIVERSITY OF GREENWICH,CUPS0023445,30446.67,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,07/04/2021,Grants expenditure,EY AND SCHOOLS STRATEGY TOTAL,UNIVERSITY OF SUSSEX,CUPS0023449,25618.33,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,07/04/2021,Grants expenditure,EY AND SCHOOLS STRATEGY TOTAL,MIDDLESEX UNIVERSITY,CUPS0023452,27720.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,07/04/2021,Grants expenditure,EY AND SCHOOLS STRATEGY TOTAL,University of Bedfordshire,CUPS0023453,33840.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,07/04/2021,Grants expenditure,EY AND SCHOOLS STRATEGY TOTAL,ESSEX PRY SCHOOLS TRAINING GROUP,CUPS0023455,54630.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,07/04/2021,Grants expenditure,EY AND SCHOOLS STRATEGY TOTAL,E-QUALITAS PROFESSIONAL SERVICES LIMITED,CUPS0023456,147150.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,07/04/2021,Grants expenditure,EY AND SCHOOLS STRATEGY TOTAL,ASHTON-ON-MERSEY SCHOOL,CUPS0023529,95400.00,"Grants paid to organisations including agencies, arms length bodies and educational establishments"
Department for Education,Core,07/04/2021,Grants expenditure,ASSESSMENT AND CURRICULUM AND GENERAL QUALIFICATIONS,Wycombe High School,CORE-MAIN-017677,184320.02,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,07/04/2021,Grants expenditure,ASSESSMENT AND CURRICULUM AND GENERAL QUALIFICATIONS,UNIVERSITY OF CAMBRIDGE,CORE-MAIN-017678,231965.93,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,01/04/2021,Learning & Development,ASSESSMENT AND CURRICULUM AND GENERAL QUALIFICATIONS,IOP INSTITUTE OF PHYSICS,CORE-PINV-018761,240310.00,Training & Development costs
Department for Education,Core,07/04/2021,Grants expenditure,ASSESSMENT AND CURRICULUM AND GENERAL QUALIFICATIONS,UNIVERSITY OF CAMBRIDGE,CUPS0022833,-208051.58,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,07/04/2021,Grants expenditure,ASSESSMENT AND CURRICULUM AND GENERAL QUALIFICATIONS,UNIVERSITY OF CAMBRIDGE,CUPS0022834,249661.90,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,07/04/2021,Grants expenditure,ASSESSMENT AND CURRICULUM AND GENERAL QUALIFICATIONS,UNIVERSITY OF CAMBRIDGE,CUPS0022835,-231965.93,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,07/04/2021,Grants expenditure,ASSESSMENT AND CURRICULUM AND GENERAL QUALIFICATIONS,UNIVERSITY OF CAMBRIDGE,CUPS0022836,278359.12,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,01/04/2021,Contractors,ASSESSMENT AND CURRICULUM AND GENERAL QUALIFICATIONS,UNIVERSITY COLLEGE LONDON,CORE-PINV-018746,31287.99,Funding to deliver policies (excluding consultancy) paid to third parties via a service delivery contract
Department for Education,Core,06/04/2021,Other Goods & Services,ASSESSMENT AND CURRICULUM AND GENERAL QUALIFICATIONS,UNIVERSITY OF YORK,CORE-PINV-018824,93081.00,Other Professional Services
Department for Education,Core,07/04/2021,Grants expenditure,EARLY YEARS AND SCHOOLS GROUP,NEW SCHOOLS NETWORK,CORE-MAIN-017721,125101.32,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,01/04/2021,Other costs,STUDENT FINANCE DELIVERY,STUDENT LOANS CO LTD INVEST TO SAVE,CUPS0022904,29286235.36,Current grants paid to organisations including arms length bodies and educational establishments
Department for Education,Core,01/04/2021,Other costs,STUDENT FINANCE DELIVERY,STUDENT LOANS CO LTD INVEST TO SAVE,CUPS0022905,94803.87,Current grants paid to organisations including arms length bodies and educational establishments
Department for Education,Core,01/04/2021,Grants expenditure,STUDENT FINANCE DELIVERY,STUDENT LOANS COMPANY LTD,CUPS0022842,42880410.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,Core,01/04/2021,Student Payments,STUDENT FINANCE DELIVERY,STUDENT LOANS COMPANY LTD,CUPS0022837,100307.00,Payments for new student loans
Department for Education,Core,01/04/2021,Student Payments,STUDENT FINANCE DELIVERY,STUDENT LOANS COMPANY LTD,CUPS0022838,1019002744.00,Payments for new student loans
Department for Education,Core,01/04/2021,Student Payments,STUDENT FINANCE DELIVERY,STUDENT LOANS COMPANY LTD,CUPS0022839,6269253.00,Payments for new student loans
