Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Department for Education,Core,06/04/2022,Other Goods & Services,Operational Finance,MONTAGU EVANS LLP,CORE-PINV-035735,"151,410.00",Professional Services - Accountancy
Department for Education,Core,06/04/2022,IS/IT,Operational Finance,Agile Management Solutions Limited,CORE-PINV-035759,"45,011.00",Systems Development
Department for Education,Core,06/04/2022,Other Costs,Operational Finance,Agile Management Solutions Limited,CORE-PINV-035758,"180,044.00",Software development
Department for Education,Core,06/04/2022,Other Costs,Operational Finance,Agile Management Solutions Limited,CORE-PINV-035760,"33,097.50",Software development
Department for Education,Core,06/04/2022,Other Costs,Operational Finance,Total Enterprise Solutions,CORE-PINV-035748,"101,031.00",Software development
Department for Education,Core,08/04/2022,Other Goods & Services,Operational Finance,HM Treasury Group,CORE-PINV-035862,"533,690.25",Professional Services
Department for Education,Core,04/04/2022,Accommodation & Estates - Maintenance,Operational Finance,Government Property Agency,CORE-PINV-035486,"73,958.40",Maintenance & Repairs
Department for Education,Core,04/04/2022,Accommodation & Estates - Fuel & Utilities,Operational Finance,Government Property Agency,CORE-PINV-035486,"29,639.40",Electricity
Department for Education,Core,19/04/2022,Accommodation & Estates - Maintenance,Operational Finance,Government Property Agency,CORE-PINV-035860,"679,095.08",Maintenance & Repairs
Department for Education,Core,21/04/2022,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PINV-033151,"621,546.00",Building Service Charge
Department for Education,Core,21/04/2022,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PINV-033151,"837,859.00",Building Service Charge
Department for Education,Core,25/04/2022,Accommodation & Estates - Maintenance,Operational Finance,Government Property Agency,CORE-PCR-001262,"-108,829.55",Maintenance & Repairs
Department for Education,Core,25/04/2022,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PCR-001262,"-11,700.35",Rentals
Department for Education,Core,25/04/2022,Accommodation & Estates - Maintenance,Operational Finance,Government Property Agency,CORE-PINV-036580,"229,937.91",Maintenance & Repairs
Department for Education,Core,25/04/2022,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-036580,"252,559.04",Rentals
Department for Education,Core,25/04/2022,Accommodation & Estates - Maintenance,Operational Finance,Government Property Agency,CORE-PINV-036576,"14,743.28",Maintenance & Repairs
Department for Education,Core,25/04/2022,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PINV-036576,"4,551.19",Estates Management
Department for Education,Core,25/04/2022,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-036576,"80,250.99",Rentals
Department for Education,Core,25/04/2022,Accommodation & Estates - Maintenance,Operational Finance,Government Property Agency,CORE-PINV-036572,"5,250.00",Maintenance & Repairs
