Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Department for Education,Core,31/08/2021,Grants Expenditure,Regional Delivery Directorate,1Excellence Trust,CORE-MAIN-023072,50000,Current grants - Academy Trust
Department for Education,Core,23/08/2021,Other Goods & Services,Commercial,2BUY2.COM LTD,CORE-PINV-024870,160556,Professional Services
Department for Education,Core,13/08/2021,Grants Expenditure,Get Help With Tech,Abzorb Systems Ltd,CORE-PINV-024479,715038.77,Capital grants - Private Sector
Department for Education,Core,12/08/2021,Grants Expenditure,Regional Delivery Directorate,Acorn Education Trust,CORE-MAIN-022473,43700,Current grants - Academy Trust
Department for Education,Core,12/08/2021,Grants Expenditure,Regional Delivery Directorate,Advance Learning Partnership,CORE-MAIN-022483,50000,Current grants - Academy Trust
Department for Education,Core,06/08/2021,IS/IT,Operational Finance,Agile Management Solutions Limited,CORE-PINV-024283,168032,Systems Development
Department for Education,Core,06/08/2021,IS/IT,Operational Finance,Agile Management Solutions Limited,CORE-PINV-024284,42008,Systems Development
Department for Education,Core,10/08/2021,IS/IT,Data,AGILE SOLUTIONS GB LTD,CORE-PINV-024412,51510,ICT repair & maintenance
Department for Education,Core,12/08/2021,Other Costs,Teaching Workforce,Alexander Mann Solutions Ltd,CORE-PINV-024579,30796.5,Software Development
Department for Education,Core,18/08/2021,Staff - Temporary Staff,Education Recovery Directorate (CRSR),Alexander Mann Solutions Ltd,CORE-PINV-024767,33198.9,Short term & agency staff
Department for Education,Core,09/08/2021,Other Goods & Services,Operational Finance,Allen Lane Limited,CORE-PINV-024334,25080,Professional Services
Department for Education,Core,06/08/2021,Other Goods & Services,Teaching Workforce,AMBITION INSTITUTE,CORE-PINV-024286,34659.1,Other
Department for Education,Core,06/08/2021,Other Goods & Services,Teaching Workforce,AMBITION INSTITUTE,CORE-PINV-024269,184157,Professional Services - Education Services
Department for Education,Core,26/08/2021,Other Goods & Services,Teaching Workforce,AMBITION INSTITUTE,CORE-PINV-025133,41181.59,Professional Services - Education Services
Department for Education,Core,02/08/2021,Staff - Temporary Staff,Commercial,ANDIGITAL LIMITED,CORE-PINV-024036,106080,Short term & agency staff
Department for Education,Core,31/08/2021,Other Costs,Teaching Workforce,ANDIGITAL LIMITED,CORE-PINV-025180,98230,Software Development
