Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,,,,,,,,,
Department for Education,Core,12/12/2022,Other Costs,Operational Finance,AGILE MANAGEMENT SOLUTIONS LTD,CORE-PINV-048142,"5,477.11 ",Software Development,,,,,,,,,
Department for Education,Core,12/12/2022,Other Costs,Operational Finance,AGILE MANAGEMENT SOLUTIONS LTD,CORE-PINV-048142,"5,477.11 ",Software Development,,,,,,,,,
Department for Education,Core,12/12/2022,Other Costs,Operational Finance,AGILE MANAGEMENT SOLUTIONS LTD,CORE-PINV-048142,"10,954.21 ",Software Development,,,,,,,,,
Department for Education,Core,12/12/2022,Other Costs,Operational Finance,AGILE MANAGEMENT SOLUTIONS LTD,CORE-PINV-048142,"21,908.43 ",Software Development,,,,,,,,,
Department for Education,Core,12/12/2022,Other Costs,Operational Finance,AGILE MANAGEMENT SOLUTIONS LTD,CORE-PINV-048142,"175,267.40 ",Software Development,,,,,,,,,
Department for Education,Core,16/12/2022,Auditors Services,Operational Finance,HM Treasury Group,CORE-PINV-048705,"533,809.75 ",Assurance,,,,,,,,,
Department for Education,Core,02/12/2022,Accommodation & Estates - Maintenance,Operational Finance,Government Property Agency,CORE-PINV-047444,839.28 ,Maintenance & Repairs,,,,,,,,,
Department for Education,Core,02/12/2022,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PINV-047444,"3,627.50 ",Estates Management,,,,,,,,,
Department for Education,Core,02/12/2022,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-047444,"41,691.97 ",Rentals,,,,,,,,,
Department for Education,Core,02/12/2022,Accommodation & Estates - Maintenance,Operational Finance,Government Property Agency,CORE-PCR-001718,"-84,099.35 ",Maintenance & Repairs,,,,,,,,,
Department for Education,Core,02/12/2022,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PCR-001718,"-17,201.70 ",Rentals,,,,,,,,,
Department for Education,Core,02/12/2022,Accommodation & Estates - Maintenance,Operational Finance,Government Property Agency,CORE-PINV-047648,"107,720.42 ",Maintenance & Repairs,,,,,,,,,
Department for Education,Core,02/12/2022,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PINV-047648,"8,561.48 ",Estates Management,,,,,,,,,
Department for Education,Core,02/12/2022,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-047648,"189,860.02 ",Rentals,,,,,,,,,
Department for Education,Core,02/12/2022,Accommodation & Estates - Maintenance,Operational Finance,Government Property Agency,CORE-PINV-047452,"2,733.16 ",Maintenance & Repairs,,,,,,,,,
Department for Education,Core,02/12/2022,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PINV-047452,"6,548.07 ",Estates Management,,,,,,,,,
Department for Education,Core,02/12/2022,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-047452,"152,844.11 ",Rentals,,,,,,,,,
Department for Education,Core,02/12/2022,Accommodation & Estates - Maintenance,Operational Finance,Government Property Agency,CORE-PINV-047450,"1,416.26 ",Maintenance & Repairs,,,,,,,,,
Department for Education,Core,02/12/2022,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PINV-047450,"5,139.10 ",Estates Management,,,,,,,,,
Department for Education,Core,02/12/2022,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-047450,"79,527.55 ",Rentals,,,,,,,,,
Department for Education,Core,02/12/2022,Accommodation & Estates - Maintenance,Operational Finance,Government Property Agency,CORE-PINV-047647,"241,485.95 ",Maintenance & Repairs,,,,,,,,,
Department for Education,Core,02/12/2022,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PINV-047647,"22,991.95 ",Estates Management,,,,,,,,,
