Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,09/06/2020,Other Goods & Services,COMMUNICATIONS DIRECTORATE,CM Monitor (BritainThinks) Limited,CORE-PINV-003046,32600.00,Provision of boarding activities - other costs
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,03/06/2020,Learning & Development,SCMD  CENTRAL,CAPITA BUSINESS SERVICES,CORE-PINV-002454,24915.06,Training & Development costs
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,30/06/2020,Grants expenditure,CHILDRENS SOCIAL CARE,MAYORS OFFICE FOR POLICING AND CRIME,CORE-MAIN-002322,128463.00,Grants to other public bodies
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,18/06/2020,Other Goods & Services,CHILDRENS SOCIAL CARE,ECORYS UK LTD,CORE-PINV-001124,97906.80,Research and Development
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,18/06/2020,Other Goods & Services,CHILDRENS SOCIAL CARE,ECORYS UK LTD,CORE-PINV-001339,44443.20,Research and Development
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,03/06/2020,Other Goods & Services,CHILDRENS SOCIAL CARE,NESTA,CORE-PINV-001433,104435.00,"Fees / expenses of professionals such as auditors, accountants, lawyers, etc. engaged to provide advice or opinion on how to affect something"
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,03/06/2020,Other Goods & Services,CHILDRENS SOCIAL CARE,NESTA,CORE-PINV-001433,358587.56,"Fees / expenses of professionals such as auditors, accountants, lawyers, etc. engaged to provide advice or opinion on how to affect something"
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,18/06/2020,Other Goods & Services,CHILDRENS SOCIAL CARE,THE TAVISTOCK INSTITUTE OF HUMAN RELATIONS,CORE-PINV-001543,25284.00,Research and Development
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,18/06/2020,Other Goods & Services,CHILDRENS SOCIAL CARE,KINGS COLLEGE LONDON,CORE-PINV-001926,52246.00,Research and Development
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,05/06/2020,Other Goods & Services,CHILDRENS SOCIAL CARE,UNIVERSITY OF SUSSEX,CORE-PINV-002717,162307.20,Research and Development
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,22/06/2020,Other Goods & Services,CHILDRENS SOCIAL CARE,MUTUAL VENTURES LTD,CORE-PINV-003445,44935.20,"Fees / expenses of professionals such as auditors, accountants, lawyers, etc. engaged to provide advice or opinion on how to affect something"
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,30/06/2020,Other Goods & Services,CHILDRENS SOCIAL CARE,MUTUAL VENTURES LTD,CORE-PINV-004113,89287.20,"Fees / expenses of professionals such as auditors, accountants, lawyers, etc. engaged to provide advice or opinion on how to affect something"
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,23/06/2020,Other Goods & Services,CHILDRENS SOCIAL CARE,NATIONAL CENTRE FOR SOCIAL RESEARCH,CORE-PPINV-000152,81600.00,Research and Development
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,11/06/2020,Grants expenditure,CHILDRENS SOCIAL CARE,DEPARTMENT OF HEALTH,CORE-MAIN-002170,38333.00,Capital grants to public corporations
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,11/06/2020,Grants expenditure,CHILDRENS SOCIAL CARE,THE DARTINGTON HALL TRUST,CORE-PINV-003236,204667.05,Grants to educational establishments or not for profit organisations including other businesses
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,03/06/2020,Grants expenditure,CHILDRENS SOCIAL CARE,NORTHAMPTONSHIRE COUNTY COUNCIL#DCSF,CORE-MAIN-000276,654904.44,Grants to local authorities outside aggregate external funding or aggregate exchequer grant
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,03/06/2020,Grants expenditure,CHILDRENS SOCIAL CARE,NORTHAMPTONSHIRE COUNTY COUNCIL#DCSF,CORE-MAIN-001034,332940.66,Grants to local authorities
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,03/06/2020,Grants expenditure,CHILDRENS SOCIAL CARE,NORTHAMPTONSHIRE COUNTY COUNCIL#DCSF,CORE-MAIN-001900,122936.00,Grants to local authorities
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,11/06/2020,Grants expenditure,CHILDRENS SOCIAL CARE,TOGETHER FOR CHILDREN SUNDERLAND,CORE-MAIN-002171,39280.00,Grants to educational establishments or not for profit organisations including other businesses
