Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,,,,,,,,,
Department for Education,Core,23/06/2022,Auditors Services,Operational Finance,NATIONAL AUDIT OFFICE,CORE-PINV-039285,"160,000.00 ",Assurance,,,,,,,,,
Department for Education,Core,08/06/2022,IS/IT,Operational Finance,Agile Management Solutions Limited,CORE-PINV-038508,"50,602.00 ",Systems Development,,,,,,,,,
Department for Education,Core,08/06/2022,Other Costs,Operational Finance,Agile Management Solutions Limited,CORE-PINV-038509,"202,408.00 ",Software Development,,,,,,,,,
Department for Education,Core,17/06/2022,Other Costs,Operational Finance,Total Enterprise Solutions,CORE-PINV-039000,"24,575.00 ",Find postgraduate teacher training servi,,,,,,,,,
Department for Education,Core,24/06/2022,Other Costs,Operational Finance,Dun & Bradstreet,CORE-PINV-038948,"80,556.06 ",cloud data match service ,,,,,,,,,
Department for Education,Core,06/06/2022,IS/IT,Operational Finance,Total Enterprise Solutions,CORE-PINV-037483,"28,203.00 ",Components & Peripherals,,,,,,,,,
Department for Education,Core,16/06/2022,Accommodation & Estates - Maintenance,Operational Finance,Government Property Agency,CORE-PINV-038995,"212,164.93 ",Maintenance & Repairs,,,,,,,,,
Department for Education,Core,16/06/2022,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PINV-038995,"22,891.25 ",Estates Management,,,,,,,,,
Department for Education,Core,16/06/2022,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-038995,"461,590.75 ",Rentals,,,,,,,,,
Department for Education,Core,16/06/2022,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-038993,"128,843.88 ",Rentals,,,,,,,,,
Department for Education,Core,16/06/2022,Accommodation & Estates - Maintenance,Operational Finance,Government Property Agency,CORE-PINV-038991,"2,733.16 ",Maintenance & Repairs,,,,,,,,,
Department for Education,Core,16/06/2022,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PINV-038991,"6,548.07 ",Estates Management,,,,,,,,,
Department for Education,Core,16/06/2022,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-038991,"152,844.11 ",Rentals,,,,,,,,,
Department for Education,Core,16/06/2022,Accommodation & Estates - Maintenance,Operational Finance,Government Property Agency,CORE-PINV-038990,"1,416.26 ",Maintenance & Repairs,,,,,,,,,
Department for Education,Core,16/06/2022,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PINV-038990,"5,139.10 ",Estates Management,,,,,,,,,
Department for Education,Core,16/06/2022,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-038990,"79,527.55 ",Rentals,,,,,,,,,
Department for Education,Core,16/06/2022,Accommodation & Estates - Maintenance,Operational Finance,Government Property Agency,CORE-PINV-038988,"212,164.93 ",Maintenance & Repairs,,,,,,,,,
Department for Education,Core,16/06/2022,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PINV-038988,"22,891.25 ",Estates Management,,,,,,,,,
Department for Education,Core,16/06/2022,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-038988,"461,590.75 ",Rentals,,,,,,,,,
Department for Education,Core,17/06/2022,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PINV-039006,"8,110.00 ",Estates Management,,,,,,,,,
Department for Education,Core,17/06/2022,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-039006,"192,617.73 ",Rentals,,,,,,,,,
Department for Education,Core,17/06/2022,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PCR-001348,"-114,593.43 ",Rentals,,,,,,,,,
Department for Education,Core,17/06/2022,Accommodation & Estates - Maintenance,Operational Finance,Government Property Agency,CORE-PINV-039007,"104,604.22 ",Maintenance & Repairs,,,,,,,,,
Department for Education,Core,17/06/2022,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-039007,"79,669.50 ",Rentals,,,,,,,,,
Department for Education,Core,28/06/2022,Accommodation & Estates - Maintenance,Operational Finance,Government Property Agency,CORE-PINV-039010,"104,604.22 ",Maintenance & Repairs,,,,,,,,,
Department for Education,Core,28/06/2022,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PINV-039010,"3,627.50 ",Estates Management,,,,,,,,,
Department for Education,Core,28/06/2022,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PINV-039010,"11,130.00 ",Estates Management,,,,,,,,,
