Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Department for Education,Core,13/03/2023,Other Goods & Services,Operational Finance,MONTAGU EVANS LLP,CORE-PINV-053986,"86,750.00",Professional Services - Accountancy
Department for Education,Core,17/03/2023,IS/IT,Operational Finance,Actica Consulting Ltd,CORE-PINV-054515,"25,196.40",ICT repair & maintenance
Department for Education,Core,16/03/2023,Other Costs,Operational Finance,AGILE MANAGEMENT SOLUTIONS LTD,CORE-PINV-053477,"189,615.25",FSIP BC EXTENSIONS
Department for Education,Core,31/03/2023,Other Costs,Operational Finance,Mercurius IT Ltd.,CORE-PINV-055683,"42,672.00",BC Development – Debt Management Analysis
Department for Education,Core,10/03/2023,Auditors Services,Operational Finance,HM Treasury Group,CORE-PINV-053949,"533,750.00",Assurance
Department for Education,Core,08/03/2023,Learning & Development,Operational Finance,Cabinet Office,CORE-PCR-001932,"-58,932.00",Talent Development
Department for Education,Core,17/03/2023,Staff - Other,Operational Finance,HOME OFFICE,CORE-PINV-054565,"28,245.00",Recruitment Advertising
Department for Education,Core,22/03/2023,Learning & Development,Operational Finance,Live Group,CORE-PINV-054765,"39,900.00",Core Skills
Department for Education,Core,23/03/2023,Accommodation & Estates - Maintenance,Operational Finance,Government Property Agency,CORE-PINV-053245,"277,603.95",Maintenance & Repairs
Department for Education,Core,23/03/2023,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-053245,"206,576.77",Rentals
Department for Education,Core,23/03/2023,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PINV-055077,"3,755.00",Estates Management
Department for Education,Core,23/03/2023,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-055077,"102,558.81",Rentals
Department for Education,Core,23/03/2023,Accommodation & Estates - Maintenance,Operational Finance,Government Property Agency,CORE-PINV-055072,"61,955.09",Maintenance & Repairs
Department for Education,Core,23/03/2023,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PINV-055072,611.25,Estates Management
Department for Education,Core,23/03/2023,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-055072,"22,124.60",Rentals
Department for Education,Core,23/03/2023,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-055072,"122,769.67",Rentals
Department for Education,Core,23/03/2023,Accommodation & Estates - Maintenance,Operational Finance,Government Property Agency,CORE-PINV-055051,"261,557.38",Maintenance & Repairs
Department for Education,Core,23/03/2023,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PINV-055051,"46,190.06",Estates Management
Department for Education,Core,23/03/2023,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-055051,"484,533.35",Rentals
Department for Education,Core,23/03/2023,Accommodation & Estates - Maintenance,Operational Finance,Government Property Agency,CORE-PINV-055100,"16,535.26",Maintenance & Repairs
Department for Education,Core,23/03/2023,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PINV-055100,"3,755.00",Estates Management
Department for Education,Core,23/03/2023,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-055100,"95,234.42",Rentals
Department for Education,Core,24/03/2023,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PINV-055101,"2,098.75",Estates Management
Department for Education,Core,24/03/2023,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-055101,"5,904.64",Rentals
Department for Education,Core,24/03/2023,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-055101,"40,892.62",Rentals
Department for Education,Core,27/03/2023,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-055287,"38,579.43",Rentals
Department for Education,Core,24/03/2023,Accommodation & Estates - Maintenance,Operational Finance,Government Property Agency,CORE-PINV-055014,"3,991.23",Maintenance & Repairs
Department for Education,Core,24/03/2023,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PINV-055014,"6,373.37",Estates Management
Department for Education,Core,24/03/2023,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-055014,"3,645.00",Rentals
Department for Education,Core,24/03/2023,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-055014,"349,414.50",Rentals
Department for Education,Core,24/03/2023,Accommodation & Estates - Maintenance,Operational Finance,Government Property Agency,CORE-PINV-054973,"257,156.16",Maintenance & Repairs
Department for Education,Core,24/03/2023,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PINV-054973,"23,435.22",Estates Management
Department for Education,Core,24/03/2023,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-054973,"261,191.33",Rentals
Department for Education,Core,24/03/2023,Accommodation & Estates - Maintenance,Operational Finance,Government Property Agency,CORE-PINV-055103,"298,887.99",Maintenance & Repairs
Department for Education,Core,24/03/2023,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PINV-055103,"46,137.54",Estates Management
Department for Education,Core,24/03/2023,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-055103,"550,746.91",Rentals
Department for Education,Core,24/03/2023,Accommodation & Estates - Maintenance,Operational Finance,Government Property Agency,CORE-PINV-055079,"149,878.17",Maintenance & Repairs
Department for Education,Core,24/03/2023,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PINV-055079,"3,755.00",Estates Management
Department for Education,Core,24/03/2023,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-055079,"219,824.82",Rentals
Department for Education,Core,24/03/2023,Learning & Development,Operational Finance,HM Treasury Group,CORE-PINV-054618,"97,850.00",Professsions Development
Department for Education,Core,29/03/2023,Accommodation & Estates - Maintenance,Operational Finance,Government Property Agency,CORE-PINV-055728,"15,099.95",Maintenance & Repairs
Department for Education,Core,29/03/2023,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PINV-055728,"8,120.84",Estates Management
Department for Education,Core,29/03/2023,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-055728,"83,848.52",Rentals
Department for Education,Core,29/03/2023,Learning & Development,Operational Finance,Cabinet Office,CORE-PINV-055719,"58,932.00",Talent Development
Department for Education,Core,29/03/2023,Learning & Development,Operational Finance,Cabinet Office,CORE-PINV-055718,"58,932.00",Talent Development
Department for Education,Core,01/03/2023,Other Costs,Operational Finance,Arcadis LLP,CORE-PINV-052295,"119,843.42",Building Improvements
Department for Education,Core,01/03/2023,Other Costs,Operational Finance,Arcadis LLP,CORE-PINV-052359,"76,051.12",Building Improvements
Department for Education,Core,01/03/2023,Other Costs,Operational Finance,Willmott Dixon Construction Limited,CORE-PINV-053088,"63,175.69",Building Improvements
Department for Education,Core,01/03/2023,Other Costs,Operational Finance,Willmott Dixon Construction Limited,CORE-PINV-053242,"1,559,133.62",Building Improvements
Department for Education,Core,03/03/2023,Accommodation & Estates - Other,Operational Finance,WAGSTAFF BROS,CORE-PINV-052170,"104,360.47",Furniture & Fittings
Department for Education,Core,09/03/2023,Other Costs,Operational Finance,Government Property Agency,CORE-PINV-053888,"38,933.98",Estates Capital Projects
Department for Education,Core,20/03/2023,Other Costs,Operational Finance,ISG Construction Limited,CORE-PINV-054518,"57,816.05",Building Improvements
Department for Education,Core,23/03/2023,Other Costs,Operational Finance,Willmott Dixon Construction Limited,CORE-PINV-054952,"2,156,853.00",Building Improvements
Department for Education,Core,23/03/2023,Other Costs,Operational Finance,Willmott Dixon Construction Limited,CORE-PINV-054948,"66,900.00",Building Improvements
Department for Education,Core,03/03/2023,IS/IT,Funding,WELLDATA LTD,CORE-PINV-053440,"63,730.00",ICT Support & Services
Department for Education,Core,10/03/2023,Other Goods & Services,Commercial,CIPS CORPORATE SERVICES LIMITED,CORE-PINV-053896,"93,600.00",Research & Evaluation
Department for Education,Core,10/03/2023,Other Goods & Services,Commercial,CIPS CORPORATE SERVICES LIMITED,CORE-PINV-053895,"68,400.00",Research & Evaluation
Department for Education,Core,10/03/2023,Other Costs,Commercial,ENGINE GROUP LTD,CORE-PCR-001939,"-34,667.20",Get Help Buying for Schools Digital Service
Department for Education,Core,10/03/2023,Other Costs,Commercial,ENGINE GROUP LTD,CORE-PINV-053925,"34,667.20",Get Help Buying for Schools Digital Service
Department for Education,Core,10/03/2023,Other Costs,Commercial,ENGINE GROUP LTD,CORE-PINV-053862,"57,552.64",Get Help Buying for Schools Case Management
Department for Education,Core,03/03/2023,Other Goods & Services,Commercial,TOPMARK CLAIMS MANAGEMENT LTD,CORE-PINV-052304,"45,839.80",Professional Services
Department for Education,Core,03/03/2023,Other Goods & Services,Commercial,TOPMARK CLAIMS MANAGEMENT LTD,CORE-PINV-052217,"30,935.04",Professional Services
Department for Education,Core,03/03/2023,Other Goods & Services,Commercial,TOPMARK CLAIMS MANAGEMENT LTD,CORE-PINV-052228,"44,914.20",Professional Services
Department for Education,Core,17/03/2023,Other Goods & Services,Commercial,WILLIS LIMITED,CORE-PINV-054416,"118,647.00",Professional Services
Department for Education,Core,01/03/2023,Other Goods & Services,Commercial,Arcadis LLP,CORE-PINV-052138,"27,013.20",Professional Services
Department for Education,Core,24/03/2023,Grants Expenditure,Commercial,ENVIRONMENT AGENCY,CORE-PINV-055186,"5,036,000.00",Capital grants
Department for Education,Core,10/03/2023,Secondee Costs,Commercial,Cabinet Office,CORE-PINV-053963,"58,551.00",Fast Streamer Costs
Department for Education,Core,08/03/2023,Staff - Other,Human Resources,DURADIAMOND HEALTHCARE LIMITED,CORE-PINV-046785,71.26,Occupational Health
Department for Education,Core,08/03/2023,Staff - Other,Human Resources,DURADIAMOND HEALTHCARE LIMITED,CORE-PINV-046785,"35,054.32",Occupational Health
Department for Education,Core,10/03/2023,Legal,Human Resources,MINISTRY OF JUSTICE,CORE-PINV-053938,"112,740.00",Professional Services - Legal
Department for Education,Core,13/03/2023,Staff - Bonuses,Human Resources,EDENRED (INCENTIVES & MOTIVATION) LIMITED,CORE-PINV-052981,"47,135.00",Rewards & Recognition
