Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Department for Education,Core,19/11/2021,Staff - Temporary Staff,Operational Finance,Cabinet Office,CORE-PINV-028570,"44,196.00",Short term & agency staff
Department for Education,Core,19/11/2021,Staff - Temporary Staff,Operational Finance,Cabinet Office,CORE-PINV-028571,"45,936.00",Short term & agency staff
Department for Education,Core,04/11/2021,IS/IT,Operational Finance,Agile Management Solutions Limited,CORE-PINV-027899,"44,157.50",Systems Development
Department for Education,Core,04/11/2021,Other Costs,Operational Finance,Agile Management Solutions Limited,CORE-PINV-027895,"176,630.00",Software Development
Department for Education,Core,08/11/2021,Other Costs,Operational Finance,Total Enterprise Solutions,CORE-PINV-027941,"56,160.00",Software Development
Department for Education,Core,10/11/2021,Other Costs,Operational Finance,Total Enterprise Solutions,CORE-PINV-027942,"26,460.00",Software Development
Department for Education,Core,11/11/2021,Learning & Development,Operational Finance,Cabinet Office,CORE-PINV-027701,"152,721.00",Talent Development
Department for Education,Core,01/11/2021,Accommodation & Estates - Maintenance,Operational Finance,Government Property Agency,CORE-PINV-027680,"812,525.56",Maintenance & Repairs
Department for Education,Core,01/11/2021,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PINV-027680,"120,774.59",Estates Management
Department for Education,Core,01/11/2021,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-027680,"2,539,926.50",Rentals
Department for Education,Core,15/11/2021,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PCR-001005,"-31,871.48",Rentals
Department for Education,Core,15/11/2021,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PCR-001006,"-66,245.70",Rentals
Department for Education,Core,24/11/2021,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PINV-028289,"2,295.00",Estates Management
Department for Education,Core,24/11/2021,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-028289,"72,652.04",Rentals
Department for Education,Core,15/11/2021,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-028288,"934,964.21",Rentals
Department for Education,Core,24/11/2021,Accommodation & Estates - Maintenance,Operational Finance,Government Property Agency,CORE-PINV-028287,"165,006.03",Maintenance & Repairs
Department for Education,Core,24/11/2021,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PINV-028287,"8,740.25",Estates Management
Department for Education,Core,24/11/2021,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-028287,"393,610.55",Rentals
Department for Education,Core,26/11/2021,Other Costs,Operational Finance,Arcadis LLP,CORE-PINV-027448,"35,979.07",Building Improvements
Department for Education,Core,25/11/2021,Other Costs,Operational Finance,Mace Ltd,CORE-PINV-028624,"2,210,057.45",Building Improvements
Department for Education,Core,03/11/2021,IS/IT,Funding,WellData Ltd,CORE-PINV-027769,"85,652.00",ICT Support & Services
Department for Education,Core,03/11/2021,Staff - Other,Commercial,Cabinet Office,CORE-PINV-027785,"28,000.00",Recruitment Advertising
Department for Education,Core,05/11/2021,IS/IT,Commercial,Commerce Decisions Ltd,CORE-PINV-027928,"22,000.00",ICT Support & Services
Department for Education,Core,22/11/2021,Other Goods & Services,Commercial,2BUY2.COM LTD,CORE-PINV-028565,"160,164.00",Professional Services
Department for Education,Core,01/11/2021,Other Goods & Services,Commercial,PLACE GROUP LTD,CORE-PINV-027411,"119,711.00",Professional Services
Department for Education,Core,12/11/2021,Other Goods & Services,Commercial,TOPMARK CLAIMS MANAGEMENT LTD,CORE-PINV-028240,"35,429.06",Professional Services
