Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Department for Education,CORE,08/09/2022,IS/IT,Operational Finance,Agile Management Solutions Limited,CORE-PINV-042925,"25,080.50",Systems Development
Department for Education,CORE,13/09/2022,IS/IT,Operational Finance,Total Enterprise Solutions,CORE-PINV-043145,"103,389.39",ICT repair & maintenance
Department for Education,CORE,27/09/2022,IS/IT,Operational Finance,Actica Consulting Ltd,CORE-PINV-043811,"32,184.00",ICT repair & maintenance
Department for Education,CORE,13/09/2022,Other Costs,Operational Finance,Agile Management Solutions Limited,CORE-PINV-043260,"207,969.50",Software development
Department for Education,CORE,05/09/2022,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PINV-041057,"76,490.00",Building Service Charge
Department for Education,CORE,05/09/2022,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PINV-041057,"142,238.00",Building Service Charge
Department for Education,CORE,06/09/2022,Accommodation & Estates - Maintenance,Operational Finance,Government Property Agency,CORE-PINV-039700,"23,825.25",Maintenance & Repairs
Department for Education,CORE,06/09/2022,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PINV-039700,"5,751.05",Estates Management
Department for Education,CORE,06/09/2022,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-039700,"79,313.05",Rentals
Department for Education,CORE,05/09/2022,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-042518,"340,995.03",Rates
Department for Education,CORE,05/09/2022,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PCR-001501,"-83,307.27",Rates
Department for Education,CORE,05/09/2022,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PCR-001502,"-268,458.22",Rates
Department for Education,CORE,06/09/2022,Accommodation & Estates - Maintenance,Operational Finance,Government Property Agency,CORE-PINV-039703,"165,006.03",Maintenance & Repairs
Department for Education,CORE,06/09/2022,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PINV-039703,"8,740.25",Estates Management
Department for Education,CORE,06/09/2022,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-039703,"196,937.93",Rentals
Department for Education,CORE,06/09/2022,Accommodation & Estates - Maintenance,Operational Finance,Government Property Agency,CORE-PCR-001479,"-473,893.20",Maintenance & Repairs
Department for Education,CORE,06/09/2022,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PCR-001479,"-3,822.02",Estates Management
Department for Education,CORE,06/09/2022,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PCR-001479,"-340,095.53",Rentals
