Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Department for Education,Core,06/12/2021,Other Costs,Operational Finance,NIMBLE DELIVERY LTD,CORE-PINV-029280,"24,795.00",Software Development
Department for Education,Core,30/12/2021,Other Goods & Services,Operational Finance,MONTAGU EVANS LLP,CORE-PINV-030545,"327,050.00",Professional Services - Accountancy
Department for Education,Core,21/12/2021,Auditors Services,Operational Finance,NATIONAL AUDIT OFFICE,CORE-PINV-030033,"350,000.00",Assurance
Department for Education,Core,06/12/2021,IS/IT,Operational Finance,Agile Management Solutions Limited,CORE-PINV-029300,"43,673.50",Systems Development
Department for Education,Core,14/12/2021,IS/IT,Operational Finance,Total Enterprise Solutions,CORE-PINV-029702,"24,496.25",ICT Support & Services
Department for Education,Core,06/12/2021,Other Costs,Operational Finance,Agile Management Solutions Limited,CORE-PINV-029301,"174,694.00",Software Development
Department for Education,Core,06/12/2021,Other Costs,Operational Finance,Total Enterprise Solutions,CORE-PINV-029259,"29,531.25",Software Development
Department for Education,Core,06/12/2021,Other Costs,Operational Finance,Total Enterprise Solutions,CORE-PINV-029261,"67,440.00",Software Development
Department for Education,Core,24/12/2021,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PINV-030408,"3,265.50",Estates Management
Department for Education,Core,24/12/2021,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-030408,"54,435.69",Rentals
Department for Education,Core,24/12/2021,Accommodation & Estates - Maintenance,Operational Finance,Government Property Agency,CORE-PINV-030409,"14,743.28",Maintenance & Repairs
Department for Education,Core,24/12/2021,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PINV-030409,"4,551.19",Estates Management
Department for Education,Core,24/12/2021,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-030409,"80,250.99",Rentals
Department for Education,Core,24/12/2021,Accommodation & Estates - Maintenance,Operational Finance,Government Property Agency,CORE-PINV-030414,"202,614.30",Maintenance & Repairs
