Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Department for Education,Core,06/09/2021,IS/IT,Operational Finance,Agile Management Solutions Limited,CORE-PINV-025387,"37,077.00",Systems Development
Department for Education,Core,10/09/2021,IS/IT,Operational Finance,Total Enterprise Solutions,CORE-PINV-025628,"48,260.00",Systems Development
Department for Education,Core,27/09/2021,IS/IT,Operational Finance,Total Enterprise Solutions,CORE-PINV-025759,"24,496.25",ICT Support & Services
Department for Education,Core,06/09/2021,IS/IT,Operational Finance,Agile Management Solutions Limited,CORE-PINV-025388,"148,308.00",Systems Development
Department for Education,Core,15/09/2021,Other Costs,Operational Finance,Total Enterprise Solutions,CORE-PINV-025761,"22,707.21",Software development
Department for Education,Core,17/09/2021,Other Goods & Services,Operational Finance,DELOITTE LLP,CORE-PINV-025896,"36,000.00",Professional Services
Department for Education,Core,14/09/2021,Other Goods & Services,Operational Finance,HM Treasury Group,CORE-PINV-025691,"533,690.25",Professional Services
Department for Education,Core,28/09/2021,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PCR-000923,"-73,958.40",Building Service Charge
Department for Education,Core,28/09/2021,Accommodation & Estates - Maintenance,Operational Finance,Government Property Agency,CORE-PCR-000907,"-338,767.46",Maintenance & Repairs
Department for Education,Core,28/09/2021,Accommodation & Estates - Maintenance,Operational Finance,Government Property Agency,CORE-PINV-025994,"202,614.30",Maintenance & Repairs
Department for Education,Core,28/09/2021,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PINV-025994,"22,049.06",Estates Management
Department for Education,Core,28/09/2021,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-025994,"460,162.00",Rentals
Department for Education,Core,28/09/2021,Accommodation & Estates - Maintenance,Operational Finance,Government Property Agency,CORE-PINV-026171,"9,397.49",Maintenance & Repairs
Department for Education,Core,28/09/2021,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PINV-026171,"6,149.96",Estates Management
Department for Education,Core,28/09/2021,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-026171,"262,430.65",Rentals
Department for Education,Core,21/09/2021,Accommodation & Estates - Fuel & Utilities,Operational Finance,MINISTRY OF JUSTICE,CORE-PCR-000934,"-39,600.99","Other energy, utility, waste"
Department for Education,Core,21/09/2021,Accommodation & Estates - Fuel & Utilities,Operational Finance,MINISTRY OF JUSTICE,CORE-PINV-025905,"39,660.99","Other energy, utility, waste"
Department for Education,Core,01/09/2021,Other Costs,Operational Finance,Arcadis LLP,CORE-PINV-024595,"42,710.71",Buildings additions
Department for Education,Core,01/09/2021,Other Costs,Operational Finance,Arcadis LLP,CORE-PINV-025189,"27,253.13",Buildings additions
Department for Education,Core,15/09/2021,Other Costs,Operational Finance,Arcadis LLP,CORE-PINV-025871,"45,812.26",Buildings additions
Department for Education,Core,23/09/2021,Other Costs,Operational Finance,Arcadis LLP,CORE-PINV-026135,"183,409.87",Building Improvements
Department for Education,Core,14/09/2021,Other Costs,Operational Finance,Mace Ltd,CORE-PINV-025710,"70,926.65",Buildings additions
Department for Education,Core,14/09/2021,Other Costs,Operational Finance,Mace Ltd,CORE-PINV-025709,"1,062,191.47",Buildings additions
Department for Education,Core,22/09/2021,Other Costs,Operational Finance,Mace Ltd,CORE-PINV-026006,"1,778,147.72",Building Improvements
Department for Education,Core,10/09/2021,IS/IT,Funding,WellData Ltd,CORE-PINV-025639,"77,901.00",ICT Support & Services
Department for Education,Core,06/09/2021,IS/IT,Commercial,Commerce Decisions Ltd,CORE-PINV-025395,"160,800.00",End User Software & Hardware
