Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Department for Education,DfE Core,10/02/2021,Other Goods & Services,COMMUNICATIONS DIRECTORATE,HAVAS WORLDWIDE LONDON LTD,CORE-PINV-015072,27597.24,Research and Development
Department for Education,DfE Core,25/02/2021,"Marketing, Media and Comms",COMMUNICATIONS DIRECTORATE,OMD GROUP TA MANNING GOTTLIEB OMD LTD,CORE-PINV-016170,39.37,Digital media and web production
Department for Education,DfE Core,25/02/2021,"Marketing, Media and Comms",COMMUNICATIONS DIRECTORATE,OMD GROUP TA MANNING GOTTLIEB OMD LTD,CORE-PINV-016170,39764.17,Digital media and web production
Department for Education,DfE Core,03/02/2021,Grants expenditure,CHILDRENS SOCIAL CARE,PAUSE CREATING SPACE FOR CHANGE,CORE-MAIN-013285,83334.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,DfE Core,03/02/2021,Grants expenditure,CHILDRENS SOCIAL CARE,NORTH YORKSHIRE COUNTY COUNCIL,CORE-MAIN-013286,960709.00,Grants to local authorities
Department for Education,DfE Core,02/02/2021,Other Goods & Services,CHILDRENS SOCIAL CARE,What Works for Children's Social Care,CORE-PINV-014643,19253.34,Research and Development
Department for Education,DfE Core,02/02/2021,Other Goods & Services,CHILDRENS SOCIAL CARE,What Works for Children's Social Care,CORE-PINV-014643,24468.64,Research and Development
Department for Education,DfE Core,02/02/2021,Other Goods & Services,CHILDRENS SOCIAL CARE,MUTUAL VENTURES LTD,CORE-PINV-014331,102608.40,Other Professional Services
Department for Education,DfE Core,11/02/2021,Grants expenditure,CHILDRENS SOCIAL CARE,DAYBREAK FAMILY GROUP CONFERENCES,CORE-MAIN-013541,44818.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,DfE Core,11/02/2021,Grants expenditure,CHILDRENS SOCIAL CARE,What Works for Children's Social Care,CORE-MAIN-013543,600000.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,DfE Core,11/02/2021,Grants expenditure,CHILDRENS SOCIAL CARE,DONCASTER CHILDRENS SERVICES TRUST,CORE-MAIN-013544,226642.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,DfE Core,10/02/2021,Other Goods & Services,CHILDRENS SOCIAL CARE,University of Bedfordshire,CORE-PINV-015158,25466.75,Research and Development
Department for Education,DfE Core,26/02/2021,Grants expenditure,CHILDRENS SOCIAL CARE,DAYBREAK FAMILY GROUP CONFERENCES,CORE-MAIN-014564,44818.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,DfE Core,26/02/2021,Grants expenditure,CHILDRENS SOCIAL CARE,FAMILY RIGHTS GROUP LTD,CORE-MAIN-014565,400000.00,Capital grants paid to third sector / not for profit organisation
Department for Education,DfE Core,26/02/2021,Grants expenditure,CHILDRENS SOCIAL CARE,NORTH YORKSHIRE COUNTY COUNCIL,CORE-MAIN-014566,300000.00,Grants to local authorities
Department for Education,DfE Core,26/02/2021,Grants expenditure,CHILDRENS SOCIAL CARE,WARWICKSHIRE COUNTY COUNCIL,CORE-MAIN-014567,486054.00,Grants to local authorities
Department for Education,DfE Core,26/02/2021,Grants expenditure,CHILDRENS SOCIAL CARE,WALSALL METRO BOROUGH COUNCIL,CORE-MAIN-014568,152935.00,Grants to local authorities
Department for Education,DfE Core,26/02/2021,Grants expenditure,CHILDRENS SOCIAL CARE,ROCHDALE BOROUGH COUNCIL,CORE-MAIN-014569,262500.00,Grants to local authorities
Department for Education,DfE Core,26/02/2021,Grants expenditure,CHILDRENS SOCIAL CARE,NEWCASTLE CITY COUNCIL,CORE-MAIN-014570,387500.00,Grants to local authorities
Department for Education,DfE Core,26/02/2021,Grants expenditure,CHILDRENS SOCIAL CARE,NORFOLK COUNTY COUNCIL,CORE-MAIN-014571,420000.00,Grants to local authorities
Department for Education,DfE Core,26/02/2021,Grants expenditure,CHILDRENS SOCIAL CARE,WARRINGTON BOROUGH COUNCIL,CORE-MAIN-014572,202500.00,Grants to local authorities
Department for Education,DfE Core,26/02/2021,Grants expenditure,CHILDRENS SOCIAL CARE,EARLY INTERVENTION FOUNDATION,CORE-MAIN-014573,157325.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,DfE Core,26/02/2021,Grants expenditure,CHILDRENS SOCIAL CARE,DONCASTER CHILDRENS SERVICES TRUST,CORE-MAIN-014574,111908.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,DfE Core,26/02/2021,Grants expenditure,CHILDRENS SOCIAL CARE,NORTH TYNESIDE METRO BOROUGH COUNCIL,CORE-MAIN-014575,129560.42,Grants to local authorities
