Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Department for Education,Core,03/02/2023,Other Goods & Services,Operational Finance,MONTAGU EVANS LLP,CORE-PINV-051549,"290,000.00",Professional Services - Accountancy
Department for Education,Core,13/02/2023,Auditors Services,Operational Finance,NATIONAL AUDIT OFFICE,CORE-PINV-052249,"300,000.00",Assurance
Department for Education,Core,06/02/2023,Other Costs,Operational Finance,AGILE MANAGEMENT SOLUTIONS LTD,CORE-PINV-051664,"5,146.86",Software.Development
Department for Education,Core,06/02/2023,Other Costs,Operational Finance,AGILE MANAGEMENT SOLUTIONS LTD,CORE-PINV-051664,"5,146.86",Software.Development
Department for Education,Core,06/02/2023,Other Costs,Operational Finance,AGILE MANAGEMENT SOLUTIONS LTD,CORE-PINV-051664,"10,293.73",Software.Development
Department for Education,Core,06/02/2023,Other Costs,Operational Finance,AGILE MANAGEMENT SOLUTIONS LTD,CORE-PINV-051664,"20,587.45",Software.Development
Department for Education,Core,06/02/2023,Other Costs,Operational Finance,AGILE MANAGEMENT SOLUTIONS LTD,CORE-PINV-051664,"164,699.60",Software.Development
Department for Education,Core,07/02/2023,Accommodation & Estates - Maintenance,Operational Finance,Government Property Agency,CORE-PCR-001824,"-39,226.96",Maintenance & Repairs
Department for Education,Core,06/02/2023,Accommodation & Estates - Other,Operational Finance,Mace Ltd,CORE-PINV-051601,"62,132.80",Furniture & Fittings
Department for Education,Core,07/02/2023,Accommodation & Estates - Maintenance,Operational Finance,Government Property Agency,CORE-PINV-050865,"865,404.04",Maintenance & Repairs
Department for Education,Core,07/02/2023,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-050865,"325,301.16",Rentals
Department for Education,Core,07/02/2023,Accommodation & Estates - Maintenance,Operational Finance,Government Property Agency,CORE-PCR-001851,"-408,092.96",Maintenance & Repairs
Department for Education,Core,16/02/2023,Learning & Development,Operational Finance,Cabinet Office,CORE-PINV-052528,"74,806.00",Talent Development
Department for Education,Core,02/02/2023,Accommodation & Estates - Other,Operational Finance,WAGSTAFF BROS,CORE-PINV-051163,"83,468.70",Furniture & Fittings
Department for Education,Core,28/02/2023,Other Costs,Operational Finance,Government Property Agency,CORE-PINV-053169,"158,852.32",Facilities Management
Department for Education,Core,28/02/2023,Other Costs,Operational Finance,Government Property Agency,CORE-PINV-053171,"282,910.66",Facilities Management
Department for Education,Core,28/02/2023,Other Costs,Operational Finance,Government Property Agency,CORE-PINV-053172,"1,498,547.66",Facilities Management
