Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,,,,,,,,,
Department for Education,Core,14/03/2022,Learning & Development,Operational Finance,Cabinet Office,CORE-PINV-033237,"138,567.00",Talent Development,,,,,,,,,
Department for Education,Core,18/03/2022,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PCR-001162,"-869,240.00",Building Service Charge,,,,,,,,,
Department for Education,Core,18/03/2022,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PCR-001162,-624.00,Building Service Charge,,,,,,,,,
Department for Education,Core,18/03/2022,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PCR-001165,"-57,404.00",Building Service Charge,,,,,,,,,
Department for Education,Core,18/03/2022,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PCR-001165,"-21,226.00",Building Service Charge,,,,,,,,,
Department for Education,Core,18/03/2022,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PCR-001181,"-78,024.30",Rentals,,,,,,,,,
Department for Education,Core,18/03/2022,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PCR-001178,"-635,950.96",Rentals,,,,,,,,,
Department for Education,Core,18/03/2022,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-033924,"535,607.25",Rentals,,,,,,,,,
Department for Education,Core,18/03/2022,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PCR-001179,"-163,577.80",Rentals,,,,,,,,,
Department for Education,Core,18/03/2022,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-033922,34.86,Rentals,,,,,,,,,
Department for Education,Core,18/03/2022,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-033922,"1,314,421.06",Rentals,,,,,,,,,
Department for Education,Core,18/03/2022,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-033817,"163,577.80",Rentals,,,,,,,,,
Department for Education,Core,18/03/2022,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-034421,"215,896.92",Rentals,,,,,,,,,
Department for Education,Core,18/03/2022,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-034420,"33,842.64",Rentals,,,,,,,,,
Department for Education,Core,21/03/2022,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-033930,"78,024.30",Rentals,,,,,,,,,
Department for Education,Core,21/03/2022,Accommodation & Estates - Maintenance,Operational Finance,Government Property Agency,CORE-PINV-034435,"280,290.98",Maintenance & Repairs,,,,,,,,,
Department for Education,Core,21/03/2022,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-034435,"8,100.90",Rentals,,,,,,,,,
Department for Education,Core,21/03/2022,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-034435,"59,256.56",Rentals,,,,,,,,,
Department for Education,Core,21/03/2022,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-034439,"32,732.15",Rentals,,,,,,,,,
Department for Education,Core,21/03/2022,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-033925,"515,375.52",Rentals,,,,,,,,,
Department for Education,Core,30/03/2022,Staff - Other,Operational Finance,HOME OFFICE,CORE-PINV-035225,"30,684.00",Recruitment Advertising,,,,,,,,,
Department for Education,Core,01/03/2022,Other Costs,Operational Finance,Arcadis LLP,CORE-PINV-033137,"38,760.00",Building Improvements,,,,,,,,,
Department for Education,Core,01/03/2022,Other Costs,Operational Finance,Arcadis LLP,CORE-PINV-033140,"27,472.50",Building Improvements,,,,,,,,,
Department for Education,Core,01/03/2022,Other Costs,Operational Finance,Arcadis LLP,CORE-PINV-033141,"32,897.70",Building Improvements,,,,,,,,,
Department for Education,Core,01/03/2022,Other Costs,Operational Finance,Arcadis LLP,CORE-PINV-033138,"27,304.20",Building Improvements,,,,,,,,,
Department for Education,Core,18/03/2022,Other Costs,Operational Finance,Government Property Agency,CORE-PINV-033306,"185,661.90",Building Improvements,,,,,,,,,
Department for Education,Core,22/03/2022,Other Costs,Operational Finance,Mace Ltd,CORE-PINV-034500,"192,259.50",Building Improvements,,,,,,,,,
Department for Education,Core,15/03/2022,IS/IT,Funding,WellData Ltd,CORE-PINV-034160,"54,420.00",ICT Support & Services,,,,,,,,,
Department for Education,Core,09/03/2022,Staff - Bonuses,Human Resources,EDENRED,CORE-PINV-033824,"46,805.00",Rewards and Recognition,,,,,,,,,
Department for Education,Core,28/03/2022,Staff - Bonuses,Human Resources,EDENRED,CORE-PINV-034714,"40,715.00",Rewards and Recognition,,,,,,,,,
Department for Education,Core,21/03/2022,IS/IT,Human Resources,KAINOS WORKSMART LTD,CORE-PINV-032050,"45,100.80",End User Software & Hardware,,,,,,,,,
Department for Education,Core,14/03/2022,Legal,Human Resources,MINISTRY OF JUSTICE,CORE-PINV-034075,"124,165.00",Professional Services - Legal,,,,,,,,,
Department for Education,Core,01/03/2022,Learning & Development,Human Resources,Cabinet Office,CORE-PINV-033236,"330,080.00",Talent Development,,,,,,,,,
