Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,,,,,,,,,
Department for Education,Core,01/02/2022,IS/IT,Operational Finance,KAINOS WORKSMART LTD,CORE-PINV-030639,"31,617.00",Software licences,,,,,,,,,
Department for Education,Core,17/02/2022,IS/IT,Operational Finance,KAINOS WORKSMART LTD,CORE-PINV-030439,"26,446.50",Software licences,,,,,,,,,
Department for Education,Core,17/02/2022,IS/IT,Operational Finance,KAINOS WORKSMART LTD,CORE-PINV-030438,"26,689.50",Software licences,,,,,,,,,
Department for Education,Core,04/02/2022,IS/IT,Operational Finance,Agile Management Solutions Limited,CORE-PINV-032045,"38,167.00",Systems Development,,,,,,,,,
Department for Education,Core,04/02/2022,Other Costs,Operational Finance,Agile Management Solutions Limited,CORE-PINV-032043,"152,668.00",Software Development,,,,,,,,,
Department for Education,Core,08/02/2022,Other Costs,Operational Finance,Total Enterprise Solutions,CORE-PINV-032172,"59,430.00",Software Development,,,,,,,,,
Department for Education,Core,01/02/2022,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PCR-001085,"-44,879.82",Building Service Charge,,,,,,,,,
Department for Education,Core,01/02/2022,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PCR-001086,"-63,410.87",Rentals,,,,,,,,,
Department for Education,Core,01/02/2022,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PCR-001082,"-24,963.20",Rentals,,,,,,,,,
Department for Education,Core,01/02/2022,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PCR-001082,"-3,336.90",Rentals,,,,,,,,,
Department for Education,Core,01/02/2022,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PCR-001083,"-120,000.00",Building Service Charge,,,,,,,,,
Department for Education,Core,01/02/2022,Accommodation & Estates - Maintenance,Operational Finance,Government Property Agency,CORE-PINV-031736,"9,397.49",Maintenance & Repairs,,,,,,,,,
Department for Education,Core,01/02/2022,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PINV-031736,"6,149.96",Estates Management,,,,,,,,,
Department for Education,Core,01/02/2022,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-031736,"146,661.00",Rentals,,,,,,,,,
Department for Education,Core,01/02/2022,Accommodation & Estates - Maintenance,Operational Finance,Government Property Agency,CORE-PINV-031724,"13,507.10",Maintenance & Repairs,,,,,,,,,
Department for Education,Core,01/02/2022,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PINV-031724,"7,405.10",Estates Management,,,,,,,,,
Department for Education,Core,01/02/2022,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-031724,"209,617.66",Rentals,,,,,,,,,
Department for Education,Core,01/02/2022,Accommodation & Estates - Maintenance,Operational Finance,Government Property Agency,CORE-PINV-031728,"3,665.22",Maintenance & Repairs,,,,,,,,,
Department for Education,Core,01/02/2022,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PINV-031728,"4,396.88",Estates Management,,,,,,,,,
Department for Education,Core,01/02/2022,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-031728,"59,014.95",Rentals,,,,,,,,,
Department for Education,Core,01/02/2022,Accommodation & Estates - Maintenance,Operational Finance,Government Property Agency,CORE-PINV-031742,"4,863.86",Maintenance & Repairs,,,,,,,,,
