Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Department for Education,Core,05/08/2022,IS/IT,Operational Finance,Agile Management Solutions Limited,CORE-PINV-041326,"24,813.80",Systems Development
Department for Education,Core,03/08/2022,Other Costs,Operational Finance,Total Enterprise Solutions,CORE-PINV-041172,"28,215.00",Software Development
Department for Education,Core,04/08/2022,Other Costs,Operational Finance,Total Enterprise Solutions,CORE-PINV-039985,"24,080.00",Software Development
Department for Education,Core,05/08/2022,Other Costs,Operational Finance,Agile Management Solutions Limited,CORE-PINV-041324,"212,629.44",Software Development
Department for Education,Core,09/08/2022,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PCR-001436,"-318,228.00",Building Service Charge
Department for Education,Core,09/08/2022,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PCR-001436,"-28,901.00",Building Service Charge
Department for Education,Core,01/08/2022,Learning & Development,Operational Finance,Cabinet Office,CORE-PINV-041037,"123,510.00",Talent Development
Department for Education,Core,10/08/2022,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-041052,"24,301.20",Rentals
Department for Education,Core,10/08/2022,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-041052,"25,688.00",Rentals
Department for Education,Core,09/08/2022,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PINV-040769,"205,784.00",Building Service Charge
Department for Education,Core,09/08/2022,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PINV-040769,"343,233.00",Building Service Charge
Department for Education,Core,09/08/2022,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PCR-001451,"-77,529.13",Rentals
Department for Education,Core,10/08/2022,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PINV-041051,"206,536.00",Building Service Charge
Department for Education,Core,10/08/2022,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PINV-041051,"239,834.00",Building Service Charge
Department for Education,Core,10/08/2022,Accommodation & Estates - Maintenance,Operational Finance,Government Property Agency,CORE-PINV-041641,"658,368.73",Maintenance & Repairs
Department for Education,Core,10/08/2022,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PINV-041641,"60,314.11",Estates Management
Department for Education,Core,10/08/2022,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-041641,"4,814,371.25",Rentals
Department for Education,Core,15/08/2022,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-031183,"141,435.17",Rentals
Department for Education,Core,23/08/2022,Accommodation & Estates - Maintenance,Operational Finance,Government Property Agency,CORE-PCR-001466,"-1,379,283.79",Maintenance & Repairs
Department for Education,Core,23/08/2022,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PCR-001466,"-90,913.37",Estates Management
Department for Education,Core,23/08/2022,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PCR-001466,"-2,777,568.82",Rentals
Department for Education,Core,23/08/2022,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PCR-001467,"-6,575,024.40",Rentals
Department for Education,Core,23/08/2022,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PCR-001469,"-23,905.04",Estates Management
Department for Education,Core,23/08/2022,Accommodation & Estates - Maintenance,Operational Finance,Government Property Agency,CORE-PINV-042035,"633,688.88",Maintenance & Repairs
Department for Education,Core,23/08/2022,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PINV-042035,"55,242.09",Estates Management
Department for Education,Core,23/08/2022,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-042035,"3,929,206.69",Rentals
Department for Education,Core,23/08/2022,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-042128,"965,495.48",Rentals
Department for Education,Core,23/08/2022,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-042129,"1,743,711.19",Rentals
Department for Education,Core,23/08/2022,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-042130,"226,036.64",Rentals
Department for Education,Core,23/08/2022,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-042131,"2,680,914.25",Rentals
Department for Education,Core,23/08/2022,Accommodation & Estates - Maintenance,Operational Finance,Government Property Agency,CORE-PINV-042121,"576,396.46",Maintenance & Repairs
Department for Education,Core,23/08/2022,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PINV-042121,"50,247.60",Estates Management
Department for Education,Core,23/08/2022,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-042121,"1,135,433.12",Rentals
Department for Education,Core,23/08/2022,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PCR-001481,"-22,021.00",Building Service Charge
Department for Education,Core,23/08/2022,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PCR-001481,"-6,174.35",Building Service Charge
Department for Education,Core,23/08/2022,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PCR-001483,"-79,167.53",Building Service Charge
Department for Education,Core,26/08/2022,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-042340,"34,936.36",Rentals
Department for Education,Core,26/08/2022,Accommodation & Estates - Maintenance,Operational Finance,Government Property Agency,CORE-PINV-042332,"1,416.26",Maintenance & Repairs
Department for Education,Core,26/08/2022,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PINV-042332,"5,139.10",Estates Management
Department for Education,Core,26/08/2022,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-042332,"79,527.55",Rentals
Department for Education,Core,26/08/2022,Accommodation & Estates - Maintenance,Operational Finance,Government Property Agency,CORE-PINV-042341,"1,066.54",Maintenance & Repairs
Department for Education,Core,26/08/2022,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PINV-042341,"4,766.59",Estates Management
Department for Education,Core,26/08/2022,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-042341,"61,439.51",Rentals
Department for Education,Core,26/08/2022,Accommodation & Estates - Maintenance,Operational Finance,Government Property Agency,CORE-PINV-042342,"3,931.24",Maintenance & Repairs
Department for Education,Core,26/08/2022,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PINV-042342,"7,825.27",Estates Management
Department for Education,Core,26/08/2022,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-042342,"218,570.29",Rentals
Department for Education,Core,26/08/2022,Accommodation & Estates - Maintenance,Operational Finance,Government Property Agency,CORE-PINV-042333,839.28,Maintenance & Repairs
Department for Education,Core,26/08/2022,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PINV-042333,"3,627.50",Estates Management
Department for Education,Core,26/08/2022,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-042333,"41,691.97",Rentals
Department for Education,Core,26/08/2022,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PINV-042334,"3,627.50",Estates Management
Department for Education,Core,26/08/2022,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-042334,"54,435.69",Rentals
Department for Education,Core,26/08/2022,Accommodation & Estates - Maintenance,Operational Finance,Government Property Agency,CORE-PINV-042336,"658,368.73",Maintenance & Repairs
Department for Education,Core,26/08/2022,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PINV-042336,"60,314.11",Estates Management
Department for Education,Core,26/08/2022,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-042336,"4,814,371.25",Rentals
Department for Education,Core,26/08/2022,Accommodation & Estates - Maintenance,Operational Finance,Government Property Agency,CORE-PINV-042337,"212,164.93",Maintenance & Repairs
Department for Education,Core,26/08/2022,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PINV-042337,"22,891.25",Estates Management
Department for Education,Core,26/08/2022,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-042337,"461,590.75",Rentals
Department for Education,Core,26/08/2022,Accommodation & Estates - Maintenance,Operational Finance,Government Property Agency,CORE-PINV-042338,"107,720.42",Maintenance & Repairs
Department for Education,Core,26/08/2022,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PINV-042338,"8,561.48",Estates Management
Department for Education,Core,26/08/2022,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-042338,"189,860.02",Rentals
Department for Education,Core,26/08/2022,Accommodation & Estates - Maintenance,Operational Finance,Government Property Agency,CORE-PINV-042339,"6,220.75",Maintenance & Repairs
Department for Education,Core,26/08/2022,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PINV-042339,"3,627.50",Estates Management
Department for Education,Core,26/08/2022,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-042339,"43,651.69",Rentals
Department for Education,Core,30/08/2022,Accommodation & Estates - Maintenance,Operational Finance,Government Property Agency,CORE-PINV-042127,"1,454,258.58",Maintenance & Repairs
Department for Education,Core,30/08/2022,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-042127,"545,827.00",Rentals
Department for Education,Core,30/08/2022,Accommodation & Estates - Maintenance,Operational Finance,Government Property Agency,CORE-PINV-042132,"696,477.06",Maintenance & Repairs
Department for Education,Core,30/08/2022,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PINV-042132,"60,391.00",Estates Management
Department for Education,Core,30/08/2022,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-042132,"1,371,977.78",Rentals
Department for Education,Core,30/08/2022,Accommodation & Estates - Maintenance,Operational Finance,Government Property Agency,CORE-PINV-042133,"53,428.38",Maintenance & Repairs
Department for Education,Core,30/08/2022,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PINV-042133,"4,632.73",Estates Management
Department for Education,Core,30/08/2022,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-042133,"105,247.61",Rentals
