Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Department for Education,CORE,06/05/2021,Other Goods & Services,Operational Finance,DELOITTE LLP,CORE-PINV-020294,"36,089.00",Professional Services - Accountancy
Department for Education,CORE,06/05/2021,Other Goods & Services,Operational Finance,DELOITTE LLP,CORE-PINV-020295,"47,462.00",Professional Services - Accountancy
Department for Education,CORE,13/05/2021,IS/IT,Operational Finance,KAINOS WORKSMART LTD,CORE-PINV-020740,"26,932.50",Software licences
Department for Education,CORE,06/05/2021,Other Goods & Services,Operational Finance,Allen Lane Limited,CORE-PINV-020307,"26,910.00",Temporary Staff
Department for Education,CORE,24/05/2021,Other Costs,Operational Finance,IBM UK LTD,CORE-PINV-021217,"22,332.82",Software Development
Department for Education,CORE,07/05/2021,IS/IT,Operational Finance,Agile Management Solutions Limited,CORE-PINV-020442,"40,959.00",Systems Development
Department for Education,CORE,07/05/2021,IS/IT,Operational Finance,Agile Management Solutions Limited,CORE-PINV-020445,"163,836.00",Systems Development
Department for Education,CORE,12/05/2021,Other Costs,Operational Finance,Total Enterprise Solutions,CORE-PINV-020592,"21,550.00",Software Development
Department for Education,CORE,14/05/2021,Other Costs,Operational Finance,Total Enterprise Solutions,CORE-PINV-019058,"189,050.00",Software Development
Department for Education,CORE,07/05/2021,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PINV-020397,199.21,Building Service Charge
Department for Education,CORE,07/05/2021,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PINV-020397,"70,250.25",Building Service Charge
Department for Education,CORE,07/05/2021,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PINV-020398,"379,174.18",Building Service Charge
Department for Education,CORE,07/05/2021,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PINV-020398,"465,806.63",Building Service Charge
Department for Education,CORE,18/05/2021,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PINV-020939,"107,271.02",Building Service Charge
Department for Education,CORE,27/05/2021,Staff - Other,Operational Finance,HOME OFFICE,CORE-PINV-021453,"129,371.00",Recruitment Advertising
Department for Education,CORE,04/05/2021,Other Costs,Operational Finance,Arcadis LLP,CORE-PINV-020203,"176,817.23",Buildings additions
Department for Education,CORE,18/05/2021,Other Costs,Operational Finance,Arcadis LLP,CORE-PINV-020931,"178,042.55",Buildings additions
Department for Education,CORE,18/05/2021,Other Costs,Operational Finance,Arcadis LLP,CORE-PINV-020934,"58,815.16",Buildings additions
Department for Education,CORE,18/05/2021,Other Costs,Operational Finance,Arcadis LLP,CORE-PINV-020935,"42,638.28",Buildings additions
Department for Education,CORE,20/05/2021,Other Costs,Operational Finance,Mace Ltd,CORE-PINV-021072,"716,710.64",Buildings additions
Department for Education,CORE,21/05/2021,Other Costs,Operational Finance,Arcadis LLP,CORE-PINV-021218,"25,603.97",Buildings additions
Department for Education,CORE,27/05/2021,Other Costs,Operational Finance,Graham Asset Management ,CORE-PINV-021412,"120,178.86",Buildings additions
Department for Education,CORE,27/05/2021,Other Costs,Operational Finance,Government Property Agency,CORE-PINV-021424,"28,235.98",Buildings additions
Department for Education,CORE,10/05/2021,Other Costs,Funding,OLIVE JAR DIGITAL LTD,CORE-PINV-020487,"81,200.00",Software Development
Department for Education,CORE,25/05/2021,Learning & Development,Commercial,Cabinet Office,CORE-PINV-020863,"239,100.00",Training costs
Department for Education,CORE,04/05/2021,Other Goods & Services,Commercial,PLACE GROUP LTD,CORE-PINV-019878,"122,389.00",Professional Services
Department for Education,CORE,24/05/2021,Other Goods & Services,Commercial,2BUY2.COM LTD,CORE-PINV-021225,"157,422.00",Professional Services
Department for Education,CORE,07/05/2021,Other Costs,Commercial,PAPER DESIGN STUDIO LTD,CORE-PINV-020462,"95,975.00",Software Development
Department for Education,CORE,04/05/2021,Other Goods & Services,Commercial,WILLIS GROUP,CORE-PINV-020217,"57,148.80",Professional Services
Department for Education,CORE,10/05/2021,Legal,Commercial Delivery,GOVERNMENT LEGAL DEPARTMENT,CORE-PINV-020476,"357,250.00",Professional Services - Legal
Department for Education,CORE,28/05/2021,Other Goods & Services,Commercial Delivery,Cabinet Office,CORE-PINV-021482,"99,187.50",Professional Services
Department for Education,CORE,05/05/2021,IS/IT,Human Resources,WORKDAY LTD,CORE-PINV-020279,"191,156.00",ICT repair & maintenance
Department for Education,CORE,05/05/2021,IS/IT,Human Resources,WORKDAY LTD,CORE-PINV-020280,"835,565.00",ICT repair & maintenance
Department for Education,CORE,07/05/2021,IS/IT,Digital and Technology,Cloud Technology Solutions Ltd,CORE-PINV-020309,"119,232.00",End User Software & Hardware
Department for Education,CORE,28/05/2021,Other Goods & Services,Digital and Technology,LinkedIn Ireland Unlimited,CORE-PINV-021481,"27,480.00",Professional Services
Department for Education,CORE,06/05/2021,Other Goods & Services,Digital and Technology,ANDIGITAL LIMITED,CORE-PINV-019964,"48,630.00",Professional Services
Department for Education,CORE,25/05/2021,IS/IT,Digital and Technology,Bae Systems Applied Intelligence Ltd,CORE-PINV-020515,"42,027.53",Systems Development
Department for Education,CORE,25/05/2021,Staff - Temporary Staff,Digital and Technology,Methods Business and Digital Technology Ltd,CORE-PINV-020454,"39,330.00",Short term & agency staff
Department for Education,CORE,14/05/2021,Staff - Temporary Staff,Digital and Technology,Methods Business and Digital Technology Ltd,CORE-PCR-000719,"-42,453.60",Short term & agency staff
Department for Education,CORE,14/05/2021,Staff - Temporary Staff,Digital and Technology,Methods Business and Digital Technology Ltd,CORE-PINV-019857,"42,453.60",Short term & agency staff
Department for Education,CORE,13/05/2021,IS/IT,Digital and Technology,Bae Systems Applied Intelligence Ltd,CORE-PINV-020723,"48,257.22",Systems Operations
Department for Education,CORE,18/05/2021,Office Costs,Digital and Technology,Xerox UK Limited,CORE-PINV-020923,"32,000.00",Printing
Department for Education,CORE,18/05/2021,Office Costs,Digital and Technology,Xerox UK Limited,CORE-PINV-020950,"33,000.00",Printing
Department for Education,CORE,20/05/2021,IS/IT,Digital and Technology,Cabinet Office,CORE-PINV-020861,"27,032.50",End User Software & Hardware
Department for Education,CORE,21/05/2021,IS/IT,Digital and Technology,Bytes Software Services Ltd,CORE-PINV-020081,"90,483.24",End User Software & Hardware
Department for Education,CORE,27/05/2021,IS/IT,Digital and Technology,Phoenix Software Ltd,CORE-PINV-021086,"82,209.34",End User Software & Hardware
Department for Education,CORE,28/05/2021,IS/IT,Digital and Technology,BT GROUP PLC,CORE-PINV-021488,"319,583.36",Telecoms facilities and services
Department for Education,CORE,05/05/2021,Other Costs,Digital and Technology,Probrand Limited,CORE-PINV-020237,"55,946.40",Buildings additions
Department for Education,CORE,05/05/2021,Other Costs,Digital and Technology,SMART SOURCING PLC,CORE-PINV-020248,"36,835.00",Software Development
Department for Education,CORE,05/05/2021,Other Goods & Services,Digital and Technology,Actica Consulting Ltd,CORE-PINV-019932,"45,309.60",Professional Services
Department for Education,CORE,11/05/2021,Staff - Temporary Staff,Digital and Technology,Bae Systems Applied Intelligence Ltd,CORE-PINV-020514,"34,632.00",Short term & agency staff
Department for Education,CORE,26/05/2021,IS/IT,Digital and Technology,COMPUTACENTER PLC,CORE-PINV-021385,"82,123.55",ICT Hardware
Department for Education,CORE,26/05/2021,IS/IT,Digital and Technology,COMPUTACENTER PLC,CORE-PINV-021386,"82,123.55",ICT Hardware
Department for Education,CORE,26/05/2021,IS/IT,Digital and Technology,COMPUTACENTER PLC,CORE-PINV-021387,"81,512.96",ICT Hardware
