Unique ID ,Invoice Paid Date,Invoice Cost Centre Description,Invoice Account Description,Supplier Name,Transparency Invoice Amount
february transparency 01,02/02/2023,STR PSP LEVY,EXP - GRANT-IN-AID TO ARMS LENGTH BODIES - TPR,THE PENSIONS REGULATOR,"£23,034,414"
february transparency 02,10/02/2023,STR FAS PAYMENTS AME,AI - UTILISATION OF PROVISIONS - SOCIAL ASSISTANCE BENEFITS - FAS NON ASSET (9),PENSION PROTECTION FUND,"£20,000,000"
february transparency 03,07/02/2023,FG CS HS PIP LOT 1,EXP - PURCHASE OF GOODS/SERVICES - MEDICAL - PIP F2F ASSESSMENTS,ATOS IT SERVICES UK LTD TRADING AS INDEPENDENT ASSESSMENT SERVICES,"£15,657,097"
february transparency 04,09/02/2023,STR LM & COND,EXP - PURCHASE OF GOODS/SERVICES - OTHER - ILO SUBSCRIPTION,INTERNATIONAL LABOUR OFFICE,"£13,504,166"
february transparency 05,08/02/2023,FG CS HS HDAS TCIF CONTRACT,EXP - PURCHASE OF GOODS/SERVICES - MEDICAL - FIXED COSTS,CENTRE FOR HEALTH & DISABILITY ASSESSMENTS LTD,"£10,864,921"
february transparency 06,17/02/2023,PCP ESTATES FM DELA,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT - BUILDING SERVICE CHARGES,MITIE FM LTD,"£7,028,688"
february transparency 07,27/02/2023,PCP ESTATES SECURITY DELA,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - SECURITY,G4S SECURE SOLUTIONS UK LTD,"£6,507,757"
february transparency 08,09/02/2023,FG CS HS PIP LOT 2,EXP - PURCHASE OF GOODS/SERVICES - MEDICAL - PIP F2F ASSESSMENTS,CAPITA BUSINESS SERVICES LTD,"£5,954,663"
february transparency 09,13/02/2023,DIG INFRASTRUCTURE TOOLING RUN,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,SOFTCAT PLC,"£5,712,641"
february transparency 10,15/02/2023,STR THE PENSIONS REGULATOR NON BUDGET P,EXP - GRANT-IN-AID TO ARMS LENGTH BODIES - TPR,THE PENSIONS REGULATOR,"£5,000,000"
february transparency 11,17/02/2023,PCP ESTATES FM DELA,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT - OFFICE CLEANING,MITIE FM LTD,"£4,229,677"
february transparency 12,07/02/2023,DIG WORKPLACE COMPUTING MAINTENANCE DEL P,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,COMPUTACENTER UK LTD,"£3,754,057"
february transparency 13,27/02/2023,PCP ESTATES CSI PROJECT DELP,PPE - PLANT & MACHINERY (OWNED) - COST - ADDITIONS,G4S SECURE SOLUTIONS UK LTD,"£3,381,608"
february transparency 14,17/02/2023,CHG 620014 BRADFORD EAST LEEDS ROAD,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT,MITIE FM LTD,"£3,174,168"
february transparency 15,01/02/2023,STR HEALTH & WELLBEING MESOTHELIOMA 2014,EXP - SOCIAL ASSISTANCE BENEFITS - 2014 DIFFUSE MESOTHELIOMA SCHEME,TOP MARK CLAIMS MANAGEMENT LTD,"£3,000,000"
february transparency 16,17/02/2023,OPS DS ATW DISC EP NATIONAL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,INGEUS UK LTD,"£2,455,603"
february transparency 17,21/02/2023,PCP ESTATES UTILITIES DELP,EXP - PURCHASE OF GOODS/SERVICES - ELECTRICITY,EDF ENERGY 1 LTD SCC UTILITIES ONLY,"£2,449,718"
february transparency 18,13/02/2023,UCO OUTSOURCED TELEPHONY,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILITIES - CONTACT CENTRES,TELEPERFORMANCE LTD,"£2,424,718"
february transparency 19,09/02/2023,SE SPD BULK MAIL,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - POSTAGE,UK MAIL,"£2,405,747"
february transparency 20,13/02/2023,STR DISABILITY & EMPLOYMENT SUPPORT,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ALEXANDER MANN SOLUTIONS LTD,"£2,331,197"
february transparency 21,14/02/2023,DIG PUBLIC CLOUD DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,AMAZON WEB SERVICES EMEA SARL,"£2,295,275"
february transparency 22,01/02/2023,STR WORK & HEALTH INNOVATION FUND,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ALEXANDER MANN SOLUTIONS LTD,"£2,239,980"
february transparency 23,24/02/2023,STR DISABILITY & EMPLOYMENT SUPPORT,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ALEXANDER MANN SOLUTIONS LTD,"£2,224,392"
february transparency 24,17/02/2023,"DIG SW ASSET SUBSCRIPTION, SUPPORT & MAINT RENEWALS DELP",EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE,EXPERIAN LTD,"£2,160,000"
february transparency 25,27/02/2023,DIG SURVEYS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - ORIGINAL RESEARCH,OFFICE FOR NATIONAL STATISTICS,"£2,118,401"
february transparency 26,17/02/2023,STR DISABILITY & EMPLOYMENT SUPPORT,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ALEXANDER MANN SOLUTIONS LTD,"£2,108,218"
february transparency 27,03/02/2023,UCO OUTSOURCED TELEPHONY,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILITIES - CONTACT CENTRES,SERCO LTD,"£2,064,053"
