Indentifier,Invoice Paid Date,Invoice Cost Centre Description,Invoice Account Description,Invoice Number,Supplier Name,Transparency Invoice Amount
Apr. Transparency 01,26/04/2021,DIG O365 PLATFORM SERVICE,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,INV02890586,SOFTCAT PLC,"£34,316,857"
Apr. Transparency 02,12/04/2021,STR MONEY AND PENSIONS SERVICE GIA,EXP - GRANT-IN-AID TO ARMS LENGTH BODIES - SFGB - FCA LEVY,P153-FSL-MAPS-GIA_Q1_(21-22),THE MONEY ADVICE SERVICE,"£33,909,000"
Apr. Transparency 03,13/04/2021,STR FAS PAYMENTS AME,AI - UTILISATION OF PROVISIONS - SOCIAL ASSISTANCE BENEFITS - FAS NON ASSET (9),P155-FASASSISTANCE-Q1DRAWDOWN-APR21,PENSION PROTECTION FUND,"£20,000,000"
Apr. Transparency 04,12/04/2021,STR THE PENSIONS REGULATOR NON BUDGET P,EXP - GRANT-IN-AID TO ARMS LENGTH BODIES - TPR,P157-TPR-GIA-Q1-(21-22)-LEVY,THE PENSIONS REGULATOR,"£15,050,000"
Apr. Transparency 05,26/04/2021,FG CS HS PIP LOT 1,EXP - PURCHASE OF GOODS/SERVICES - MEDICAL - PIP F2F ASSESSMENTS,5584361193,ATOS IT SERVICES UK LTD TRADING AS INDEPENDENT ASSESSMENT SERVICES,"£11,874,260"
Apr. Transparency 06,23/04/2021,STR PRIVATE PENS,EXP - SUBSIDIES TO PUBLIC CORPORATIONS (PC) - NEST,P165-NEST-PSOOP-APRIL21,NEST CORPORATION,"£11,805,206"
Apr. Transparency 07,14/04/2021,DIG ITLR SOFTWARE DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE MAIN & SUP,1802396,ORACLE CORPORATION UK LTD,"£11,641,566"
Apr. Transparency 08,12/04/2021,STR TPR ECR GIA,EXP - GRANT-IN-AID TO ARMS LENGTH BODIES - TPR,P156-TPR-GIA-Q1-(21-22)-AE,THE PENSIONS REGULATOR,"£10,500,000"
Apr. Transparency 09,20/04/2021,FG CD ESTATES TOM DEL A,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT - BUILDING SERVICE CHARGES,FACMI051730,MITIE FM LTD,"£10,104,058"
Apr. Transparency 10,09/04/2021,CHG UC PROGRAMME NON-STRAND,EXP - CURRENT GRANTS TO PRIVATE SECTOR - NON PROFIT INSTITUTIONS SERVING H'HOLD,CA-GRANT-APR2021,CITIZENS ADVICE,"£8,273,070"
Apr. Transparency 11,26/04/2021,FG CD ESTATES TOM DEL A,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - SECURITY,82610060324,G4S SECURE SOLUTIONS UK LTD,"£8,180,627"
Apr. Transparency 12,06/04/2021,STR HEALTH & WELLBEING MESOTHELIOMA 2014,EXP - SOCIAL ASSISTANCE BENEFITS - 2014 DIFFUSE MESOTHELIOMA SCHEME,P152-TOPMARK-MESOSCHEME-APR21-7500000,TOP MARK CLAIMS MANAGEMENT LTD,"£7,500,000"
Apr. Transparency 13,20/04/2021,STR MENTAL HEALTH PILOTS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - NON-ADVISORY,INVOICENUMBER18000043062020,H M REVENUE & CUSTOMS,"£5,774,734"
Apr. Transparency 14,14/04/2021,DIG ITLR SOFTWARE DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE MAIN & SUP,16-01785,ACTIAN EUROPE LTD,"£4,850,000"
Apr. Transparency 15,26/04/2021,FG CS HS PIP LOT 2,EXP - PURCHASE OF GOODS/SERVICES - MEDICAL - PIP F2F ASSESSMENTS,20064,CAPITA BUSINESS SERVICES LTD,"£4,719,504"
Apr. Transparency 16,15/04/2021,EP CEP WHP JETS DEV. CONTRACTS MANCHESTER CPA7,EXP - CURRENT GRANTS TO LOCAL GOVERNMENT,GMCAWHPJETSQ121/22,GREATER MANCHESTER COMBINED AUTHORITY,"£3,970,430"
Apr. Transparency 17,16/04/2021,FG CD CORPORATE CHARGES,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - POSTAGE,7295638,UK MAIL,"£3,660,105"
Apr. Transparency 18,30/04/2021,STR PENSION PROTECTION  FUND,EXP - SUBSIDIES TO PUBLIC CORPORATIONS (PC) - PENSION PROTECTION FUND,P164_PPF_ADMIN_Q1_2122,PENSION PROTECTION FUND,"£3,378,000"
