Identifier,Invoice Paid Date,Invoice Cost Centre Description,Invoice Account Description,Supplier Name,Transparency Invoice Amount
Transparency Aug 01,31/08/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - INTER DWP DEBTOR - TO FOREIGN BANK ACCOUNTS,EUROPEAN COMMISSION,"£50,256,881"
Transparency Aug 02,12/08/2021,STR FAS PAYMENTS AME,AI - UTILISATION OF PROVISIONS - SOCIAL ASSISTANCE BENEFITS - FAS NON ASSET (9),PENSION PROTECTION FUND,"£20,000,000"
Transparency Aug 03,13/08/2021,EP CEP RESTART CPA 5A CENTRAL & WEST LONDON,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,INGEUS UK LTD,"£12,549,600"
Transparency Aug 04,13/08/2021,EP CEP RESTART CPA 5C HOME COUNTIES,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,REED IN PARTNERSHIP LTD,"£11,959,200"
Transparency Aug 05,31/08/2021,FG CS HS HDAS TCIF CONTRACT,EXP - PURCHASE OF GOODS/SERVICES - MEDICAL - FIXED COSTS,CENTRE FOR HEALTH & DISABILITY ASSESSMENTS LTD,"£11,862,281"
Transparency Aug 06,13/08/2021,EP CEP RESTART CPA 2B S & W YORKSHIRE DERBYSHIRE & NOTTINGHAMSHIRE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,MAXIMUS HEALTH & HUMAN SERVICES LTD,"£10,504,800"
Transparency Aug 07,26/08/2021,FG CS DIRECTOR,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED,ATOS ORIGIN IT SERVICES UK LTD,"£10,221,623"
Transparency Aug 08,10/08/2021,FG CD ESTATES OTHER COSTS DEL P,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT - BUILDING SERVICE CHARGES,MITIE FM LTD ,"£10,031,276"
Transparency Aug 09,23/08/2021,STR PRIVATE PENS,NCA - OTHER LOANS - ADDITIONS (PUBLIC CORPORATIONS) - NEST LOAN - IN YEAR,NEST CORPORATION,"£10,000,000"
Transparency Aug 10,04/08/2021,FG CS HS HDAS TCIF CONTRACT,EXP - PURCHASE OF GOODS/SERVICES - MEDICAL - FIXED COSTS,CENTRE FOR HEALTH & DISABILITY ASSESSMENTS LTD,"£9,541,639"
Transparency Aug 11,13/08/2021,EP CEP RESTART CPA 1A WEST CENTRAL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,SERCO LTD,"£9,079,200"
Transparency Aug 12,13/08/2021,EP CEP RESTART CPA 5B SOUTH & EAST LONDON,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,MAXIMUS HEALTH & HUMAN SERVICES LTD,"£8,416,800"
Transparency Aug 13,20/08/2021,FG CD ESTATES OTHER COSTS DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - SECURITY,G4S SECURE SOLUTIONS UK LTD,"£8,370,130"
