Unique Identifier,Invoice Paid Date,Invoice Cost Centre Description,Invoice Account Description,Supplier Name,Transparency Invoice Amount
July Tranparency 01,14/07/2021,STR MONEY AND PENSIONS SERVICE GIA,EXP - GRANT-IN-AID TO ARMS LENGTH BODIES - SFGB - FCA LEVY,MONEY AND PENSIONS SERVICE,"£31,442,000"
July Tranparency 02,12/07/2021,STR FAS PAYMENTS AME,AI - UTILISATION OF PROVISIONS - SOCIAL ASSISTANCE BENEFITS - FAS NON ASSET (9),PENSION PROTECTION FUND,"£20,000,000"
July Tranparency 03,15/07/2021,FG CD ESTATES TOM DEL A,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT - BUILDING SERVICE CHARGES,MITIE FM LTD,"£10,160,928"
July Tranparency 04,21/07/2021,STR PRIVATE PENS,NCA - OTHER LOANS - ADDITIONS (PUBLIC CORPORATIONS) - NEST LOAN - IN YEAR,NEST CORPORATION,"£10,000,000"
July Tranparency 05,09/07/2021,CHG UC PROGRAMME NON-STRAND,EXP - CURRENT GRANTS TO PRIVATE SECTOR - NON PROFIT INSTITUTIONS SERVING H'HOLD,CITIZENS ADVICE,"£8,257,488"
July Tranparency 06,07/07/2021,STR HEALTH & WELLBEING MESOTHELIOMA 2014,EXP - SOCIAL ASSISTANCE BENEFITS - 2014 DIFFUSE MESOTHELIOMA SCHEME,TOPMARK CLAIMS MANAGEMENT LTD,"£7,500,000"
July Tranparency 07,22/07/2021,FG CD ESTATES TOM DEL A,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - SECURITY,G4S SECURE SOLUTIONS UK LTD,"£7,063,582"
July Tranparency 08,26/07/2021,FG CS HS PIP LOT 2,EXP - PURCHASE OF GOODS/SERVICES - MEDICAL - PIP F2F ASSESSMENTS,CAPITA BUSINESS SERVICES LTD,"£4,822,158"
July Tranparency 09,14/07/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,ESFA ESF PROJECTS,"£4,350,806"
July Tranparency 10,09/07/2021,EP CEP WHP JETS DEV. CONTRACTS MANCHESTER CPA7,EXP - CURRENT GRANTS TO LOCAL GOVERNMENT,GREATER MANCHESTER COMBINED AUTHORITY,"£3,970,430"
July Tranparency 11,19/07/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,ESFA ESF PROJECTS,"£3,686,538"
July Tranparency 12,14/07/2021,STR PENSION PROTECTION  FUND,EXP - SUBSIDIES TO PUBLIC CORPORATIONS (PC) - PENSION PROTECTION FUND,PENSION PROTECTION FUND,"£3,527,000"
July Tranparency 13,20/07/2021,DIG ITLR SOFTWARE DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE MAIN & SUP,INFORMATICA SOFTWARE LTD,"£3,328,000"
July Tranparency 14,29/07/2021,STR STRATEGY & PROJECTS,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ALEXANDER MANN SOLUTIONS LTD,"£3,226,971"
July Tranparency 15,09/07/2021,EP CEP WHP JETS DEV. CONTRACTS LONDON EAST CPA9,EXP - CURRENT GRANTS TO LOCAL GOVERNMENT,LONDON BOROUGH OF REDBRIDGE,"£3,110,170"
July Tranparency 16,09/07/2021,EP CEP WHP JETS DEV. CONTRACTS LONDON CENT CPA8,EXP - CURRENT GRANTS TO LOCAL GOVERNMENT,CORPORATION OF LONDON,"£3,043,996"
July Tranparency 17,07/07/2021,STR STRATEGY & PROJECTS,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ALEXANDER MANN SOLUTIONS LTD,"£2,862,656"
July Tranparency 18,20/07/2021,EP CEP WHP JETS DWP CONTRACTS S ENG CPA4,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,THE PLUSS ORGANISATION,"£2,775,972"
July Tranparency 19,14/07/2021,STR STRATEGY & PROJECTS,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ALEXANDER MANN SOLUTIONS LTD,"£2,764,314"
