Unique identifier,Invoice Paid Date,Invoice Cost Centre Description,Invoice Account Description,Invoice Number,Supplier Name,Transparency Invoice Amount
Jun. Transparency 01,09/06/2021,STR FAS PAYMENTS AME,AI - UTILISATION OF PROVISIONS - SOCIAL ASSISTANCE BENEFITS - FAS NON ASSET (9),P160-FASASSISTANCE-Q1DRAWDOWN-JUN21,PENSION PROTECTION FUND,"£17,236,000"
Jun. Transparency 02,25/06/2021,STR THE PENSIONS REGULATOR NON BUDGET P,EXP - GRANT-IN-AID TO ARMS LENGTH BODIES - TPR,P180-TPR-GIA-Q2-(21-22)-LEVY,THE PENSIONS REGULATOR,"£17,000,000"
Jun. Transparency 03,25/06/2021,FG CS HS PIP LOT 1,EXP - PURCHASE OF GOODS/SERVICES - MEDICAL - PIP F2F ASSESSMENTS,5584365389,ATOS IT SERVICES UK LTD TRADING AS INDEPENDENT ASSESSMENT SERVICES,"£12,129,277"
Jun. Transparency 04,25/06/2021,STR TPR ECR GIA,EXP - GRANT-IN-AID TO ARMS LENGTH BODIES - TPR,P181-TPR-GIA-Q2-(21-22)-AE,THE PENSIONS REGULATOR,"£11,600,000"
Jun. Transparency 05,30/06/2021,FG CS HS HDAS TCIF CONTRACT,EXP - PURCHASE OF GOODS/SERVICES - MEDICAL - FIXED COSTS,0000000368,CENTRE FOR HEALTH & DISABILITY ASSESSMENTS LTD,"£10,250,001"
Jun. Transparency 06,03/06/2021,FG CS HS HDAS TCIF CONTRACT,EXP - PURCHASE OF GOODS/SERVICES - MEDICAL - FIXED COSTS,00366,CENTRE FOR HEALTH & DISABILITY ASSESSMENTS LTD,"£10,197,621"
Jun. Transparency 07,18/06/2021,FG CD ESTATES TOM DEL A,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT - BUILDING SERVICE CHARGES,FACMI053120,MITIE FM LTD ,"£10,087,476"
Jun. Transparency 08,25/06/2021,FG CS HS PIP LOT 1,EXP - PURCHASE OF GOODS/SERVICES - MEDICAL - PIP F2F ASSESSMENTS,5584365491,ATOS IT SERVICES UK LTD TRADING AS INDEPENDENT ASSESSMENT SERVICES,"£10,000,000"
Jun. Transparency 09,21/06/2021,STR PRIVATE PENS,NCA - OTHER LOANS - ADDITIONS (PUBLIC CORPORATIONS) - NEST LOAN - IN YEAR,P178-NEST-LOAN-JUN-2021-10M,NEST CORPORATION,"£10,000,000"
Jun. Transparency 10,22/06/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - SECURITY,82610064930,G4S SECURE SOLUTIONS UK LTD,"£6,634,167"
