Identifier,Invoice Paid Date,Invoice Cost Centre Description,Invoice Account Description,Invoice Number,Supplier Name,Transparency Invoice Amount
May.Tranparency 01,11/05/2021,STR FAS PAYMENTS AME,AI - UTILISATION OF PROVISIONS - SOCIAL ASSISTANCE BENEFITS - FAS NON ASSET (9),P158-FASASSISTANCE-Q1DRAWDOWN-MAY21,PENSION PROTECTION FUND,"£20,000,000"
May.Tranparency 02,04/05/2021,DIG BPDTS SSA,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,IBPD000158,BPDTS LTD,"£14,460,741"
May.Tranparency 03,26/05/2021,FG CS HS PIP LOT 1,EXP - PURCHASE OF GOODS/SERVICES - MEDICAL - PIP F2F ASSESSMENTS,5584363258,ATOS IT SERVICES UK LTD TRADING AS INDEPENDENT ASSESSMENT SERVICES,"£11,751,501"
May.Tranparency 04,06/05/2021,FG CS HS HDAS TCIF CONTRACT,EXP - PURCHASE OF GOODS/SERVICES - MEDICAL - FIXED COSTS,0000000361,CENTRE FOR HEALTH & DISABILITY ASSESSMENTS LTD,"£10,589,268"
May.Tranparency 05,17/05/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT - BUILDING SERVICE CHARGES,FACMI052504,MITIE FM LTD ,"£10,072,069"
May.Tranparency 06,27/05/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - SECURITY,82610062638,G4S SECURE SOLUTIONS UK LTD,"£6,620,384"
May.Tranparency 07,28/05/2021,DIG BPDTS SSA,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,IBPD000159,BPDTS LTD,"£5,567,933"
May.Tranparency 08,26/05/2021,FG CS HS PIP LOT 2,EXP - PURCHASE OF GOODS/SERVICES - MEDICAL - PIP F2F ASSESSMENTS,20065,CAPITA BUSINESS SERVICES LTD,"£4,766,963"
May.Tranparency 09,21/05/2021,OPS WDC WSD DEL PROG REPORTING,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,2325196,ALEXANDER MANN SOLUTIONS LTD,"£2,962,534"
May.Tranparency 10,26/05/2021,OPS WDC WSD DEL PROG REPORTING,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,2329850,ALEXANDER MANN SOLUTIONS LTD,"£2,820,699"
May.Tranparency 11,06/05/2021,OPS WDC WSD DEL PROG REPORTING,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,2316170,ALEXANDER MANN SOLUTIONS LTD,"£2,804,218"
May.Tranparency 12,20/05/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,FACMI052469,MITIE FM LTD,"£2,734,958"
