unique identifier,Invoice Paid Date,Invoice Cost Centre Description,Invoice Account Description,Supplier Name,Transparency Invoice Amount
Sept Transparency 01,13/09/2021,STR FAS PAYMENTS AME,AI - UTILISATION OF PROVISIONS - SOCIAL ASSISTANCE BENEFITS - FAS NON ASSET (9),PENSION PROTECTION FUND,"£16,558,000"
Sept Transparency 02,29/09/2021,FG CS HS PIP LOT 1,EXP - PURCHASE OF GOODS/SERVICES - MEDICAL - PIP F2F ASSESSMENTS,ATOS IT SERVICES UK LTD,"£13,204,593"
Sept Transparency 03,22/09/2021,STR PRIVATE PENS,NCA - OTHER LOANS - ADDITIONS (PUBLIC CORPORATIONS) - NEST LOAN - IN YEAR,NEST CORPORATION,"£10,000,000"
Sept Transparency 04,30/09/2021,FG CS HS HDAS TCIF CONTRACT,EXP - PURCHASE OF GOODS/SERVICES - MEDICAL - FIXED COSTS,CENTRE FOR HEALTH & DISABILITY ASSESSMENTS LTD,"£9,450,513"
Sept Transparency 05,07/09/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT - BUILDING SERVICE CHARGES,MITIE FM LTD,"£8,690,041"
Sept Transparency 06,22/09/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - SECURITY,G4S SECURE SOLUTIONS UK LTD,"£8,248,446"
Sept Transparency 07,14/09/2021,EP CEP RESTART CPA 5A CENTRAL & WEST LONDON,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,INGEUS UK LTD,"£4,701,237"
Sept Transparency 08,20/09/2021,EP CEP WHP JETS DWP CONTRACTS NE ENG CPA2,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,REED IN PARTNERSHIP LTD,"£3,527,648"
Sept Transparency 09,14/09/2021,DWP UCO DIRECTOR OUTSOURCING,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILITIES - CONTACT CENTRES,SERCO LTD,"£3,432,857"
Sept Transparency 10,02/09/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,DEPARTMENT FOR WORK & PENSIONS,"£3,400,285"
Sept Transparency 11,23/09/2021,DWP UCO DIRECTOR OUTSOURCING,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILITIES - CONTACT CENTRES,SERCO LTD,"£3,387,720"
Sept Transparency 12,28/09/2021,DIG BPDTS SSA,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,BPDTS LTD,"£3,304,753"
Sept Transparency 13,02/09/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,COMPUTACENTER UK LTD,"£3,224,077"
Sept Transparency 14,14/09/2021,EP CEP RESTART CPA 5C HOME COUNTIES,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,REED IN PARTNERSHIP LTD,"£2,989,800"
Sept Transparency 15,02/09/2021,OPS WDC WSD DEL PROG REPORTING,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ALEXANDER MANN SOLUTIONS LTD,"£2,878,306"
Sept Transparency 16,14/09/2021,EP CEP RESTART CPA 2B S & W YORKSHIRE DERBYSHIRE & NOTTINGHAMSHIRE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,MAXIMUS HEALTH & HUMAN SERVICES LTD,"£2,626,200"
Sept Transparency 17,20/09/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,MITIE FM LTD ,"£2,612,510"
Sept Transparency 18,14/09/2021,EP CEP RESTART CPA 1A WEST CENTRAL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,SERCO LTD,"£2,269,800"
Sept Transparency 19,22/09/2021,CMG OPS EXTERNAL CONTRACTS/SLAS EASTERN PAYMENTS NI,EXP - PURCHASE OF GOODS/SERVICES - OTHER - NORTHERN IRELAND STAFF COSTS,DEPARTMENT FOR COMMUNITIES,"£2,238,856"
Sept Transparency 20,02/09/2021,EP CEP WHP JETS DWP CONTRACTS NE ENG CPA2,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,REED IN PARTNERSHIP LTD,"£2,141,938"
Sept Transparency 21,14/09/2021,EP CEP RESTART CPA 5B SOUTH & EAST LONDON,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,MAXIMUS HEALTH & HUMAN SERVICES LTD,"£2,104,200"
Sept Transparency 22,14/09/2021,EP CEP RESTART CPA 4B SOUTH CENTRAL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,FEDCAP EMPLOYMENT,"£2,036,946"
Sept Transparency 23,14/09/2021,EP CEP RESTART CPA 1B EAST CENTRAL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,JOBS 22 LTD,"£2,001,600"
Sept Transparency 24,14/09/2021,EP CEP RESTART CPA 3A NORTH WEST,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,G4S REGIONAL MANAGEMENT UK & I LTD,"£1,958,444"
Sept Transparency 25,14/09/2021,EP CEP RESTART CPA 2A NORTH EAST & HUMBERSIDE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,REED IN PARTNERSHIP LTD,"£1,953,000"
Sept Transparency 26,14/09/2021,EP CEP RESTART CPA 4A SOUTH WEST,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,THE PLUSS ORGANISATION,"£1,909,858"
Sept Transparency 27,20/09/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,GLA CFO 2014 20 ESF PROGRAMME,"£1,898,936"
