Unique ID,Invoice Paid Date,Invoice Cost Centre Description,Invoice Account Description,Supplier Name,Transparency Invoice Amount
Transparency January 01,11/01/2023,STR MONEY AND PENSIONS SERVICE GIA,EXP - GRANT-IN-AID TO ARMS LENGTH BODIES - SFGB - FCA LEVY,MONEY AND PENSIONS SERVICE,"£28,111,000"
Transparency January 02,06/01/2023,STR FAS PAYMENTS AME,AI - UTILISATION OF PROVISIONS - SOCIAL ASSISTANCE BENEFITS - FAS NON ASSET (9),PENSION PROTECTION FUND,"£20,000,000"
Transparency January 03,13/01/2023,FG CS HS HDAS TCIF CONTRACT,EXP - PURCHASE OF GOODS/SERVICES - MEDICAL - FIXED COSTS,CENTRE FOR HEALTH & DISABILITY ASSESSMENTS LTD,"£11,846,270"
Transparency January 04,13/01/2023,FG CS HS HDAS TCIF CONTRACT,EXP - PURCHASE OF GOODS/SERVICES - MEDICAL - FIXED COSTS,CENTRE FOR HEALTH & DISABILITY ASSESSMENTS LTD,"£11,841,568"
Transparency January 05,05/01/2023,STR THE PENSIONS REGULATOR NON BUDGET P,EXP - GRANT-IN-AID TO ARMS LENGTH BODIES - TPR,THE PENSIONS REGULATOR,"£10,800,000"
Transparency January 06,19/01/2023,PCP ESTATES FM DELA,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT - BUILDING SERVICE CHARGES,MITIE FM LTD ,"£7,333,737"
Transparency January 07,30/01/2023,PCP ESTATES SECURITY DELA,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - SECURITY,G4S SECURE SOLUTIONS UK LTD,"£6,587,898"
Transparency January 08,23/01/2023,EP CEP WHP DWP CONTRACTS NE ENG CPA2,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,REED IN PARTNERSHIP LTD,"£6,005,125"
Transparency January 09,10/01/2023,CHG UC PROGRAMME NON-STRAND,EXP - CURRENT GRANTS TO PRIVATE SECTOR - NON PROFIT INSTITUTIONS SERVING H'HOLD,CITIZENS ADVICE BUREAU,"£5,254,535"
Transparency January 10,05/01/2023,STR TPR ECR GIA,EXP - GRANT-IN-AID TO ARMS LENGTH BODIES - TPR,THE PENSIONS REGULATOR,"£4,500,000"
Transparency January 11,16/01/2023,"DIG SW ASSET SUBSCRIPTION, SUPPORT & MAINT RENEWALS DELP",EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,SAS SOFTWARE LTD,"£3,922,003"
Transparency January 12,19/01/2023,PCP ESTATES FM DELA,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT - BUILDING SERVICE CHARGES,MITIE FM LTD,"£3,577,957"
Transparency January 13,06/01/2023,STR FAS PAYMENTS AME,AI - UTILISATION OF PROVISIONS - SOCIAL ASSISTANCE BENEFITS - FAS NON ASSET (9),PENSION PROTECTION FUND,"£3,399,000"
Transparency January 14,06/01/2023,STR PENSION PROTECTION FUND,EXP - SUBSIDIES TO PUBLIC CORPORATIONS (PC) - PENSION PROTECTION FUND,PENSION PROTECTION FUND,"£3,293,000"
