Unique ID,Invoice Paid Date,Invoice Cost Centre Description,Invoice Account Description,Supplier Name,Transparency Invoice Amount
Transparency June 01,28/06/2023,STR MONEY AND PENSIONS SERVICE GIA,EXP - GRANT-IN-AID TO ARMS LENGTH BODIES - SFGB - FCA LEVY,MONEY AND PENSIONS SERVICE,"£36,252,000"
Transparency June 02,16/06/2023,STR FAS PAYMENTS AME,AI - UTILISATION OF PROVISIONS - SOCIAL ASSISTANCE BENEFITS - FAS NON ASSET (9),PENSION PROTECTION FUND,"£21,324,000"
Transparency June 03,27/06/2023,FG CS HS PIP LOT 1,EXP - PURCHASE OF GOODS/SERVICES - MEDICAL - PIP F2F ASSESSMENTS,ATOS IT SERVICES UK LTD TRADING AS INDEPENDENT ASSESSMENT SERVICES,"£17,324,645"
Transparency June 04,20/06/2023,STR THE PENSIONS REGULATOR NON BUDGET P,EXP - GRANT-IN-AID TO ARMS LENGTH BODIES - TPR,THE PENSIONS REGULATOR,"£17,000,000"
Transparency June 05,07/06/2023,FG CS HS HDAS TCIF CONTRACT,EXP - PURCHASE OF GOODS/SERVICES - MEDICAL - FIXED COSTS,CENTRE FOR HEALTH & DISABILITY ASSESSMENTS LTD,"£11,649,280"
Transparency June 06,20/06/2023,STR TPR ECR GIA,EXP - GRANT-IN-AID TO ARMS LENGTH BODIES - TPR,THE PENSIONS REGULATOR,"£11,000,000"
Transparency June 07,19/06/2023,CHG 620446 STOCKTON ON TEES DARYL HOUSE,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM &BLDNG MNGMT - FM PROJECTS NON CAPITAL,MITIE FM LTD,"£9,142,570"
Transparency June 08,27/06/2023,FG CS HS PIP LOT 2,EXP - PURCHASE OF GOODS/SERVICES - MEDICAL - PIP F2F ASSESSMENTS,CAPITA BUSINESS SERVICES LTD,"£7,226,627"
Transparency June 09,26/06/2023,PCP ESTATES SECURITY DELA,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - SECURITY,G4S SECURE SOLUTIONS UK LTD,"£7,141,865"
Transparency June 10,15/06/2023,PCP ESTATES FM DELA,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT - BUILDING SERVICE CHARGES,MITIE FM LTD ,"£6,656,889"
Transparency June 11,21/06/2023,UCO OUTSOURCED TELEPHONY,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILITIES - CONTACT CENTRES,TELEPERFORMANCE LTD,"£4,068,144"
Transparency June 12,28/06/2023,STR MONEY AND PENSIONS SERVICE GENERAL LEVY GIA,EXP - GRANT-IN-AID TO ARMS LENGTH BODIES - SFGB - GENERAL LEVY,MONEY AND PENSIONS SERVICE,"£4,028,000"
Transparency June 13,22/06/2023,STR THE PENSIONS OMBUDSMAN NON BUDGET A,EXP - GRANT-IN-AID TO ARMS LENGTH BODIES - TPO,THE PENSION OMBUDSMAN,"£3,500,000"
Transparency June 14,30/06/2023,STR MONEY AND PENSIONS SERVICE GIA,EXP - GRANT-IN-AID TO ARMS LENGTH BODIES - SFGB - FCA LEVY,MONEY AND PENSIONS SERVICE,"£2,886,000"
Transparency June 15,26/06/2023,DIG PUBLIC CLOUD DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,AMAZON WEB SERVICES EMEA SARL,"£2,763,710"
Transparency June 16,26/06/2023,OPS DS ATW DISC EP NATIONAL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,MAXIMUS UK SERVICES LTD,"£2,736,057"
Transparency June 17,15/06/2023,CMG OPS EXTERNAL CONTRACTS/SLAS EASTERN PAYMENTS NI,EXP - PURCHASE OF GOODS/SERVICES - OTHER - NORTHERN IRELAND STAFF COSTS,DEPARTMENT FOR COMMUNITIES,"£2,641,461"
Transparency June 18,16/06/2023,EP CEP WHP DWP CONTRACTS NE ENG CPA2,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,REED IN PARTNERSHIP LTD,"£2,590,638"
Transparency June 19,16/06/2023,OPS DS ATW DISC EP NATIONAL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,INGEUS UK LTD,"£2,456,750"
Transparency June 20,26/06/2023,CHG WPT BACK OF HOUSE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED,MITIE FM LTD,"£2,401,567"
