unique ID,Invoice Paid Date,Invoice Cost Centre Description,Invoice Account Description,Supplier Name,Transparency Invoice Amount
Transparency May 01,12/05/2023,STR FAS PAYMENTS AME,AI - UTILISATION OF PROVISIONS - SOCIAL ASSISTANCE BENEFITS - FAS NON ASSET (9),PENSION PROTECTION FUND,"£20,000,000"
Transparency May 02,11/05/2023,FG CS HS PIP LOT 1,EXP - PURCHASE OF GOODS/SERVICES - MEDICAL - PIP F2F ASSESSMENTS,ATOS IT SERVICES UK LTD TRADING AS INDEPENDENT ASSESSMENT SERVICES,"£17,174,662"
Transparency May 03,11/05/2023,FG CS HS HDAS TCIF CONTRACT,EXP - PURCHASE OF GOODS/SERVICES - MEDICAL - FIXED COSTS,CENTRE FOR HEALTH & DISABILITY ASSESSMENTS LTD,"£11,927,335"
Transparency May 04,19/05/2023,CHG 620103 BOLTON ELIZABETH HOUSE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED,MITIE FM LTD,"£8,125,742"
Transparency May 05,11/05/2023,FG CS HS PIP LOT 2,EXP - PURCHASE OF GOODS/SERVICES - MEDICAL - PIP F2F ASSESSMENTS,CAPITA BUSINESS SERVICES LTD,"£7,531,012"
Transparency May 06,30/05/2023,PCP ESTATES SECURITY DELA,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - SECURITY,G4S SECURE SOLUTIONS UK LTD,"£6,293,325"
Transparency May 07,17/05/2023,PCP ESTATES FM DELA,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT - OFFICE CLEANING,MITIE FM LTD,"£4,823,441"
Transparency May 08,03/05/2023,SE SPD BULK MAIL,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - POSTAGE,UK MAIL,"£4,189,534"
Transparency May 09,19/05/2023,DIG CONTACT CENTRE SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING CONTACT CENTRES,BT GLOBAL SERVICES,"£3,886,769"
Transparency May 10,17/05/2023,UCO OUTSOURCED TELEPHONY,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILITIES - CONTACT CENTRES,TELEPERFORMANCE LTD,"£3,630,194"
Transparency May 11,04/05/2023,STR MONEY AND PENSIONS SERVICE GIA,EXP - GRANT-IN-AID TO ARMS LENGTH BODIES - SFGB - FCA LEVY,MONEY AND PENSIONS SERVICE,"£2,851,000"
Transparency May 12,31/05/2023,DIG PUBLIC CLOUD DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,AMAZON WEB SERVICES EMEA SARL,"£2,627,225"
