Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description ,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health and Social Care,Department of Health and Social Care,27/04/2023,Training (Learning and Development),Social Care Group,KPMG LLP,5502563156,25858.17,Writing Skills course for all staff,E14 5GL,Large,,,
Department of Health and Social Care,Department of Health and Social Care,27/04/2023,Publicity & advertising,Social Care Group,OMD GROUP LTD,F00082,42445.64,ASC Campaign- OLV Youtube (Core),N1 9RL,Large,,,
Department of Health and Social Care,Department of Health and Social Care,27/04/2023,Publicity & advertising,Social Care Group,OMD GROUP LTD,F00082,41.98,ASC Campaign- OLV Youtube (ASBOF),N1 9RL,Large,,,
Department of Health and Social Care,Department of Health and Social Care,27/04/2023,Publicity & advertising,Social Care Group,OMD GROUP LTD,E95541,112.78,Marketing services.,N1 9RL,Large,,,
Department of Health and Social Care,Department of Health and Social Care,27/04/2023,Publicity & advertising,Social Care Group,OMD GROUP LTD,E95541,46887.59,ASC Campaign- OLV Youtube (Core),N1 9RL,Large,,,
Department of Health and Social Care,Department of Health and Social Care,27/04/2023,Publicity & advertising,Social Care Group,OMD GROUP LTD,E95541,46.48,ASC Campaign- OLV Youtube (ASBOF),N1 9RL,Large,,,
Department of Health and Social Care,Department of Health and Social Care,27/04/2023,Publicity & advertising,Social Care Group,OMD GROUP LTD,E95535,72.23,Marketing services.,N1 9RL,Large,,,
Department of Health and Social Care,Department of Health and Social Care,27/04/2023,Publicity & advertising,Social Care Group,OMD GROUP LTD,E95535,95909.73,ASC Campaign- Digital Audio (Core),N1 9RL,Large,,,
Department of Health and Social Care,Department of Health and Social Care,27/04/2023,Publicity & advertising,Social Care Group,OMD GROUP LTD,E95535,94.97,ASC Campaign- Digital Audio (ASBOF),N1 9RL,Large,,,
Department of Health and Social Care,Department of Health and Social Care,27/04/2023,Publicity & advertising,Social Care Group,OMD GROUP LTD,E84640,4321.03,Marketing services.,N1 9RL,Large,,,
Department of Health and Social Care,Department of Health and Social Care,27/04/2023,Publicity & advertising,Social Care Group,OMD GROUP LTD,E84640,40175.17,ASC Campaign - Search (Core),N1 9RL,Large,,,
Department of Health and Social Care,Department of Health and Social Care,27/04/2023,Publicity & advertising,Social Care Group,OMD GROUP LTD,E84640,39.66,ASC Campaign - Search (ASBOF),N1 9RL,Large,,,
Department of Health and Social Care,Department of Health and Social Care,26/04/2023,Publicity & advertising,Social Care Group,OMD GROUP LTD,E84639,62026.58,Marketing services.,N1 9RL,Large,,,
Department of Health and Social Care,Department of Health and Social Care,26/04/2023,Publicity & advertising,Social Care Group,OMD GROUP LTD,E84639,7591.75,ASC Campaign - Social (Core),N1 9RL,Large,,,
Department of Health and Social Care,Department of Health and Social Care,18/04/2023,Secondees in invoiced costs,Social Care Group,WALTHAM FOREST LONDO,500644998,6560.29,Secondees in invoiced costs,E17 4JF,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,18/04/2023,Secondees in invoiced costs,Social Care Group,WALTHAM FOREST LONDO,500644998,38223.61,Secondees in invoiced costs,E17 4JF,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,18/04/2023,Secondees in invoiced costs,Social Care Group,HAMPSHIRE COUNTY COU,3611591266,33136.8,Secondees in invoiced costs,SO23 8UJ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,18/04/2023,Fast streamers,Social Care Group,CABINET OFFICE,3828759,57800,Project Delivery Fast Streamer 22/23 - AL,FY5 9BU,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,18/04/2023,Fast streamers,Social Care Group,CABINET OFFICE,3828759,57732,Project Delivery Fast Streamer 22/23 - AL,FY5 9BU,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,18/04/2023,Fast streamers,Social Care Group,CABINET OFFICE,3828731,55732,Project Delivery Fast Streamer 22/23 - IP,FY5 9BU,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,18/04/2023,Fast streamers,Social Care Group,CABINET OFFICE,3828731,57800,Project Delivery Fast Streamer 22/23 - AM,FY5 9BU,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,14/04/2023,Research & development,Social Care Group,IMPROVEMENT AND DEVE,64007638,1518000,DHSC:ASC:CHIP Autumn Winter 2022/23 Contract,SW1P 3HZ,Medium,,,
Department of Health and Social Care,Department of Health and Social Care,14/04/2023,Publicity & advertising,Social Care Group,MULLENLOWE LONDON,9052021266,61520.11,23 Red Partnerships assets,EC1Y 1AT,Medium,,,
Department of Health and Social Care,Department of Health and Social Care,06/04/2023,Publicity & advertising,Social Care Group,OMD GROUP LTD,F00083,342372.16,ASC Campaign- VOD Burst 03 (Core),N1 9RL,Large,,,
Department of Health and Social Care,Department of Health and Social Care,06/04/2023,Publicity & advertising,Social Care Group,OMD GROUP LTD,F00083,338.93,ASC Campaign- VOD Burst 03 (ASBOF),N1 9RL,Large,,,
Department of Health and Social Care,Department of Health and Social Care,06/04/2023,Publicity & advertising,Social Care Group,OMD GROUP LTD,F00078,86691.74,ASC Campaign- Digital Audio (Core),N1 9RL,Large,,,
Department of Health and Social Care,Department of Health and Social Care,06/04/2023,Publicity & advertising,Social Care Group,OMD GROUP LTD,F00078,85.78,ASC Campaign- Digital Audio (ASBOF),N1 9RL,Large,,,
Department of Health and Social Care,Department of Health and Social Care,06/04/2023,Publicity & advertising,Social Care Group,OMD GROUP LTD,F00032,28653.84,ASC Recruitment Campaign social boosting Core,N1 9RL,Large,,,
Department of Health and Social Care,Department of Health and Social Care,06/04/2023,Publicity & advertising,Social Care Group,OMD GROUP LTD,F00032,31.92,ASC Recruitment Campaign social boosting ASBOF,N1 9RL,Large,,,
Department of Health and Social Care,Department of Health and Social Care,06/04/2023,Publicity & advertising,Social Care Group,OMD GROUP LTD,E61213,-62026.58,OFFSET AGAINST INVOICE E84639,N1 9RL,Large,,,
Department of Health and Social Care,Department of Health and Social Care,06/04/2023,Consultancy/Professional Advice,Social Care Group,INFORMED SOLUTIONS L,12239,39500,ASC provider data colletion discovery,WA14 4PA,Medium,,,
Department of Health and Social Care,Department of Health and Social Care,04/04/2023,Revenue Grants to non-profit institutions,Social Care Group,SKILLS FOR CARE LTD,PO557303,-100842.12,Unused funding due to Government pause to programme,LS1 2RP,Medium,,,
Department of Health and Social Care,Department of Health and Social Care,04/04/2023,Revenue Grants to local authorities,Social Care Group,TELFORD AND WREKIN B,WRRF 2,-206118.37,WRRF 2 - TELFORD,TF3 4LF,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,04/04/2023,Revenue Grants to local authorities,Social Care Group,TELFORD AND WREKIN B,WRRF 1,-61503,WRRF 1 - TELFORD,TF3 4LF,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,04/04/2023,Revenue Grants to local authorities,Social Care Group,NORTHUMBERLAND COUNT,WRRF 1,-125073,WRRF 1 NORTHUMBERLAND,NE61 2EF,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,04/04/2023,Outsourcing Contract,Social Care Group,NHS ARDEN AND GREATE,7312627569,35709.23,Trailblazer Data Collection,LE1 6NB,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,04/04/2023,Outsourcing Contract,Social Care Group,NHS ARDEN AND GREATE,7312626128,134866.86,SCG Assurance & Data CLD Project Costs - AGEM,LE1 6NB,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,13/04/2023,SFVS - product & distribution cost,Public Health,Axtons,INV-42273,25426.725,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,13/04/2023,SFVS - product & distribution cost,Public Health,Axtons,INV-42272,111830.895,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,13/04/2023,SFVS - product & distribution cost,Public Health,Total Produce - Bristol,B23030131865,40529.245,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,13/04/2023,SFVS - product & distribution cost,Public Health,Total Produce - Bristol,B23030131801,38784.465,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,13/04/2023,SFVS - product & distribution cost,Public Health,Total Produce - Bristol,B23030131933,45248.75,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,13/04/2023,SFVS - product & distribution cost,Public Health,Total Produce - Bristol,B23030131835,29490.68,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,13/04/2023,SFVS - product & distribution cost,Public Health,Peacheys,NHS0323-320,28938.0162,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,13/04/2023,SFVS - product & distribution cost,Public Health,Peacheys,NHS0323-211,28211.3177,SFVS - product & distribution cost,,SME,,,
