Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description ,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health and Social Care,Department of Health and Social Care,01/12/2022,Publicity & advertising,Social Care Group,KANTAR PUBLIC UK LIMITED,262100754,33155,ASC Recruitment Campaign evaulation,SW1P 3JA,Large,,,
Department of Health and Social Care,Department of Health and Social Care,30/12/2022,Revenue Grants to local authorities,Social Care Group,WILTSHIRE COUNTY COUNCIL,LA Grants (ICTF3 IPC,-100748.91,LA Grants (ICTF3 IPC refunds) wiltshire,BA14 8JN,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,30/12/2022,Revenue Grants to local authorities,Social Care Group,WALSALL METROPOLITAN BOROUGH COUNCIL,LA Grants (ICTF3 Tes,-72258,LA Grants (ICTF3 Testing refunds) WALSALL,WS1 1RG,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,30/12/2022,Revenue Grants to local authorities,Social Care Group,WALSALL METROPOLITAN BOROUGH COUNCIL,LA Grants (ICTF3 IPC,-81342,LA Grants (ICTF3 IPC refunds) WALSALL,WS1 1RG,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,30/12/2022,Revenue Grants to local authorities,Social Care Group,SUFFOLK COUNTY COUNCIL,LA Grants (ICTF3 IPC,-142830,LA Grants (ICTF3 IPC refunds) SUFFOLK,IP1 2DH,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,30/12/2022,Revenue Grants to local authorities,Social Care Group,SHROPSHIRE COUNTY COUNCIL,LA Grants (ICTF3 Tes,-101907.95,LA Grants (ICTF3 Testing refunds) SHROPSHIRE,SY2 6ND,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,30/12/2022,Revenue Grants to local authorities,Social Care Group,NORTH LINCOLNSHIRE COUNCIL,LA Grants (ICTF3 IPC,-28759.71,LA Grants (ICTF3 IPC refunds) NTH LINCOLNSHIRE,DN16 1AB,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,30/12/2022,Revenue Grants to local authorities,Social Care Group,DARLINGTON BOROUGH COUNCIL,LA Grants (ICTF3 IPC,-34082,LA Grants (ICTF3 IPC refunds) DARLINGTON,DL1 5QT,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,21/12/2022,Revenue Policy Payments,Social Care Group,IMPROVEMENT AND DEVELOPMENT AGENCY,64001705,922139,BCF External Support Programme 22-23,SW1P 3HZ,Medium,,,
Department of Health and Social Care,Department of Health and Social Care,16/12/2022,Consultancy/Professional Advice,Social Care Group,THINK AHEAD,INV-10033,2166960,Think Ahead- Mental health social work graduate programme FY,WC2N 6DF,Micro,,,
Department of Health and Social Care,Department of Health and Social Care,09/12/2022,Revenue Grants to local authorities,Social Care Group,RUTLAND COUNTY COUNCIL,LA Grants (ICTF3 IPC,-32556,LA Grants (ICTF3 IPC refunds) Rutland,LE15 6HP,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,09/12/2022,Revenue Grants to local authorities,Social Care Group,HERTFORDSHIRE COUNTY COUNCIL,LA Grants (ICTF3 Tes,-30322,LA Grants (ICTF3 Testing refunds) HERTFORDSHIRE,SG13 8DQ,Govn,,,
