Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description ,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health and Social Care,Department of Health and Social Care,21/02/2023,Additions-SW LIC,Social Care Group,HEADUP SYSTEM ,FCP0001415,283900.4,HEADUP SYSTEM INV1010,,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,28/02/2023,Revenue Grants to local authorities,Social Care Group,SALFORD CITY COUNCIL,REFUND-IFTEST3,-78550.51,SALFORD - REPAYMENT,M27 5AP,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,24/02/2023,Revenue Grants to non-profit institutions,Social Care Group,SOCIAL CARE INSTITUT,ASI0031835,354000,"Grant Ref 2022_005 Think Local Act Personal (TLAP), hosted by SCIE",W1U 6AG,Small,,,
Department of Health and Social Care,Department of Health and Social Care,16/02/2023,Revenue Grants to local authorities,Social Care Group,OLDHAM METROPOLITAN,LA Grants (ICTF3 3,-32740,LA Grants (ICTF3 IPC refunds) OLDHAM METROPOLITAN,OL1 1UH,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,16/02/2023,Revenue Grants to local authorities,Social Care Group,LEICESTERSHIRE COUNT,LA Grants (ICTF3 3,-30893,LA Grants (ICTF3 IPC refunds) LEICESTERSHIRE COUNT,LE3 8RA,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,16/02/2023,Revenue Grants to local authorities,Social Care Group,LEICESTERSHIRE COUNT,LA Grants (ICF1 REF1,-58013,LA Grants (ICF1 refunds) LEICESTERSHIRE,LE3 8RA,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,16/02/2023,Revenue Grants to local authorities,Social Care Group,HILLINGDON LONDON BO,LA Grants (ICTF3 2,-39168,LA Grants (ICTF3 Testing refunds) HILLINGDON LONDON BO,UB8 1UW,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,16/02/2023,Revenue Grants to local authorities,Social Care Group,HILLINGDON LONDON BO,LA Grants (ICTF3,-139140,LA Grants (ICTF3 IPC refunds) HILLINGDON LONDON BO,UB8 1UW,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,14/02/2023,Revenue Grants to local authorities,Social Care Group,WORCESTERSHIRE COUNT,09022023OS1251GD6468,684953,GD31/6468 - Local Authority Social Services Grants WORCESTERSHIRE COUNT,WR5 2NP,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,14/02/2023,Revenue Grants to local authorities,Social Care Group,WOLVERHAMPTON CITY C,09022023OS1251GD6468,246359,GD31/6468 - Local Authority Social Services Grants WOLVERHAMPTON CITY C,WV1 1RG,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,14/02/2023,Revenue Grants to local authorities,Social Care Group,WOKINGHAM COUNCIL,09022023OS1251GD6468,91313,GD31/6468 - Local Authority Social Services Grants WOKINGHAM COUNCIL,RG40 1WJ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,14/02/2023,Revenue Grants to local authorities,Social Care Group,WIRRAL METROPOLITAN,09022023OS1251GD6468,422261,GD31/6468 - Local Authority Social Services Grants WIRRAL METROPOLITAN,CH27 9FQ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,14/02/2023,Revenue Grants to local authorities,Social Care Group,WINDSOR AND MAIDENHE,09022023OS1251GD6468,104926,GD31/6468 - Local Authority Social Services Grants WINDSOR AND MAIDENHE,SL6 1RF,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,14/02/2023,Revenue Grants to local authorities,Social Care Group,WILTSHIRE COUNTY COU,09022023OS1251GD6468,646095,GD31/6468 - Local Authority Social Services Grants WILTSHIRE COUNTY COU,BA14 8JN,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,14/02/2023,Revenue Grants to local authorities,Social Care Group,WIGAN METROPOLITAN B,09022023OS1251GD6468,363950,GD31/6468 - Local Authority Social Services Grants WIGAN METROPOLITAN B,WN1 3XZ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,14/02/2023,Revenue Grants to local authorities,Social Care Group,WESTMINSTER CITY COU,09022023OS1251GD6468,223757,GD31/6468 - Local Authority Social Services Grants WESTMINSTER CITY COU,WC2N 6NU,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,14/02/2023,Revenue Grants to local authorities,Social Care Group,WEST SUSSEX COUNTY C,09022023OS1251GD6468,677311,GD31/6468 - Local Authority Social Services Grants WEST SUSSEX COUNTY C,PO19 1RG,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,14/02/2023,Revenue Grants to local authorities,Social Care Group,WEST NORTHAMPTONSHIR,09022023OS1251GD6468,483169,GD31/6468 - Local Authority Social Services Grants WEST NORTHAMPTONSHIR,CB3 0AP,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,14/02/2023,Revenue Grants to local authorities,Social Care Group,WEST BERKSHIRE COUNC,09022023OS1251GD6468,111045,GD31/6468 - Local Authority Social Services Grants WEST BERKSHIRE COUNC,RG14 5LD,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,14/02/2023,Revenue Grants to local authorities,Social Care Group,WARWICKSHIRE COUNTY,09022023OS1251GD6468,425704,GD31/6468 - Local Authority Social Services Grants WARWICKSHIRE COUNTY,CV34 4RH,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,14/02/2023,Revenue Grants to local authorities,Social Care Group,WARRINGTON BOROUGH C,09022023OS1251GD6468,335124,GD31/6468 - Local Authority Social Services Grants WARRINGTON BOROUGH C,WA1 1BN,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,14/02/2023,Revenue Grants to local authorities,Social Care Group,WANDSWORTH LONDON BO,09022023OS1251GD6468,530781,GD31/6468 - Local Authority Social Services Grants WANDSWORTH LONDON BO,SW18 2PU,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,14/02/2023,Revenue Grants to local authorities,Social Care Group,WALTHAM FOREST LONDO,09022023OS1251GD6468,181972,GD31/6468 - Local Authority Social Services Grants WALTHAM FOREST LONDO,E17 4JF,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,14/02/2023,Revenue Grants to local authorities,Social Care Group,WALSALL METROPOLITAN,09022023OS1251GD6468,254832,GD31/6468 - Local Authority Social Services Grants WALSALL METROPOLITAN,WS1 1RG,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,14/02/2023,Revenue Grants to local authorities,Social Care Group,WAKEFIELD METROPOLIT,09022023OS1251GD6468,563450,GD31/6468 - Local Authority Social Services Grants WAKEFIELD METROPOLIT,WF1 9AJ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,14/02/2023,Revenue Grants to local authorities,Social Care Group,TRAFFORD METROPOLITA,09022023OS1251GD6468,178526,GD31/6468 - Local Authority Social Services Grants TRAFFORD METROPOLITA,M32 0YY,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,14/02/2023,Revenue Grants to local authorities,Social Care Group,TOWER HAMLETS LONDON,09022023OS1251GD6468,240093,GD31/6468 - Local Authority Social Services Grants TOWER HAMLETS LONDON,E2 0HQ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,14/02/2023,Revenue Grants to local authorities,Social Care Group,TORBAY COUNCIL,09022023OS1251GD6468,227263,GD31/6468 - Local Authority Social Services Grants TORBAY COUNCIL,TQ1 3DR,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,14/02/2023,Revenue Grants to local authorities,Social Care Group,THURROCK BOROUGH COU,09022023OS1251GD6468,125891,GD31/6468 - Local Authority Social Services Grants THURROCK BOROUGH COU,RM17 0LT,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,14/02/2023,Revenue Grants to local authorities,Social Care Group,THE LONDON BOROUGH O,09022023OS1251GD6468,125839,GD31/6468 - Local Authority Social Services Grants THE LONDON BOROUGH O,TW1 3BZ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,14/02/2023,Revenue Grants to local authorities,Social Care Group,TELFORD AND WREKIN B,09022023OS1251GD6468,204282,GD31/6468 - Local Authority Social Services Grants TELFORD AND WREKIN B,TF3 4LF,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,14/02/2023,Revenue Grants to local authorities,Social Care Group,TAMESIDE METROPOLITA,09022023OS1251GD6468,227903,GD31/6468 - Local Authority Social Services Grants TAMESIDE METROPOLITA,OL6 6DL,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,14/02/2023,Revenue Grants to local authorities,Social Care Group,SWINDON BOROUGH COUN,09022023OS1251GD6468,188656,GD31/6468 - Local Authority Social Services Grants SWINDON BOROUGH COUN,SN1 2JH,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,14/02/2023,Revenue Grants to local authorities,Social Care Group,SUTTON LONDON BOROUG,09022023OS1251GD6468,135630,GD31/6468 - Local Authority Social Services Grants SUTTON LONDON BOROUG,SM1 1EA,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,14/02/2023,Revenue Grants to local authorities,Social Care Group,SURREY COUNTY COUNCI,09022023OS1251GD6468,1085024,GD31/6468 - Local Authority Social Services Grants SURREY COUNTY COUNCI,KT1 2DN,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,14/02/2023,Revenue Grants to local authorities,Social Care Group,SUNDERLAND CITY METR,09022023OS1251GD6468,433705,GD31/6468 - Local Authority Social Services Grants SUNDERLAND CITY METR,SR2 7DN,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,14/02/2023,Revenue Grants to local authorities,Social Care Group,SUFFOLK COUNTY COUNC,09022023OS1251GD6468,901791,GD31/6468 - Local Authority Social Services Grants SUFFOLK COUNTY COUNC,IP1 2DH,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,14/02/2023,Revenue Grants to local authorities,Social Care Group,STOKE ON TRENT CITY,09022023OS1251GD6468,264531,GD31/6468 - Local Authority Social Services Grants STOKE ON TRENT CITY,ST4 4TS,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,14/02/2023,Revenue Grants to local authorities,Social Care Group,STOCKTON ON TEES BOR,09022023OS1251GD6468,335720,GD31/6468 - Local Authority Social Services Grants STOCKTON ON TEES BOR,TS23 2YD,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,14/02/2023,Revenue Grants to local authorities,Social Care Group,STOCKPORT METROPOLIT,09022023OS1251GD6468,237770,GD31/6468 - Local Authority Social Services Grants STOCKPORT METROPOLIT,SK1 3XE,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,14/02/2023,Revenue Grants to local authorities,Social Care Group,STAFFORDSHIRE COUNTY,09022023OS1251GD6468,1381825,GD31/6468 - Local Authority Social Services Grants STAFFORDSHIRE COUNTY,ST16 2NF,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,14/02/2023,Revenue Grants to local authorities,Social Care Group,ST HELENS METROPOLIT,09022023OS1251GD6468,218990,GD31/6468 - Local Authority Social Services Grants ST HELENS METROPOLIT,WA10 1HP,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,14/02/2023,Revenue Grants to local authorities,Social Care Group,SOUTHWARK LONDON BOR,09022023OS1251GD6468,256878,GD31/6468 - Local Authority Social Services Grants SOUTHWARK LONDON BOR,SE1 2QH,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,14/02/2023,Revenue Grants to local authorities,Social Care Group,SOUTHEND ON SEA BORO,09022023OS1251GD6468,157960,GD31/6468 - Local Authority Social Services Grants SOUTHEND ON SEA BORO,SS2 6ER,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,14/02/2023,Revenue Grants to local authorities,Social Care Group,SOUTHAMPTON CITY COU,09022023OS1251GD6468,211430,GD31/6468 - Local Authority Social Services Grants SOUTHAMPTON CITY COU,SO15 1GX,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,14/02/2023,Revenue Grants to local authorities,Social Care Group,SOUTH TYNESIDE COUNC,09022023OS1251GD6468,256148,GD31/6468 - Local Authority Social Services Grants SOUTH TYNESIDE COUNC,NE33 2RL,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,14/02/2023,Revenue Grants to local authorities,Social Care Group,SOUTH GLOUCESTERSHIR,09022023OS1251GD6468,504131,GD31/6468 - Local Authority Social Services Grants SOUTH GLOUCESTERSHIR,BS15 9TR,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,14/02/2023,Revenue Grants to local authorities,Social Care Group,SOMERSET COUNTY COUN,09022023OS1251GD6468,636417,GD31/6468 - Local Authority Social Services Grants SOMERSET COUNTY COUN,TA1 4DY,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,14/02/2023,Revenue Grants to local authorities,Social Care Group,SOLIHULL METROPOLITA,09022023OS1251GD6468,165537,GD31/6468 - Local Authority Social Services Grants SOLIHULL METROPOLITA,B91 9GN,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,14/02/2023,Revenue Grants to local authorities,Social Care Group,SLOUGH BOROUGH COUNC,09022023OS1251GD6468,99752,GD31/6468 - Local Authority Social Services Grants SLOUGH BOROUGH COUNC,SL1 3UF,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,14/02/2023,Revenue Grants to local authorities,Social Care Group,SHROPSHIRE COUNTY CO,09022023OS1251GD6468,392287,GD31/6468 - Local Authority Social Services Grants SHROPSHIRE COUNTY CO,SY2 6ND,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,14/02/2023,Revenue Grants to local authorities,Social Care Group,SHEFFIELD CITY COUNC,09022023OS1251GD6468,469279,GD31/6468 - Local Authority Social Services Grants SHEFFIELD CITY COUNC,S1 1UJ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,14/02/2023,Revenue Grants to local authorities,Social Care Group,SEFTON COUNCIL,09022023OS1251GD6468,360087,GD31/6468 - Local Authority Social Services Grants SEFTON COUNCIL,L20 3NJ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,14/02/2023,Revenue Grants to local authorities,Social Care Group,SANDWELL METROPOPLIT,09022023OS1251GD6468,311059,GD31/6468 - Local Authority Social Services Grants SANDWELL METROPOPLIT,B69 3DE,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,14/02/2023,Revenue Grants to local authorities,Social Care Group,SALFORD CITY COUNCIL,09022023OS1251GD6468,452625,GD31/6468 - Local Authority Social Services Grants SALFORD CITY COUNCIL,M27 5AP,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,14/02/2023,Revenue Grants to local authorities,Social Care Group,RUTLAND COUNTY COUNC,09022023OS1251GD6468,142879,GD31/6468 - Local Authority Social Services Grants RUTLAND COUNTY COUNC,LE15 6HP,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,14/02/2023,Revenue Grants to local authorities,Social Care Group,ROTHERHAM METROPOLIT,09022023OS1251GD6468,265328,GD31/6468 - Local Authority Social Services Grants ROTHERHAM METROPOLIT,S60 1AE,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,14/02/2023,Revenue Grants to local authorities,Social Care Group,ROCHDALE BOROUGH COU,09022023OS1251GD6468,276834,GD31/6468 - Local Authority Social Services Grants ROCHDALE BOROUGH COU,OL16 1XU,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,14/02/2023,Revenue Grants to local authorities,Social Care Group,REDCAR AND CLEVELAND,09022023OS1251GD6468,191364,GD31/6468 - Local Authority Social Services Grants REDCAR AND CLEVELAND,TS6 9AR,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,14/02/2023,Revenue Grants to local authorities,Social Care Group,REDBRIDGE LONDON BOR,09022023OS1251GD6468,187782,GD31/6468 - Local Authority Social Services Grants REDBRIDGE LONDON BOR,IG1 1TR,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,14/02/2023,Revenue Grants to local authorities,Social Care Group,READING BOROUGH COUN,09022023OS1251GD6468,113134,GD31/6468 - Local Authority Social Services Grants READING BOROUGH COUN,RG1 7TD,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,14/02/2023,Revenue Grants to local authorities,Social Care Group,PORTSMOUTH CITY COUN,09022023OS1251GD6468,226057,GD31/6468 - Local Authority Social Services Grants PORTSMOUTH CITY COUN,PO1 2AL,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,14/02/2023,Revenue Grants to local authorities,Social Care Group,PLYMOUTH CITY COUNCI,09022023OS1251GD6468,559235,GD31/6468 - Local Authority Social Services Grants PLYMOUTH CITY COUNCI,PL1 3BJ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,14/02/2023,Revenue Grants to local authorities,Social Care Group,PETERBOROUGH CITY CO,09022023OS1251GD6468,363472,GD31/6468 - Local Authority Social Services Grants PETERBOROUGH CITY CO,PE1 1HF,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,14/02/2023,Revenue Grants to local authorities,Social Care Group,OXFORDSHIRE COUNTY C,09022023OS1251GD6468,663644,GD31/6468 - Local Authority Social Services Grants OXFORDSHIRE COUNTY C,OX4 2GQ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,14/02/2023,Revenue Grants to local authorities,Social Care Group,OLDHAM METROPOLITAN,09022023OS1251GD6468,225215,GD31/6468 - Local Authority Social Services Grants OLDHAM METROPOLITAN,OL1 1UH,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,14/02/2023,Revenue Grants to local authorities,Social Care Group,NOTTINGHAMSHIRE COUN,09022023OS1251GD6468,1075423,GD31/6468 - Local Authority Social Services Grants NOTTINGHAMSHIRE COUN,NG2 7QP,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,14/02/2023,Revenue Grants to local authorities,Social Care Group,NOTTINGHAM CITY COUN,09022023OS1251GD6468,438586,GD31/6468 - Local Authority Social Services Grants NOTTINGHAM CITY COUN,NG1 2DE,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,14/02/2023,Revenue Grants to local authorities,Social Care Group,NORTHUMBERLAND COUNT,09022023OS1251GD6468,552767,GD31/6468 - Local Authority Social Services Grants NORTHUMBERLAND COUNT,NE61 2EF,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,14/02/2023,Revenue Grants to local authorities,Social Care Group,NORTH YORKSHIRE COUN,09022023OS1251GD6468,572705,GD31/6468 - Local Authority Social Services Grants NORTH YORKSHIRE COUN,DL6 1DF,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,14/02/2023,Revenue Grants to local authorities,Social Care Group,NORTH TYNESIDE METRO,09022023OS1251GD6468,267369,GD31/6468 - Local Authority Social Services Grants NORTH TYNESIDE METRO,NE28 6UZ,Govn,,,
