Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount ,PO Line Description ,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,,
Department of Health and Social Care,Department of Health and Social Care,21/01/2021,Contractor/ Staff Substitution,Global Health,2T SECURITY LTD,414," 377,325.00 ",,HP6 6BQ,Micro,,,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2021,Contractor/ Staff Substitution,Global Health,2T SECURITY LTD,405," 370,597.50 ",,HP6 6BQ,Micro,,,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2021,Outsourcing Contract,Global Health,4C ASSOCIATES LTD,SIN001430," 146,462.30 ",,W6 7JP,Small,,,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2021,Consultancy/Professional Advice,Global Health,4C ASSOCIATES LTD,SIN001401," 145,458.00 ",,W6 7JP,Small,,,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2021,Outsourcing Contract,Global Health,4C ASSOCIATES LTD,SIN001430," 144,300.00 ",,W6 7JP,Small,,,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2021,Outsourcing Contract,Global Health,4C ASSOCIATES LTD,SIN001430," 82,186.50 ",,W6 7JP,Small,,,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2021,Outsourcing Contract,Global Health,4C ASSOCIATES LTD,SIN001430," 38,880.00 ",,W6 7JP,Small,,,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2021,Outsourcing Contract,Global Health,4C ASSOCIATES LTD,SIN001430," 14,520.00 ",,W6 7JP,Small,,,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2021,Outsourcing Contract,Global Health,4C ASSOCIATES LTD,SIN001430," 12,952.00 ",,W6 7JP,Small,,,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2021,Outsourcing Contract,Global Health,4C ASSOCIATES LTD,SIN001430," 11,100.00 ",,W6 7JP,Small,,,,,
Department of Health and Social Care,Department of Health and Social Care,14/01/2021,School Fruit and Veg Scheme,Global Health,A G Axton,8438," 89,403.91 ",,,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,15/01/2021,Other programme expenditure,Global Health,AB SCIENTIFIC LTD,7465," 100,080.00 ",,EC1V 2NX,Small,,,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2021,Other programme expenditure,Global Health,ABBOTT LABORATORIES LTD,855216051," 22,739.20 ",,SL6 4XE,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2021,Other programme expenditure,Global Health,ABBOTT LABORATORIES LTD,855216051," 54,372.92 ",,SL6 4XE,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2021,Other programme expenditure,Global Health,ABBOTT LABORATORIES LTD,855216051," 22,139.31 ",,SL6 4XE,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,18/01/2021,Other programme expenditure,Global Health,ABBOTT RAPID DIAGNOSTICS LTD,92337720," 1,981,440.00 ",,SK7 5BW,Medium,,,,,
Department of Health and Social Care,Department of Health and Social Care,18/01/2021,Other programme expenditure,Global Health,ABBOTT RAPID DIAGNOSTICS LTD,92337720," 3,456,000.00 ",,SK7 5BW,Medium,,,,,
Department of Health and Social Care,Department of Health and Social Care,18/01/2021,Other programme expenditure,Global Health,ABBOTT RAPID DIAGNOSTICS LTD,92337719,"-3,456,000.00 ",,SK7 5BW,Medium,,,,,
Department of Health and Social Care,Department of Health and Social Care,21/01/2021,Contractor/ Staff Substitution,Global Health,ACCENTURE UK LTD,3003489075," 7,017.30 ",,EC3M 3BD,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,21/01/2021,Contractor/ Staff Substitution,Global Health,ACCENTURE UK LTD,3003489075," 5,775.30 ",,EC3M 3BD,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,21/01/2021,Contractor/ Staff Substitution,Global Health,ACCENTURE UK LTD,3003489075," 56,138.40 ",,EC3M 3BD,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,21/01/2021,Contractor/ Staff Substitution,Global Health,ACCENTURE UK LTD,3003489075," 17,400.00 ",,EC3M 3BD,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,26/01/2021,Consultancy/Professional Advice,Global Health,ACCENTURE UK LTD,3003487963," 450,605.57 ",,EC3M 3BD,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,15/01/2021,Consultancy/Professional Advice,Global Health,ACCENTURE UK LTD,3003489325," 1,682,598.36 ",,EC3M 3BD,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,18/01/2021,Consultancy/Professional Advice,Global Health,ACCENTURE UK LTD,3003489327," 1,203,051.94 ",,EC3M 3BD,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,18/01/2021,Consultancy/Professional Advice,Global Health,ACCENTURE UK LTD,3003492161," 970,131.38 ",,EC3M 3BD,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,21/01/2021,Contractor/ Staff Substitution,Global Health,ACCENTURE UK LTD,3003489071," 789,903.65 ",,EC3M 3BD,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,29/01/2021,Consultancy/Professional Advice,Global Health,ACCENTURE UK LTD,3003489070," 300,573.66 ",,EC3M 3BD,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,29/01/2021,Contractor/ Staff Substitution,Global Health,ACCENTURE UK LTD,3003489070," 191,979.35 ",,EC3M 3BD,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,21/01/2021,Other programme expenditure,Global Health,ACCORA LTD,434210," 3,346,878.00 ",,SG8 5QP,Medium,,,,,
Department of Health and Social Care,Department of Health and Social Care,21/01/2021,Other programme expenditure,Global Health,ACCORA LTD,434343," 2,129,218.40 ",,SG8 5QP,Medium,,,,,
Department of Health and Social Care,Department of Health and Social Care,21/01/2021,Other programme expenditure,Global Health,ACCORA LTD,434672," 545,461.95 ",,SG8 5QP,Medium,,,,,
Department of Health and Social Care,Department of Health and Social Care,07/01/2021,Additions-LEASED BUILDINGS,Global Health,ACTAVO BUILDING SOLUTIONS UK LIMITED,INVAEUK3210," 727,099.20 ",,WF4 3FU,Small,,,,,
Department of Health and Social Care,Department of Health and Social Care,13/01/2021,Revenue Grants to non-profit institutions,Prevention Community and Social Care,ACTION ON SMOKING AND HEALTH,ASI0004703," 35,000.00 ",,EC1N 8JY,Micro,,,,,
Department of Health and Social Care,Department of Health and Social Care,08/01/2021,Legal Fees,Global Health,ADDLESHAW GODDARD LLP,AGI0802," 52,925.00 ",,EC1Y 4AG,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,11/01/2021,Legal Fees,Global Health,ADDLESHAW GODDARD LLP,AGI0839," 36,135.00 ",,EC1Y 4AG,Large,,,,,
