Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount ,PO Line Description ,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
DHSC,DHSC,01/01/2020,EPC Control Account,Holding CT Core,THE ROYAL BANK OF SCOTLAND PLC,8646001-03-JAN-20,"£36,444.84",,SS1 9AJ,LARGE,,,
DHSC,DHSC,01/01/2020,Outsourcing Contract,GROUP OPERATIONS,ATOS IT SOLUTIONS AND SERVICES LTD,5584327341,"-£43,777.20",CSIP Service Management Project  Agile Delivery of MVP,WS11 0JA,LARGE,,,
DHSC,DHSC,01/01/2020,Outsourcing Contract,FINANCE AND GROUP OPERATIONS,ATOS IT SOLUTIONS AND SERVICES LTD,5584327341,"£41,860.00",CSIP Service Management Project  Agile Delivery of MVP,WS11 0JA,LARGE,,,
DHSC,DHSC,01/01/2020,Outsourcing Contract,FINANCE AND GROUP OPERATIONS,ATOS IT SOLUTIONS AND SERVICES LTD,5584327341,"£1,917.20",CSIP Service Management Project  Agile Delivery of MVP expenses,WS11 0JA,LARGE,,,
DHSC,DHSC,01/01/2020,Outsourcing Contract,FINANCE AND GROUP OPERATIONS,ATOS IT SOLUTIONS AND SERVICES LTD,5584324910,"£22,947.00",WR1128-04 CR01 - Programme Architecture and Management Support,NW1 3HG,LARGE,,,
DHSC,DHSC,01/01/2020,Consultancy/Professional Advice,COMMUNITY CARE,ASSOCIATION OF DIRECTORS OF ADULT SOCIAL SERVICES,4495,"£40,306.80",,SW8 2LL,PUBLIC,,,
DHSC,DHSC,02/01/2020,Research & development,CHIEF SCIENTIFIC ADVISOR,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,ERS-624664-182222,"£26,748.00",HTA Clinical Evaluation Trial,BS1 3NU,PUBLIC,,,
DHSC,DHSC,02/01/2020,Research & development,CHIEF SCIENTIFIC ADVISOR,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,ERS-624665-182224,"£55,418.00",Saftey and Quality Research,WF3 1WE,PUBLIC,,,
DHSC,DHSC,02/01/2020,Research & development,CHIEF SCIENTIFIC ADVISOR,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ERS-624666-182236,"£134,774.00",Saftey and Quality Research,W12 0HS,PUBLIC,,,
DHSC,DHSC,02/01/2020,Research & development,CHIEF SCIENTIFIC ADVISOR,SALFORD ROYAL NHS FOUNDATION TRUST,ERS-624667-182229,"£125,716.00",Saftey and Quality Research,M6 8HD,PUBLIC,,,
