Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description ,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health and Social Care,Department of Health and Social Care,30/01/2023,Revenue Grants to local authorities,Social Care Group,MILTON KEYNES COUNCIL,LA Grants (ICTF3 IPC,-77108,LA Grants (ICTF3 IPC refunds) MILTON KEYNES,MK9 3ES,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,WORCESTERSHIRE COUNTY COUNCIL,25012023OS1445GD6357,1192313,Adult Social Care Discharge Fund-E1821X-WORCESTERSHIRE COUNTY COUNCIL,WR5 2NP,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,WOLVERHAMPTON CITY COUNCIL,25012023OS1445GD6357,688238,Adult Social Care Discharge Fund-E4607X-WOLVERHAMPTON CITY COUNCIL,WV1 1RG,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,WOKINGHAM COUNCIL,25012023OS1445GD6357,200795,Adult Social Care Discharge Fund-E0306X-WOKINGHAM COUNCIL,RG40 1WJ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,WIRRAL METROPOLITAN BOROUGH COUNCIL,25012023OS1445GD6357,900185,Adult Social Care Discharge Fund-E4305X-WIRRAL METROPOLITAN BOROUGH COUNCIL,CH27 9FQ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,WINDSOR AND MAIDENHEAD ROYAL BOROUGH OF,25012023OS1445GD6357,238229,Adult Social Care Discharge Fund-E0305X-WINDSOR AND MAIDENHEAD ROYAL BOROUGH OF,SL6 1RF,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,WILTSHIRE COUNTY COUNCIL,25012023OS1445GD6357,911532,Adult Social Care Discharge Fund-E3902X-WILTSHIRE COUNTY COUNCIL,BA14 8JN,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,WIGAN METROPOLITAN BOROUGH COUNCIL,25012023OS1445GD6357,796111,Adult Social Care Discharge Fund-E4210X-WIGAN METROPOLITAN BOROUGH COUNCIL,WN1 3XZ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,WESTMINSTER CITY COUNCIL,25012023OS1445GD6357,661580,Adult Social Care Discharge Fund-E5022X-WESTMINSTER CITY COUNCIL,WC2N 6NU,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,WEST SUSSEX COUNTY COUNCIL,25012023OS1445GD6357,1651726,Adult Social Care Discharge Fund-E3820X-WEST SUSSEX COUNTY COUNCIL,PO19 1RG,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,WEST NORTHAMPTONSHIRE COUNCIL,25012023OS1445GD6357,727507,Adult Social Care Discharge Fund-E2802X-WEST NORTHAMPTONSHIRE,CB3 0AP,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,WEST BERKSHIRE COUNCIL,25012023OS1445GD6357,250449,Adult Social Care Discharge Fund-E0302X-WEST BERKSHIRE COUNCIL,RG14 5LD,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,WARWICKSHIRE COUNTY COUNCIL,25012023OS1445GD6357,1117292,Adult Social Care Discharge Fund-E3720X-WARWICKSHIRE COUNTY COUNCIL,CV34 4RH,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,WARRINGTON BOROUGH COUNCIL,25012023OS1445GD6357,411869,Adult Social Care Discharge Fund-E0602X-WARRINGTON BOROUGH COUNCIL,WA1 1BN,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,WANDSWORTH LONDON BOROUGH COUNCIL,25012023OS1445GD6357,648728,Adult Social Care Discharge Fund-E5021X-WANDSWORTH LONDON BOROUGH COUNCIL,SW18 2PU,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,WALTHAM FOREST LONDON BOROUGH COUNCIL,25012023OS1445GD6357,544346,Adult Social Care Discharge Fund-E5049X-WALTHAM FOREST LONDON BOROUGH COUNCIL,E17 4JF,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,WALSALL METROPOLITAN BOROUGH COUNCIL,25012023OS1445GD6357,715912,Adult Social Care Discharge Fund-E4606X-WALSALL METROPOLITAN BOROUGH COUNCIL,WS1 1RG,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,WAKEFIELD METROPOLITAN DISTRICT COUNCIL,LA Grants (ICTF3 IPC,-45687.17,LA Grants (ICTF3 IPC refunds) WAKEFIELD,WF1 9AJ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,WAKEFIELD METROPOLITAN DISTRICT COUNCIL,25012023OS1445GD6357,824438,Adult Social Care Discharge Fund-E4705X-WAKEFIELD METROPOLITAN DISTRICT COUNCIL,WF1 9AJ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,TRAFFORD METROPOLITAN BOROUGH COUNCIL,25012023OS1445GD6357,472852,Adult Social Care Discharge Fund-E4209X-TRAFFORD METROPOLITAN BOROUGH COUNCIL,M32 0YY,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,TOWER HAMLETS LONDON BOROUGH COUNCIL,25012023OS1445GD6357,732482,Adult Social Care Discharge Fund-E5020X-TOWER HAMLETS LONDON BOROUGH COUNCIL,E2 0HQ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,TORBAY COUNCIL,25012023OS1445GD6357,414290,Adult Social Care Discharge Fund-E1102X-TORBAY COUNCIL,TQ1 3DR,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,THURROCK BOROUGH COUNCIL,25012023OS1445GD6357,327102,Adult Social Care Discharge Fund-E1502X-THURROCK BOROUGH COUNCIL,RM17 0LT,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,THE LONDON BOROUGH OF RICHMOND UPON THAMES,25012023OS1445GD6357,330421,Adult Social Care Discharge Fund-E5047X-RICHMOND UPON THAMES BOROUGH COUNCIL,TW1 3BZ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,TELFORD AND WREKIN BOROUGH OF,LA Grants (ICTF3 Tes,-61644.55,LA Grants (ICTF3 Testing refunds) TELFORD,TF3 4LF,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,TELFORD AND WREKIN BOROUGH OF,A LA Grants (ICTF3 I,-100637.23,LA Grants (ICTF3 IPC refunds) TELFORD,TF3 4LF,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,TELFORD AND WREKIN BOROUGH OF,25012023OS1445GD6357,387145,Adult Social Care Discharge Fund-E3201X-TELFORD AND WREKIN BOROUGH OF,TF3 4LF,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,TAMESIDE METROPOLITAN BOROUGH COUNCIL,25012023OS1445GD6357,577018,Adult Social Care Discharge Fund-E4208X-TAMESIDE METROPOLITAN BOROUGH COUNCIL,OL6 6DL,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,SWINDON BOROUGH COUNCIL,25012023OS1445GD6357,384628,Adult Social Care Discharge Fund-E3901X-SWINDON BOROUGH COUNCIL,SN1 2JH,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,SUTTON LONDON BOROUGH COUNCIL,25012023OS1445GD6357,368641,Adult Social Care Discharge Fund-E5048X-SUTTON LONDON BOROUGH COUNCIL,SM1 1EA,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,SURREY COUNTY COUNCIL,25012023OS1445GD6357,1997318,Adult Social Care Discharge Fund-E3620X-SURREY COUNTY COUNCIL,KT1 2DN,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,SUNDERLAND CITY METROPOLITAN BOROUGH COUNCIL,25012023OS1445GD6357,783889,Adult Social Care Discharge Fund-E4505X-SUNDERLAND CITY METROPOLITAN BOROUGH COUNCIL,SR2 7DN,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,SUFFOLK COUNTY COUNCIL,25012023OS1445GD6357,1630700,Adult Social Care Discharge Fund-E3520X-SUFFOLK COUNTY COUNCIL,IP1 2DH,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,STOKE ON TRENT CITY COUNCIL,25012023OS1445GD6357,665948,Adult Social Care Discharge Fund-E3401X-STOKE ON TRENT CITY COUNCIL,ST4 4TS,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,STOCKTON ON TEES BOROUGH COUNCIL,25012023OS1445GD6357,422619,Adult Social Care Discharge Fund-E0704X-STOCKTON ON TEES BOROUGH COUNCIL,TS23 2YD,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,STOCKPORT METROPOLITAN BOROUGH COUNCIL,25012023OS1445GD6357,641608,Adult Social Care Discharge Fund-E4207X-STOCKPORT METROPOLITAN BOROUGH COUNCIL,SK1 3XE,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,STAFFORDSHIRE COUNTY COUNCIL,25012023OS1445GD6357,1770982,Adult Social Care Discharge Fund-E3421X-STAFFORDSHIRE COUNTY COUNCIL,ST16 2NF,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,ST HELENS METROPOLITAN BOROUGH COUNCIL,25012023OS1445GD6357,481428,Adult Social Care Discharge Fund-E4303X-ST HELENS METROPOLITAN BOROUGH COUNCIL,WA10 1HP,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,SOUTHWARK LONDON BOROUGH COUNCIL,25012023OS1445GD6357,785324,Adult Social Care Discharge Fund-E5019X-SOUTHWARK LONDON BOROUGH COUNCIL,SE1 2QH,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,SOUTHEND ON SEA BOROUGH COUNCIL,25012023OS1445GD6357,412000,Adult Social Care Discharge Fund-E1501X-SOUTHEND ON SEA BOROUGH COUNCIL,SS2 6ER,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,SOUTHAMPTON CITY COUNCIL,25012023OS1445GD6357,554693,Adult Social Care Discharge Fund-E1702X-SOUTHAMPTON CITY COUNCIL,SO15 1GX,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,SOUTH TYNESIDE COUNCIL,25012023OS1445GD6357,457630,Adult Social Care Discharge Fund-E4504X-SOUTH TYNESIDE COUNCIL,NE33 2RL,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,SOUTH GLOUCESTERSHIRE COUNCIL,25012023OS1445GD6357,467523,Adult Social Care Discharge Fund-E0103X-SOUTH GLOUCESTERSHIRE COUNCIL,BS15 9TR,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,SOMERSET COUNTY COUNCIL,25012023OS1445GD6357,1248784,Adult Social Care Discharge Fund-E3320X-SOMERSET COUNTY COUNCIL,TA1 4DY,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,SOLIHULL METROPOLITAN BOROUGH COUNCIL,25012023OS1445GD6357,435178,Adult Social Care Discharge Fund-E4605X-SOLIHULL METROPOLITAN BOROUGH COUNCIL,B91 9GN,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,SLOUGH BOROUGH COUNCIL,25012023OS1445GD6357,257726,Adult Social Care Discharge Fund-E0304X-SLOUGH BOROUGH COUNCIL,SL1 3UF,Govn,,,
