Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description ,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health and Social Care,Department of Health and Social Care,25/07/2022,Other programme expenditure,Social Care Group,PAUL H. BROOKES,FCP0000915,47000.27,INVOICE SR22032 Renewal of the licensing of non-exclusive rights to use British-English adaptations of the works titled ASQ-3,,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,27/07/2022,Revenue Grants to local authorities,Social Care Group,MEDWAY COUNCIL,ICTF2 IPC 25.07.22,-60542.26,ICTF2 IPC Refund Medway,ME4 4TR,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/07/2022,Arms Length Bodies- Capital Subsidy,Social Care Group,GREATER LONDON AUTHORITY,1800010963,13054034,CASSH capital costs (Greater London Authority),SE1 2AA,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,26/07/2022,Revenue Grants to local authorities,Social Care Group,DORSET COUNTY COUNCIL,27062022AH1507GD6164,97403,GD 6184 Charging Reform Implementation Support Grant 22/23-E1203X-DORSET COUNTY COUNCIL,DT1 1XJ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,20/07/2022,Revenue Grants to local authorities,Social Care Group,DORSET COUNTY COUNCIL,DOREST COUNTY IPC,-34400.5,LA Grants (ICTF2 IPC refunds),DT1 1XJ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,19/07/2022,Research & development,Social Care Group,NATCEN SOCIAL RESEARCH TA NATIONAL CENTRE FOR SOCIAL RESEARCH,57921,25851.75,Research on demand for L&D in the ASC workforce,EC1V 0AX,Medium,,,
Department of Health and Social Care,Department of Health and Social Care,12/07/2022,Consultancy/Professional Advice,Social Care Group,THINK AHEAD,10031,2166959,Think Ahead- Mental health social work graduate programme FY,WC2N 6DF,Micro,,,
Department of Health and Social Care,Department of Health and Social Care,12/07/2022,Consultancy/Professional Advice,Social Care Group,PA CONSULTING SERVICES LTD,17581,216000,Sprints 1 and 2,SG8 6DP,Large,,,
Department of Health and Social Care,Department of Health and Social Care,12/07/2022,Consultancy/Professional Advice,Social Care Group,PA CONSULTING SERVICES LTD,17581,240000,Final products,SG8 6DP,Large,,,
Department of Health and Social Care,Department of Health and Social Care,12/07/2022,Consultancy/Professional Advice,Social Care Group,PA CONSULTING SERVICES LTD,17581,120000,Care Certificate delivery method options: Scoping,SG8 6DP,Large,,,
Department of Health and Social Care,Department of Health and Social Care,08/07/2022,Revenue Grants to local authorities,Social Care Group,WOLVERHAMPTON CITY COUNCIL,05072022AH1316GD6185,435160,GD6185 Charging Reform Trailblazer Initiative 2022 to 2023   -E4607X-WOLVERHAMPTON CITY COUNCIL,WV1 1RG,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,08/07/2022,Revenue Grants to local authorities,Social Care Group,NORTH YORKSHIRE COUNTY COUNCIL,05072022AH1316GD6185,1159684,GD6185 Charging Reform Trailblazer Initiative 2022 to 2023   -E2721X-NORTH YORKSHIRE COUNTY COUNCIL,DL6 1DF,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,08/07/2022,Revenue Grants to local authorities,Social Care Group,NEWHAM LONDON BOROUGH COUNCIL,05072022AH1316GD6185,280308,GD6185 Charging Reform Trailblazer Initiative 2022 to 2023   -E5045X-NEWHAM LONDON BOROUGH COUNCIL,E6 2RP,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,08/07/2022,Revenue Grants to local authorities,Social Care Group,CHESHIRE EAST UNITARY AUTHORITY,05072022AH1316GD6185,746995,GD6185 Charging Reform Trailblazer Initiative 2022 to 2023   -E0603X-CHESHIRE EAST UNITARY AUTHORITY,CW10 0HU,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,08/07/2022,Revenue Grants to local authorities,Social Care Group,BLACKPOOL BOROUGH COUNCIL,05072022AH1316GD6185,310215,GD6185 Charging Reform Trailblazer Initiative 2022 to 2023   -E2302X-BLACKPOOL BOROUGH COUNCIL,FY1 1NF,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,08/07/2022,Outsourcing Contract,Social Care Group,DARTINGTON HALL TRUST,R 03500,28140,Admin Support for PSW - 05/10/21-05/10/22,TQ9 6EL,Medium,,,
Department of Health and Social Care,Department of Health and Social Care,08/07/2022,Outsourcing Contract,Social Care Group,DARTINGTON HALL TRUST,R 03309,28140,Admin Support for PSW - 05/10/21-05/10/22,TQ9 6EL,Medium,,,
Department of Health and Social Care,Department of Health and Social Care,07/07/2022,Revenue Grants to local authorities,Social Care Group,WORCESTERSHIRE COUNTY COUNCIL,27062022AH1507GD6164,97403,GD 6184 Charging Reform Implementation Support Grant 22/23-E1821X-WORCESTERSHIRE COUNTY COUNCIL,WR5 2NP,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,07/07/2022,Revenue Grants to local authorities,Social Care Group,WOLVERHAMPTON CITY COUNCIL,27062022AH1507GD6164,98172,GD 6184 Charging Reform Implementation Support Grant 22/23-E4607X-WOLVERHAMPTON CITY COUNCIL,WV1 1RG,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,07/07/2022,Revenue Grants to local authorities,Social Care Group,WOKINGHAM COUNCIL,27062022AH1507GD6164,105351,GD 6184 Charging Reform Implementation Support Grant 22/23-E0306X-WOKINGHAM COUNCIL,RG40 1WJ,Govn,,,
