Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description ,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health and Social Care,Department of Health and Social Care,16/06/2023,UK subscriptions to overseas bodies,Social Care Group,WHO Geneva ,FCP0001643,278106.48,"WHO Geneva $348,587",,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,02/06/2023,Additional support for delivery of Healthcare services,Social Care Group,Paul H. Brookes Publishing Co,FCP0001612,90046.78,Paul H. Brookes Publishing Co - $112500,,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,30/06/2023,Revenue Grants to local authorities,Social Care Group,SLOUGH BOROUGH COUNCIL,WRRF 2,-40876.03,WRRF 2 REFUND 15/06/23,SL1 3UF,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,30/06/2023,Outsourcing Contract,Social Care Group,IMPROVEMENT AND DEVELOPMENT AGENCY,64007637,68038.6,ASC Support preparation for LPS implementation,SW1P 3HZ,Medium,,,
Department of Health and Social Care,Department of Health and Social Care,29/06/2023,Revenue Grants to local authorities,Social Care Group,WINDSOR AND MAIDENHEAD ROYAL BOROUGH OF,WRRF2-WINDSOR&,-127359,WRRF REFUNDED - WINSOR & MAIDENHEAD,SL6 1RF,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,29/06/2023,Revenue Grants to local authorities,Social Care Group,ROTHERHAM METROPOLITAN BOROUGH COUNCIL,WRRF2-ROTHERHAM-26.5,-256553,WRRF REFUNDED - ROTHERHAM,S60 1AE,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,29/06/2023,Revenue Grants to local authorities,Social Care Group,CROYDON LONDON BOROUGH COUNCIL,WRRF 2 - 20/06/23,-26868.31,RPL issued for addt'l underspent WRRF2 funds (10Dec21 to 31Mar22),CR9 1BQ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,23/06/2023,Research & development,Social Care Group,IPSOS MORI UK LTD,23103850,70520,Adult Social Care Workforce Survey,E1W 1YW,Large,,,
Department of Health and Social Care,Department of Health and Social Care,23/06/2023,Research & development,Social Care Group,IPSOS MORI UK LTD,23001131,67000,S18(3) Uptake Research,E1W 1YW,Large,,,
Department of Health and Social Care,Department of Health and Social Care,23/06/2023,Publicity & advertising,Social Care Group,OMD GROUP LTD,F07914,179765.66,ASC Campaign - VOD Burst 4 (Core),N1 9RL,Large,,,
Department of Health and Social Care,Department of Health and Social Care,23/06/2023,Publicity & advertising,Social Care Group,OMD GROUP LTD,F07914,177.95,ASC Campaign - VOD Burst 4 (ASBOF),N1 9RL,Large,,,
Department of Health and Social Care,Department of Health and Social Care,23/06/2023,Publicity & advertising,Social Care Group,OMD GROUP LTD,F07913,2575.33,ASC Campaign- OLV Display Upweight (Core),N1 9RL,Large,,,
Department of Health and Social Care,Department of Health and Social Care,23/06/2023,Publicity & advertising,Social Care Group,OMD GROUP LTD,F07913,1.14,ASC Campaign- OLV Display Upweight (ASBOF),N1 9RL,Large,,,
Department of Health and Social Care,Department of Health and Social Care,23/06/2023,Publicity & advertising,Social Care Group,OMD GROUP LTD,F07913,22765.71,ASC Campaign- OLV Display (Core),N1 9RL,Large,,,
Department of Health and Social Care,Department of Health and Social Care,23/06/2023,Publicity & advertising,Social Care Group,OMD GROUP LTD,F07913,23.79,ASC Campaign- OLV Display (ASBOF),N1 9RL,Large,,,
Department of Health and Social Care,Department of Health and Social Care,23/06/2023,Publicity & advertising,Social Care Group,OMD GROUP LTD,F04350,86614.77,ASC Recruitment Campaign digital partnership Core,N1 9RL,Large,,,
Department of Health and Social Care,Department of Health and Social Care,23/06/2023,Publicity & advertising,Social Care Group,OMD GROUP LTD,F04350,77.59,ASC Recruitment Campaign digital partnership ASBOF,N1 9RL,Large,,,
Department of Health and Social Care,Department of Health and Social Care,23/06/2023,Publicity & advertising,Social Care Group,OMD GROUP LTD,F00086,26800.18,ASC Recruitment Campaign digital partnership Core,N1 9RL,Large,,,
Department of Health and Social Care,Department of Health and Social Care,22/06/2023,Revenue Grants to local authorities,Social Care Group,WARWICKSHIRE COUNTY COUNCIL,WRRF2-WARRINGTON-B,31398.27,WRRF - Rounds 1 & 2 refund WARWICKSHIRE - INCORRECT ENTRY,CV34 4RH,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/06/2023,Revenue Grants to local authorities,Social Care Group,WARRINGTON BOROUGH COUNCIL,WRRF2-WARRINGTON-B,-31398.27,WRRF - Rounds 1 & 2 refund WARRINGTON,WA1 1BN,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,20/06/2023,Revenue Grants to local authorities,Social Care Group,BRADFORD CITY COUNCIL,RTF1-BRADFORD CC,-57145.65,Return of unspent recouped RTF1  funds (Dect20 to Mar21),BD1 1HX,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,20/06/2023,Revenue Grants to local authorities,Social Care Group,BRADFORD CITY COUNCIL,ICF2-BRADFORD CC,-218549.78,Return of unspent recouped ICF2  funds (Oct20 to Mar21),BD1 1HX,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,16/06/2023,Consultancy/Professional Advice,Social Care Group,THINK AHEAD,INV-10036,2040137,Think Ahead- Mental health social work graduate programme FY,WC2N 6DF,Micro,,,
Department of Health and Social Care,Department of Health and Social Care,13/06/2023,Revenue Grants to local authorities,Social Care Group,WARWICKSHIRE COUNTY COUNCIL,WRRF2-WARRINGTON,-31398.27,WRRF - Rounds 1 & 2 refund WARRINGTON,CV34 4RH,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,12/06/2023,Revenue Grants to local authorities,Social Care Group,WIRRAL METROPOLITAN BOROUGH COUNCIL,WRRF2,-94380.82,WRRF  - Rounds 1 & 2 refund - WIRRAL,CH27 9FQ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,12/06/2023,Revenue Grants to local authorities,Social Care Group,HAMMERSMITH AND FULHAM LONDON BOROUGH COUNCIL,WRRF-HAMM &FUL.18.5,-53572.44,WRRF 2 - HAMMERSMITH AND FULHAM REFUND 18.5.23,W6 9JT,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,12/06/2023,Revenue Grants to local authorities,Social Care Group,CORNWALL COUNCIL,CORNWALL CC-ICTF3 TE,-40747.28,Infection Control and Testing Fund - Round 3 - CORNWALL CC,TR1 3AY,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,12/06/2023,Revenue Grants to local authorities,Social Care Group,CORNWALL COUNCIL,CORNWALL CC-ICTF3,-115485.98,Infection Control and Testing Fund - Round 3 - CORNWALL CC,TR1 3AY,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,06/06/2023,Revenue Grants to local authorities,Social Care Group,WARWICKSHIRE COUNTY COUNCIL,WRRF-WARWICKSHIRE1,-128248,WRRF 1- WARWICKSHIRE REFUND 3/5/23,CV34 4RH,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,06/06/2023,Revenue Grants to local authorities,Social Care Group,WARWICKSHIRE COUNTY COUNCIL,WRRF-WARWICKSHIRE 2,-293023,WRRF 2- WARWICKSHIRE REFUND 3/5/23,CV34 4RH,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,06/06/2023,Revenue Grants to local authorities,Social Care Group,WALTHAM FOREST LONDON BOROUGH COUNCIL,WRRF-WALTHAM 3/5/23,-267220,WRRF - WALTHAM FOREST REFUND 3/5/23,E17 4JF,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,06/06/2023,Revenue Grants to local authorities,Social Care Group,SHROPSHIRE COUNTY COUNCIL,31052023AH 1451GD654,1620000,GD6549- Adult Social Care International Recruitment -E3202X-SHROPSHIRE COUNTY COUNCIL,SY2 6ND,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,06/06/2023,Revenue Grants to local authorities,Social Care Group,LINCOLNSHIRE COUNTY COUNCIL,31052023AH 1451GD654,1640000,GD6549- Adult Social Care International Recruitment -E2520X-LINCOLNSHIRE COUNTY COUNCIL,LN1 1YL,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,06/06/2023,Revenue Grants to local authorities,Social Care Group,LANCASHIRE COUNTY COUNCIL,31052023AH 1451GD654,600000,GD6549- Adult Social Care International Recruitment -E2321X-LANCASHIRE COUNTY COUNCIL,PR1 0LD,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,06/06/2023,Revenue Grants to local authorities,Social Care Group,HOUNSLOW LONDON BOROUGH COUNCIL,31052023AH 1451GD654,390000,GD6549- Adult Social Care International Recruitment -E5042X-HOUNSLOW LONDON BOROUGH COUNCIL,TW3 4DN,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,06/06/2023,Revenue Grants to local authorities,Social Care Group,HAMPSHIRE COUNTY COUNCIL,WRRF-HAMPSHIRE,-43024.28,WRRF - HAMPSHIRE CC REFUND 9/5/23,SO23 8UJ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,06/06/2023,Revenue Grants to local authorities,Social Care Group,GREENWICH LONDON BOROUGH COUNCIL,31052023AH 1451GD654,320000,GD6549- Adult Social Care International Recruitment -E5012X-GREENWICH LONDON BOROUGH COUNCIL,SE18 6PW,Govn,,,
