Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount ,PO Line Description ,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,
Department of Health and Social Care,Department of Health and Social Care,02/03/2021,Contractor/ Staff Substitution,Global Health,2T SECURITY LTD,416,23.4,,HP6 6BQ,Micro,,,,
Department of Health and Social Care,Department of Health and Social Care,02/03/2021,Contractor/ Staff Substitution,Global Health,2T SECURITY LTD,416,"413,279.10",,HP6 6BQ,Micro,,,,
Department of Health and Social Care,Department of Health and Social Care,18/03/2021,Contractor/ Staff Substitution,Global Health,2T SECURITY LTD,429,"441,967.50",,HP6 6BQ,Micro,,,,
Department of Health and Social Care,Department of Health and Social Care,09/03/2021,Contractor/ Staff Substitution,Global Health,2T SECURITY LTD,406,"27,997.20",,HP6 6BQ,Micro,,,,
Department of Health and Social Care,Department of Health and Social Care,04/03/2021,Outsourcing Contract,Global Health,4C ASSOCIATES LTD,SIN001448,"37,056.00",,W6 7JP,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,26/03/2021,Outsourcing Contract,Global Health,4C ASSOCIATES LTD,SIN001487,"37,056.00",,W6 7JP,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,26/03/2021,Contractor/ Staff Substitution,Global Health,4C ASSOCIATES LTD,SIN001487,"12,628.20",,W6 7JP,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,04/03/2021,Contractor/ Staff Substitution,Global Health,4C ASSOCIATES LTD,SIN001448,"13,320.00",,W6 7JP,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,26/03/2021,Contractor/ Staff Substitution,Global Health,4C ASSOCIATES LTD,SIN001487,"13,320.00",,W6 7JP,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,04/03/2021,Contractor/ Staff Substitution,Global Health,4C ASSOCIATES LTD,SIN001448,"17,424.00",,W6 7JP,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,26/03/2021,Contractor/ Staff Substitution,Global Health,4C ASSOCIATES LTD,SIN001487,"17,424.00",,W6 7JP,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,04/03/2021,Contractor/ Staff Substitution,Global Health,4C ASSOCIATES LTD,SIN001448,"19,428.00",,W6 7JP,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,26/03/2021,Contractor/ Staff Substitution,Global Health,4C ASSOCIATES LTD,SIN001487,"40,435.20",,W6 7JP,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,04/03/2021,Contractor/ Staff Substitution,Global Health,4C ASSOCIATES LTD,SIN001448,"46,656.00",,W6 7JP,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,26/03/2021,Contractor/ Staff Substitution,Global Health,4C ASSOCIATES LTD,SIN001487,"93,877.20",,W6 7JP,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,04/03/2021,Contractor/ Staff Substitution,Global Health,4C ASSOCIATES LTD,SIN001448,"105,480.00",,W6 7JP,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,04/03/2021,Contractor/ Staff Substitution,Global Health,4C ASSOCIATES LTD,SIN001448,"239,760.00",,W6 7JP,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,26/03/2021,Contractor/ Staff Substitution,Global Health,4C ASSOCIATES LTD,SIN001487,"241,092.00",,W6 7JP,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,10/03/2021,School Fruit and Veg Scheme,Global Health,A G Axton,8503,"70,153.66",,,SME,,,,
Department of Health and Social Care,Department of Health and Social Care,17/03/2021,Other programme expenditure,Global Health,ABBOTT LABORATORIES LTD,330677366,"3,778.72",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,17/03/2021,Other programme expenditure,Global Health,ABBOTT LABORATORIES LTD,330677366,"73,602.76",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,17/03/2021,Other programme expenditure,Global Health,ABBOTT LABORATORIES LTD,330677366,"16,534.68",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,26/03/2021,Other programme expenditure,Global Health,ABBOTT RAPID DIAGNOSTICS LTD,92600833,"26,880.00",,SK7 5BW,Medium,,,,
Department of Health and Social Care,Department of Health and Social Care,18/03/2021,Other programme expenditure,Global Health,ABBOTT RAPID DIAGNOSTICS LTD,92620071,"387,840.00",,SK7 5BW,Medium,,,,
Department of Health and Social Care,Department of Health and Social Care,18/03/2021,Other programme expenditure,Global Health,ABBOTT RAPID DIAGNOSTICS LTD,92620075,"1,013,760.00",,SK7 5BW,Medium,,,,
Department of Health and Social Care,Department of Health and Social Care,08/03/2021,Other programme expenditure,Global Health,ABBOTT RAPID DIAGNOSTICS LTD,92520174,"1,152,000.00",,SK7 5BW,Medium,,,,
Department of Health and Social Care,Department of Health and Social Care,18/03/2021,Other programme expenditure,Global Health,ABBOTT RAPID DIAGNOSTICS LTD,92620072,"1,152,000.00",,SK7 5BW,Medium,,,,
Department of Health and Social Care,Department of Health and Social Care,18/03/2021,Other programme expenditure,Global Health,ABBOTT RAPID DIAGNOSTICS LTD,92620073,"1,152,000.00",,SK7 5BW,Medium,,,,
Department of Health and Social Care,Department of Health and Social Care,18/03/2021,Other programme expenditure,Global Health,ABBOTT RAPID DIAGNOSTICS LTD,92620074,"1,152,000.00",,SK7 5BW,Medium,,,,
Department of Health and Social Care,Department of Health and Social Care,03/03/2021,Other programme expenditure,Global Health,ABBOTT RAPID DIAGNOSTICS LTD,92571180,"599,040.00",,SK7 5BW,Medium,,,,
Department of Health and Social Care,Department of Health and Social Care,03/03/2021,Other programme expenditure,Global Health,ABBOTT RAPID DIAGNOSTICS LTD,92571165,"737,280.00",,SK7 5BW,Medium,,,,
Department of Health and Social Care,Department of Health and Social Care,18/03/2021,Other programme expenditure,Global Health,ABBOTT RAPID DIAGNOSTICS LTD,92620071,"764,160.00",,SK7 5BW,Medium,,,,
Department of Health and Social Care,Department of Health and Social Care,03/03/2021,Other programme expenditure,Global Health,ABBOTT RAPID DIAGNOSTICS LTD,92492138,"783,360.00",,SK7 5BW,Medium,,,,
Department of Health and Social Care,Department of Health and Social Care,03/03/2021,Other programme expenditure,Global Health,ABBOTT RAPID DIAGNOSTICS LTD,92502778,"783,360.00",,SK7 5BW,Medium,,,,
Department of Health and Social Care,Department of Health and Social Care,03/03/2021,Other programme expenditure,Global Health,ABBOTT RAPID DIAGNOSTICS LTD,92492136,"829,440.00",,SK7 5BW,Medium,,,,
Department of Health and Social Care,Department of Health and Social Care,03/03/2021,Other programme expenditure,Global Health,ABBOTT RAPID DIAGNOSTICS LTD,92492137,"829,440.00",,SK7 5BW,Medium,,,,
Department of Health and Social Care,Department of Health and Social Care,03/03/2021,Other programme expenditure,Global Health,ABBOTT RAPID DIAGNOSTICS LTD,92502776,"829,440.00",,SK7 5BW,Medium,,,,
Department of Health and Social Care,Department of Health and Social Care,03/03/2021,Other programme expenditure,Global Health,ABBOTT RAPID DIAGNOSTICS LTD,92502777,"829,440.00",,SK7 5BW,Medium,,,,
Department of Health and Social Care,Department of Health and Social Care,03/03/2021,Other programme expenditure,Global Health,ABBOTT RAPID DIAGNOSTICS LTD,92571164,"829,440.00",,SK7 5BW,Medium,,,,
Department of Health and Social Care,Department of Health and Social Care,03/03/2021,Other programme expenditure,Global Health,ABBOTT RAPID DIAGNOSTICS LTD,92492148,"1,013,760.00",,SK7 5BW,Medium,,,,
Department of Health and Social Care,Department of Health and Social Care,03/03/2021,Other programme expenditure,Global Health,ABBOTT RAPID DIAGNOSTICS LTD,92581371,"1,013,760.00",,SK7 5BW,Medium,,,,
