Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description ,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health and Social Care,Department of Health and Social Care,22/03/2022,Research & development,Chief Scientific Advisor,UNIVERSITY OF WARWICK,ASI0020546,61109.84,17/04/1934,CV4 8UW,Large,,,
Department of Health and Social Care,Department of Health and Social Care,22/03/2022,Research & development,Chief Scientific Advisor,UNIVERSITY COLLEGE LONDON UCL,ASI0020242,248701.19,12/01/1938,WC1E 6BT,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/03/2022,Research & development,Chief Scientific Advisor,SOUTHAMPTON UNIVERSITY OF,ASI0020414,97622.69,16/08/1941,SO17 1BJ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/03/2022,Research & development,Chief Scientific Advisor,IMPERIAL COLLEGE LONDON,ASI0020567,50099.8,17/11/1945,SW7 2AZ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/03/2022,Research & development,Chief Scientific Advisor,IMPERIAL COLLEGE LONDON,ASI0021094,65812.95,17/11/1949,SW7 2AZ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/03/2022,Research & development,Chief Scientific Advisor,LEEDS TEACHING HOSPITAL NHS TRUST,ASI0020345,94892.8,15/08/1977,LS9 7TF,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/03/2022,Research & development,Chief Scientific Advisor,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,ASI0020609,81649.33,18/10/2002,BD9 6RJ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/03/2022,Research & development,Chief Scientific Advisor,GREATER MANCHESTER MENTAL HEALTH NHS FOUNDATION TRUST,ASI0020499,34557.69,17/09/2008,M25 3BL,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/03/2022,Research & development,Chief Scientific Advisor,BIRMINGHAM UNIVERSITY OF,ASI0020622,62965.41,18/02/2027,B15 2TT,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,08/03/2022,Agency staff (temp admin),Finance and Group Operations,HAYS SPECIALIST RECRUITMENT LTD,1011865621,-25352.34, W/E 14/5/21 - 3/12/21 - TO CANCEL INV 1012020215,KT3 4JQ,Large,,,
Department of Health and Social Care,Department of Health and Social Care,08/03/2022,Agency staff (temp admin),Finance and Group Operations,HAYS SPECIALIST RECRUITMENT LTD,1012020215,25352.34, W/E 14/5/21 - W/E  3/12/21,KT3 4JQ,Large,,,
Department of Health and Social Care,Department of Health and Social Care,07/03/2022,Research & development,Chief Scientific Advisor,UNIVERSITY OF EDINBURGH,ASI0019597,30842.4,09/800/31 ,EH1 1HT,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,02/03/2022,Additions-SW LIC,NHS and Workforce, Frequentis AG,FCP0000567,71036,10 Control Room Software Solution,,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,22/03/2022,Research & development,Chief Scientific Advisor,UNIVERSITY COLLEGE LONDON UCL,ASI0020229,34241.43,10/104/07 ,WC1E 6BT,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,14/03/2022,Research & development,Chief Scientific Advisor,UNIVERSITY COLLEGE LONDON UCL,ASI0019705,28560.94,10/104/13 ,WC1E 6BT,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/03/2022,Research & development,Chief Scientific Advisor,UNIVERSITY COLLEGE LONDON UCL,ASI0020251,213894.34,10/34/501 ,WC1E 6BT,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/03/2022,Research & development,Chief Scientific Advisor,KINGS COLLEGE LONDON,ASI0020236,131866.69,10/57/67 ,WC2R 2LS,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/03/2022,Research & development,Chief Scientific Advisor,THE ANNA FREUD CENTRE,ASI0020999,111368.03,1083 - NIHR131339 ,NW3 5SD,Medium,,,
Department of Health and Social Care,Department of Health and Social Care,22/03/2022,Research & development,Chief Scientific Advisor,ABERDEEN UNIVERSITY OF,ASI0020227,133590.4,11/129/183 ,AB24 3FX,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/03/2022,Research & development,Chief Scientific Advisor,UNIVERSITY HOSPITALS COVENTRY & WARWICKSHIRE NHS TRUST,ASI0020231,52203.18,11/25/03 Payment Reference JD112113 ,CV2 2DX,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/03/2022,Research & development,Chief Scientific Advisor,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,ASI0020230,30479.75,11/36/37 Lead,LE5 4QF,Govn,,,
