Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description ,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health and Social Care,Department of Health and Social Care,29/03/2023,Additions-SW LIC,Social Care Group,WORLD HEALTH ORGANISATION,FCP0001516,1500000,"World Health Organization Geneva - Nigeria -£1,500,000.00",,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,31/03/2023,Publicity & advertising,Social Care Group,OMD GROUP LTD,E95538,64.21,Marketing services.,N1 9RL,Large,,,
Department of Health and Social Care,Department of Health and Social Care,31/03/2023,Publicity & advertising,Social Care Group,OMD GROUP LTD,E95538,271991.61,ASC Campaign- VOD Burst 02 (Core),N1 9RL,Large,,,
Department of Health and Social Care,Department of Health and Social Care,31/03/2023,Publicity & advertising,Social Care Group,OMD GROUP LTD,E95538,265.34,ASC Campaign- VOD Burst 02 (ASBOF),N1 9RL,Large,,,
Department of Health and Social Care,Department of Health and Social Care,31/03/2023,Publicity & advertising,Social Care Group,OMD GROUP LTD,E94559,51278.01,ASC Campaign - Search (Core),N1 9RL,Large,,,
Department of Health and Social Care,Department of Health and Social Care,31/03/2023,Publicity & advertising,Social Care Group,OMD GROUP LTD,E94559,50.63,ASC Campaign - Search (ASBOF),N1 9RL,Large,,,
Department of Health and Social Care,Department of Health and Social Care,31/03/2023,Publicity & advertising,Social Care Group,OMD GROUP LTD,E94558,32614.53,ASC Campaign - Search (Core),N1 9RL,Large,,,
Department of Health and Social Care,Department of Health and Social Care,31/03/2023,Publicity & advertising,Social Care Group,OMD GROUP LTD,E94558,32.2,ASC Campaign - Search (ASBOF),N1 9RL,Large,,,
Department of Health and Social Care,Department of Health and Social Care,31/03/2023,Outsourcing Contract,Social Care Group,IMPROVEMENT AND DEVE,64001849,461760,LGA Governance and Infrastructure,SW1P 3HZ,Medium,,,
Department of Health and Social Care,Department of Health and Social Care,30/03/2023,Revenue Grants to local authorities,Social Care Group,STAFFORDSHIRE COUNTY,WRRF 1 B,-61050.74,WRRF 1 STAFFORDSHIRE,ST16 2NF,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,30/03/2023,Revenue Grants to local authorities,Social Care Group,SHEFFIELD CITY COUNC,WRRF 2,-1473770.15,WRRF 2 SHEFFIELD,S1 1UJ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,30/03/2023,Revenue Grants to local authorities,Social Care Group,BOURNEMOUTH CHRISTCH,WRRF 2 A,-117118.35,WRRF 2 BOURNEMOUTH,BH2 6DY,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,30/03/2023,Revenue Grants to local authorities,Social Care Group,BOURNEMOUTH CHRISTCH,WRRF 1,-43692.16,WRRF 1 BOURNEMOUTH,BH2 6DY,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,29/03/2023,Revenue Grants to local authorities,Social Care Group,SANDWELL METROPOPLIT,WRRF 2 B,-152693.72,WRRF 2 SANDWELL,B69 3DE,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,29/03/2023,Revenue Grants to local authorities,Social Care Group,HARROW LONDON BOROUG,WRRF 2 A,-212035,WRRF 2 HARROW,HA1 2UL,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,29/03/2023,Revenue Grants to local authorities,Social Care Group,GLOUCESTERSHIRE COUN,WRRF 2,-588434,GLOUCESTERSHIRE WRRF2,GL1 2TG,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,29/03/2023,Revenue Grants to local authorities,Social Care Group,GLOUCESTERSHIRE COUN,WRRF 1,-220000,WRRF 1 GLOUCESTERSHIRE,GL1 2TG,Govn,,,
