Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description ,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health and Social Care,Department of Health and Social Care,17/05/2022,Rates,Finance and Group Operations,NEWHAM LONDON BOROUGH COUNCIL,46676341 May 22/23,48323,2 Redman Place Rates FY 22/23,E6 2RP,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,12/05/2022,Additions-SW LIC,NHSX,BYTES SOFTWARE SERVICES LTD,907951,2561175.16,20139-windows VDA E5 per device subs for 44 months from Sept 19-Apr 23,KT22 7TW,Large,,,
Department of Health and Social Care,Department of Health and Social Care,12/05/2022,Additions-SW LIC,NHSX,BYTES SOFTWARE SERVICES LTD,907951,3717869.6,20139- windows E5 per device subs VL for 43 months from Oct 19-Apr 23,KT22 7TW,Large,,,
Department of Health and Social Care,Department of Health and Social Care,27/05/2022,Revenue Grants to non-profit institutions,NHS and Workforce,SAMARITANS,ASI0022063,127500,2018/066 - Samaritans Helpline grant - Yr 4 - 21/22 (Qtrs 2 to 4),KT17 2AF,Medium,,,
Department of Health and Social Care,Department of Health and Social Care,27/05/2022,Revenue Grants to non-profit institutions,Social Care Group,CARE ENGLAND,ASI0022062,75000,2022/006 - CPA grant,E1 7LS,Small,,,
Department of Health and Social Care,Department of Health and Social Care,05/05/2022,Revenue Policy Payments,Commercial,THE ACADEMIC HEALTH SCIENCE NETWORK FOR THE NORTH EAST AND NORTH CUMBRIA LTD,AHSN00754,882417.6,21/22 Pathway Transformation Fund Funding Variation,NE4 5PL,Small,,,
Department of Health and Social Care,Department of Health and Social Care,31/05/2022,Consultancy/Professional Advice,Default Group,MOTT MACDONALD LTD,100509579,69003.07,28611 - Technical Consultancy,CR0 2EE,Large,,,
Department of Health and Social Care,Department of Health and Social Care,31/05/2022,Consultancy/Professional Advice,Default Group,MOTT MACDONALD LTD,100509577,112956.84,28611 - Technical Consultancy,CR0 2EE,Large,,,
Department of Health and Social Care,Department of Health and Social Care,31/05/2022,Consultancy/Professional Advice,Default Group,MOTT MACDONALD LTD,100509572,59292.26,28611 - Technical Consultancy,CR0 2EE,Large,,,
Department of Health and Social Care,Department of Health and Social Care,31/05/2022,Consultancy/Professional Advice,Default Group,MOTT MACDONALD LTD,100509570,85980.41,28611 - Technical Consultancy,CR0 2EE,Large,,,
