Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description ,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health and Social Care,Department of Health and Social Care,12/05/2023,Revenue Grant to Overseas Bodies,Social Care Group,WORLD HEALTH ORGANISATION,FCP0001587,1000000,"WHO FCTC 2030 Project 2023-24 payment, year 8",,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,24/05/2023,Research & development,Social Care Group,IMPROVEMENT AND DEVE,64008879,1518000,DHSC:ASC:CHIP Autumn Winter 2022/23 Contract,SW1P 3HZ,Medium,,,
Department of Health and Social Care,Department of Health and Social Care,24/05/2023,Outsourcing Contract,Social Care Group,IMPROVEMENT AND DEVE,64008878,461760,LGA Governance and Infrastructure,SW1P 3HZ,Medium,,,
Department of Health and Social Care,Department of Health and Social Care,24/05/2023,Outsourcing Contract,Social Care Group,ASSOCIATION OF DIREC,7953,440330.4,Regional SLI Operations and Infrastructure,SW8 2LL,Micro,,,
Department of Health and Social Care,Department of Health and Social Care,23/05/2023,Capital Grants to local authorities,Social Care Group,DEPARTMENT FOR COMMU,DFG 23/24,573000000,DFG PAYMENTS 12/5/23,SW1P 4DF,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,17/05/2023,Revenue Grants to local authorities,Social Care Group,WARRINGTON BOROUGH C,16052023AH1130GD6549,760000,GD6549 Adult Social Care International Recruitment -E0602X-WARRINGTON BOROUGH COUNCIL,WA1 1BN,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,17/05/2023,Revenue Grants to local authorities,Social Care Group,THE LONDON BOROUGH O,16052023AH1130GD6549,340000,GD6549 Adult Social Care International Recruitment -E5047X-RICHMOND UPON THAMES BOROUGH COUNCIL,TW1 3BZ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,17/05/2023,Revenue Grants to local authorities,Social Care Group,NORFOLK COUNTY COUNC,16052023AH1130GD6549,1650000,GD6549 Adult Social Care International Recruitment -E2620X-NORFOLK COUNTY COUNCIL,NR1 2DL,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,17/05/2023,Revenue Grants to local authorities,Social Care Group,LEEDS CITY COUNCIL,16052023AH1130GD6549,1380000,GD6549 Adult Social Care International Recruitment -E4704X-LEEDS CITY COUNCIL,LS2 8JR,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,17/05/2023,Revenue Grants to local authorities,Social Care Group,HAVERING LONDON BORO,16052023AH1130GD6549,370000,GD6549 Adult Social Care International Recruitment -E5040X-HAVERING LONDON BOROUGH COUNCIL,RM1 3BB,Govn,,,
