Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description ,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health and Social Care,Department of Health and Social Care,18/11/2022,Other programme expenditure,Social Care Group,PUBLISHING INV SR23002,FCP0001167,95092.13,PUBLISHING INV SR23002,,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,30/11/2022,Revenue Grants to local authorities,Social Care Group,WIRRAL METROPOLITAN BOROUGH COUNCIL,LA Grants (ICTF3 Tes,-41736.71,LA Grants (ICTF3 Testing refunds) WIRRAL,CH27 9FQ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,30/11/2022,Revenue Grants to local authorities,Social Care Group,WIRRAL METROPOLITAN BOROUGH COUNCIL,LA Grants (ICTF3 IPC,-27638.27,LA Grants (ICTF3 IPC refunds) WIRRAL,CH27 9FQ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,30/11/2022,Revenue Grants to local authorities,Social Care Group,TOWER HAMLETS LONDON BOROUGH COUNCIL,LA Grants (ICTF3 Tes,-81373,LA Grants (ICTF3 Testing refunds) Tower Hamlets,E2 0HQ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,30/11/2022,Revenue Grants to local authorities,Social Care Group,TOWER HAMLETS LONDON BOROUGH COUNCIL,LA Grants (ICTF3 IPC,-109623,LA Grants (ICTF3 IPC Tower Hamlets,E2 0HQ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,30/11/2022,Revenue Grants to local authorities,Social Care Group,EALING LONDON BOROUGH COUNCIL,LA Grants (ICTF3 IPC,-72911.02,LA Grants (ICTF3 IPC refunds) Ealing,W5 2HL,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,30/11/2022,Revenue Grants to local authorities,Social Care Group,DONCASTER METROPOLITAN BOROUGH COUNCIL,LA Grants (ICTF3 Tes,-30583.95,LA Grants (ICTF3 Testing refunds) DONCASTER,DN1 1GG,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,30/11/2022,Revenue Grants to local authorities,Social Care Group,DONCASTER METROPOLITAN BOROUGH COUNCIL,LA Grants (ICTF3 IPC,-93907.93,LA Grants (ICTF3 IPC refunds) DONCASTER,DN1 1GG,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,29/11/2022,Outsourcing Contract,Social Care Group,IMPROVEMENT AND DEVELOPMENT AGENCY,40225706,71701.25,ASC Support preparation for LPS implementation,SW1P 3HZ,Medium,,,
Department of Health and Social Care,Department of Health and Social Care,25/11/2022,Revenue Grants to non-profit institutions,Social Care Group,IMPROVEMENT AND DEVELOPMENT AGENCY,40225205-PART,-127112.39,"Suicide Prevention 2021/22 Q3Q4 (Bespoke peer support,)",SW1P 3HZ,Medium,,,
Department of Health and Social Care,Department of Health and Social Care,25/11/2022,Revenue Grants to non-profit institutions,Social Care Group,"FLORENCE NIGHTINGALE FOUNDATION, THE",ASI0029093,36000,2022_041 FNF 1st Payment,SW1W 0DH,Small,,,
Department of Health and Social Care,Department of Health and Social Care,25/11/2022,Research & development,Social Care Group,NATCEN SOCIAL RESEARCH TA NATIONAL CENTRE FOR SOCIAL RESEARCH,58260,38777.62,Research on demand for L&D in the ASC workforce,EC1V 0AX,Medium,,,
Department of Health and Social Care,Department of Health and Social Care,25/11/2022,Capital Grants to non-profit institutions,Social Care Group,SKILLS FOR CARE LTD,ASI0029092,248595,2022/003 - Skills for Care Capital grant,LS1 2RP,Medium,,,
Department of Health and Social Care,Department of Health and Social Care,22/11/2022,Research & development,Social Care Group,PA CONSULTING SERVICES LTD,20611,327781.1,Operational readiness delivery partner,SG8 6DP,Large,,,
Department of Health and Social Care,Department of Health and Social Care,22/11/2022,Publicity & advertising,Social Care Group,MULLENLOWE LONDON,9052020725,59729.62,ASC campaign 2 x TG social projects,EC1Y 1AT,Medium,,,
Department of Health and Social Care,Department of Health and Social Care,22/11/2022,Publicity & advertising,Social Care Group,MULLENLOWE LONDON,9052020724,162501.45,ASC Campagin- fees & production costs,EC1Y 1AT,Medium,,,
Department of Health and Social Care,Department of Health and Social Care,22/11/2022,Other programme expenditure,Social Care Group,"FLORENCE NIGHTINGALE FOUNDATION, THE",747,44000,FNF Leadership programme,SW1W 0DH,Small,,,
Department of Health and Social Care,Department of Health and Social Care,18/11/2022,Publicity & advertising,Social Care Group,MULLENLOWE LONDON,9052020696,26300.4,ASC campaign delivery,EC1Y 1AT,Medium,,,
Department of Health and Social Care,Department of Health and Social Care,18/11/2022,Consultancy/Professional Advice,Social Care Group,OFFICE FOR NATIONAL STATISTICS ONS,2846095,3005.58,Studies to support ASC charging reform - Q3,NP10 8XG,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,18/11/2022,Consultancy/Professional Advice,Social Care Group,OFFICE FOR NATIONAL STATISTICS ONS,2846095,60261.32,Studies to support ASC charging reform - Q2,NP10 8XG,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,11/11/2022,Revenue Grants to non-profit institutions,Social Care Group,SKILLS FOR CARE LTD,ASI0029081,41250,2022_038 - Grant to Skills for Care for Chief Social Worker workstream,LS1 2RP,Medium,,,
Department of Health and Social Care,Department of Health and Social Care,11/11/2022,Good received not invoiced (ST),Social Care Group,SOCIAL CARE INSTITUTE FOR EXCELLENCE SCIE,ASI0029079,354000,2022/005 - TLAP grant - April to Oct 22,W1U 6AG,Small,,,
Department of Health and Social Care,Department of Health and Social Care,03/11/2022,Outsourcing Contract,Social Care Group,ASSOCIATION OF DIRECTORS OF ADULT SOCIAL SERVICES,7600,50000.4,ADASS Leadership and Infrastructure,SW8 2LL,Micro,,,
Department of Health and Social Care,Department of Health and Social Care,15/11/2022,SFVS - product & distribution cost,Public Health,GW Price,1000467,33747.5135,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,15/11/2022,SFVS - product & distribution cost,Public Health,GW Price,1000456,31964.6625,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,15/11/2022,SFVS - product & distribution cost,Public Health,GW Price,1000461,53672.0375,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,15/11/2022,SFVS - product & distribution cost,Public Health,GW Price,1000468,27030.4055,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,15/11/2022,SFVS - product & distribution cost,Public Health,GW Price,1000470,41030.572,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,15/11/2022,SFVS - product & distribution cost,Public Health,Peacheys,NHS0922-935,36945.645,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,15/11/2022,SFVS - product & distribution cost,Public Health,Peacheys,NHS0922-881,77921.89,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,15/11/2022,SFVS - product & distribution cost,Public Health,Total Produce - Bristol,B22090130801,27258.635,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,15/11/2022,SFVS - product & distribution cost,Public Health,Total Produce - Bristol,B22090130933,27092.11,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,15/11/2022,SFVS - product & distribution cost,Public Health,Total Produce - Liverpool,W22091530359,25466.362,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,15/11/2022,SFVS - product & distribution cost,Public Health,Total Produce - Liverpool,W22091530353,25822.607,SFVS - product & distribution cost,,SME,,,
