Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description ,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health and Social Care,Department of Health and Social Care,28/10/2022,Revenue Grants to local authorities,Social Care Group,SUTTON LONDON BOROUGH COUNCIL,ICTF3 IPC SUTTON CC,-81534,ICTF3 IPC REFUND SUTTON COU,SM1 1EA,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,28/10/2022,Revenue Grants to local authorities,Social Care Group,KENT COUNTY COUNCIL,ICF2 TEST KENT CC,-94908.22,ICF2 TESTING REFUND KENT CC,ME14 1XQ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,28/10/2022,Revenue Grants to local authorities,Social Care Group,KENT COUNTY COUNCIL,ICTF2 TEST KENT CC,-83944.33,ICTF2 TESTING REFUND KENT CC,ME14 1XQ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,28/10/2022,Revenue Grants to local authorities,Social Care Group,KENT COUNTY COUNCIL,ICTF1 RTF KENT CC,-391589.62,ICTF1 RTF REFUND KENT CC,ME14 1XQ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,28/10/2022,Revenue Grants to local authorities,Social Care Group,KENT COUNTY COUNCIL,ICTF1 REFUND KENT CC,-192168.39,ICTF1 REFUND KENT CC,ME14 1XQ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,28/10/2022,Revenue Grants to local authorities,Social Care Group,ESSEX COUNTY COUNCIL,ICTF3 IPC ESSEX CC,-130544,ICTF3 IPC ESSEX CC REFUND,CM1 1JZ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,28/10/2022,Revenue Grants to local authorities,Social Care Group,DEVON COUNTY COUNCIL,LA Grants (ICTF3 IPC,-55730.94,LA Grants (ICTF3 IPC refunds) DEVON,EX2 4QD,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,18/10/2022,Research & development,Social Care Group,PA CONSULTING SERVICES LTD,19632,32778.11,Operational readiness delivery partner,SG8 6DP,Large,,,
Department of Health and Social Care,Department of Health and Social Care,18/10/2022,Research & development,Social Care Group,PA CONSULTING SERVICES LTD,19069,32778.11,Operational readiness delivery partner,SG8 6DP,Large,,,
Department of Health and Social Care,Department of Health and Social Care,17/10/2022,Revenue Grants to local authorities,Social Care Group,PORTSMOUTH CITY COUNCIL,ICTF2 IPC REFUND,-51379.07,ICTF2 IPC REFUND PORTSMOUTH,PO1 2AL,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,17/10/2022,Revenue Grants to local authorities,Social Care Group,LONDON BOROUGH OF BRENT,ICTF1 ICF,-51550,ICTF1 IPC BRENT,HA9 0FJ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,17/10/2022,Revenue Grants to local authorities,Social Care Group,DARLINGTON BOROUGH COUNCIL,PLIJ0002446,45029.37,PLIJ0002446 / PLPYJ0055166 correction as out by 1p,DL1 5QT,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,17/10/2022,Revenue Grants to local authorities,Social Care Group,DARLINGTON BOROUGH COUNCIL,ICTF2 TESTING REFUND,-45029.38,ICTF2 TESTING REFUND DARLINGTON,DL1 5QT,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,13/10/2022,Revenue Grants to local authorities,Social Care Group,WARRINGTON BOROUGH COUNCIL,ICTF3 TESTING REFUND,-48137.94,ICTF3 TESTING REFUND,WA1 1BN,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,13/10/2022,Revenue Grants to local authorities,Social Care Group,WARRINGTON BOROUGH COUNCIL,ICTF3 IPC REFUND,-42129.46,ICTF3 IPC REFUND,WA1 1BN,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,13/10/2022,Revenue Grants to local authorities,Social Care Group,SHEFFIELD CITY COUNCIL,ICTF3 IPC REFUND,-46458.77,ICTF3 IPC REFUND,S1 1UJ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,13/10/2022,Revenue Grants to local authorities,Social Care Group,HILLINGDON LONDON BOROUGH COUNCIL,ICTF2 IPC REFUND,-51438.17,ICTF2 IPC REFUND,UB8 1UW,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,13/10/2022,Revenue Grants to local authorities,Social Care Group,CUMBRIA COUNTY COUNCIL,ICTF3 TESTING REFUND,-238162.09,ICTF3 TESTING REFUND,CA3 8NA,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,13/10/2022,Revenue Grants to local authorities,Social Care Group,CUMBRIA COUNTY COUNCIL,ICTF3 IPC REFUND,-362857.2,ICTF3 IPC REFUND,CA3 8NA,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,13/10/2022,Revenue Grants to local authorities,Social Care Group,COVENTRY CITY COUNCIL,ICTF3 TESTING REFUND,-48292.05,ICTF3 TESTING REFUND,CV1 5RR,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,13/10/2022,Revenue Grants to local authorities,Social Care Group,COVENTRY CITY COUNCIL,ICTF3 IPC REFUND,-57949.88,ICTF3 IPC REFUND,CV1 5RR,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,12/10/2022,Revenue Grants to local authorities,Social Care Group,DARLINGTON BOROUGH COUNCIL,27062022AH1507GD6164,97403,GD 6184 Charging Reform Implementation Support Grant 22/23-E1301X-DARLINGTON BOROUGH COUNCIL,DL1 5QT,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,11/10/2022,Revenue Grants to local authorities,Social Care Group,DARLINGTON BOROUGH COUNCIL,DARLINGTON ICTF2 TES,-45029.37,LA Grants (ICTF2 Testing refunds),DL1 5QT,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,10/10/2022,Revenue Grants to local authorities,Social Care Group,SEFTON COUNCIL,ICTF3 IPC REFUND,-79547,ICTF3 IPC REFUND Sefton Council (S05317),L20 3NJ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,10/10/2022,Revenue Grants to local authorities,Social Care Group,NORTH EAST LINCOLNSHIRE COUNCIL,ICTF3 IPC REFUND,-35678.92,ICTF3 IPC REFUND NORTH EAST LINCOLNSHIRE,DN35 8LN,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,10/10/2022,Revenue Grants to local authorities,Social Care Group,MERTON BOROUGH COUNCIL,ICTF3 TESTING REFUND,-46419.32,ICTF3 TESTING REFUND Merton Council (S05277),SM4 5DX,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,10/10/2022,Revenue Grants to local authorities,Social Care Group,MERTON BOROUGH COUNCIL,ICTF3 IPC REFUND,-109501.46,ICTF3 IPC REFUND Merton Council (S05277),SM4 5DX,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,10/10/2022,Revenue Grants to local authorities,Social Care Group,CORNWALL COUNCIL,ICTF2 TESTING REFUND,-37326.37,ICTF2 TESTING REFUND CORNWALL,TR1 3AY,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,10/10/2022,Revenue Grants to local authorities,Social Care Group,CENTRAL BEDFORDSHIRE UNITARY AUTHORITY,ICTF3 IPC REFUND,-32141,ICTF3 IPC REFUND Central Bedfordshire (S05209),SG17 5TQ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,10/10/2022,Revenue Grants to local authorities,Social Care Group,BEDFORD BOROUGH COUNCIL,ICTF3 IPC REFUND,-33039.44,ICTF3 IPC REFUND Bedford Council (S05190),MK40 1SH,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,01/10/2022,SFVS - product & distribution cost,Public Health,GW Price,1000467,33747.5135,"SFVS - product & distribution cost, during October 2022",,SME,,,
Department of Health and Social Care,Department of Health and Social Care,01/10/2022,SFVS - product & distribution cost,Public Health,GW Price,1000456,31964.6625,"SFVS - product & distribution cost, during October 2022",,SME,,,
Department of Health and Social Care,Department of Health and Social Care,01/10/2022,SFVS - product & distribution cost,Public Health,GW Price,1000461,53672.0375,"SFVS - product & distribution cost, during October 2022",,SME,,,
Department of Health and Social Care,Department of Health and Social Care,01/10/2022,SFVS - product & distribution cost,Public Health,GW Price,1000468,27030.4055,"SFVS - product & distribution cost, during October 2022",,SME,,,
Department of Health and Social Care,Department of Health and Social Care,01/10/2022,SFVS - product & distribution cost,Public Health,GW Price,1000470,41030.572,"SFVS - product & distribution cost, during October 2022",,SME,,,
Department of Health and Social Care,Department of Health and Social Care,01/10/2022,SFVS - product & distribution cost,Public Health,Peacheys,NHS0922-935,36945.645,"SFVS - product & distribution cost, during October 2022",,SME,,,
Department of Health and Social Care,Department of Health and Social Care,01/10/2022,SFVS - product & distribution cost,Public Health,Peacheys,NHS0922-881,77921.89,"SFVS - product & distribution cost, during October 2022",,SME,,,
Department of Health and Social Care,Department of Health and Social Care,01/10/2022,SFVS - product & distribution cost,Public Health,Total Produce - Bristol,B22090130801,27258.635,"SFVS - product & distribution cost, during October 2022",,SME,,,
Department of Health and Social Care,Department of Health and Social Care,01/10/2022,SFVS - product & distribution cost,Public Health,Total Produce - Bristol,B22090130933,27092.11,"SFVS - product & distribution cost, during October 2022",,SME,,,
Department of Health and Social Care,Department of Health and Social Care,01/10/2022,SFVS - product & distribution cost,Public Health,Total Produce - Liverpool,W22091530359,25466.362,"SFVS - product & distribution cost, during part September and part October 2022",,SME,,,
