Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description ,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health and Social Care,Department of Health and Social Care,30/09/2022,Consultancy/Professional Advice,Social Care Group,THINK AHEAD,10032,2166959,Think Ahead- Mental health social work graduate programme FY,WC2N 6DF,Micro,,,
Department of Health and Social Care,Department of Health and Social Care,29/09/2022,Revenue Grants to local authorities,Social Care Group,ISLINGTON LONDON BOROUGH COUNCIL,ICTF3 IPC REFUND,-33241.64,LA Grants (ICTF3 IPC refunds) Islington,EC1V 7LQ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,26/09/2022,Revenue Grants to local authorities,Social Care Group,WILTSHIRE COUNTY COUNCIL,LA GRANTS ICTF2 Test,-66922.12,LA Grants (ICTF2 Testing refunds) Wiltshire Ccouncil (S05356),BA14 8JN,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,26/09/2022,Revenue Grants to local authorities,Social Care Group,WILTSHIRE COUNTY COUNCIL,LA GRANTS ICTF2 IPC,-26683.95,LA Grants (ICTF2 IPC refunds) Wiltshire Council (S05356),BA14 8JN,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,26/09/2022,Revenue Grants to local authorities,Social Care Group,GLOUCESTERSHIRE COUNTY COUNCIL,LA GRANTS ICTF3 Test,-46478,LA Grants (ICTF3 Testing refunds) Gloucestershire Council (S05237),GL1 2TG,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,26/09/2022,Revenue Grants to local authorities,Social Care Group,GLOUCESTERSHIRE COUNTY COUNCIL,LA GRANTS ICTF3 IPC,-150605,LA Grants (ICTF3 IPC refunds) Gloucestershire Council (S05237),GL1 2TG,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,23/09/2022,Outsourcing Contract,Social Care Group,NHS ARDEN AND GREATER EAST MIDLANDS COMMISSIONING SUPPORT UNIT,7312625672,508535,SCG Assurance & Data CLD Project Costs - AGEM,LE1 6NB,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,23/09/2022,Outsourcing Contract,Social Care Group,DARTINGTON HALL TRUST,R 03536,28140,Admin Support for PSW ,TQ9 6EL,Medium,,,
Department of Health and Social Care,Department of Health and Social Care,21/09/2022,Revenue Grants to local authorities,Social Care Group,DERBY CITY COUNCIL,LA Grants ICTF3 Test,-40903.71,LA Grants (ICTF3 Testing refunds) - Derby,DE1 2FS,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,21/09/2022,Revenue Grants to local authorities,Social Care Group,DERBY CITY COUNCIL,LA Grants ICTF3 IPC,-130273.85,LA Grants (ICTF3 IPC refunds) DERBY,DE1 2FS,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,16/09/2022,Revenue Grants to local authorities,Social Care Group,WIGAN METROPOLITAN BOROUGH COUNCIL,LA Grants ICTF3 IPC,-63037.44,LA Grants (ICTF3 IPC refunds) Wigan Council (S05354),WN1 3XZ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,16/09/2022,Revenue Grants to local authorities,Social Care Group,WALTHAM FOREST LONDON BOROUGH COUNCIL,LA Grants ICTF3 Test,-36095.75,LA Grants (ICTF3 Testing refunds) Waltham Forest S05346,E17 4JF,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,16/09/2022,Revenue Grants to local authorities,Social Care Group,STAFFORDSHIRE COUNTY COUNCIL,LA Grants ICTF3 IPC,-190004,LA Grants (ICTF3 IPC refunds) Staffordshire Council (S05329),ST16 2NF,Govn,,,
