Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount ,PO Line Description ,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,
Department of Health and Social Care,Department of Health and Social Care,30/04/2021,Contractor/ Staff Substitution,Global Health,2020 DELIVERY LTD TA THE PSC,4549,"72,582.00",,SE1 9LQ,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,26/04/2021,Outsourcing Contract,Global Health,4C ASSOCIATES LTD,SIN001488,"389,400.00",,W6 7JP,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,26/04/2021,Outsourcing Contract,Global Health,4C ASSOCIATES LTD,SIN001500,"299,640.00",,W6 7JP,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,12/04/2021,Outsourcing Contract,Global Health,4C ASSOCIATES LTD,SIN001466,"33,350.40",,W6 7JP,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,12/04/2021,Contractor/ Staff Substitution,Global Health,4C ASSOCIATES LTD,SIN001466,"234,432.00",,W6 7JP,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,12/04/2021,Contractor/ Staff Substitution,Global Health,4C ASSOCIATES LTD,SIN001466,"93,349.80",,W6 7JP,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,12/04/2021,Contractor/ Staff Substitution,Global Health,4C ASSOCIATES LTD,SIN001466,"45,878.40",,W6 7JP,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,12/04/2021,Contractor/ Staff Substitution,Global Health,4C ASSOCIATES LTD,SIN001466,"13,599.60",,W6 7JP,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,12/04/2021,Contractor/ Staff Substitution,Global Health,4C ASSOCIATES LTD,SIN001466,"13,503.60",,W6 7JP,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,12/04/2021,Contractor/ Staff Substitution,Global Health,4C ASSOCIATES LTD,SIN001466,"11,322.00",,W6 7JP,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,06/04/2021,Other programme expenditure,Global Health,ABBOTT LABORATORIES LTD,751539311,"86,297.66",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,06/04/2021,Other programme expenditure,Global Health,ABBOTT LABORATORIES LTD,751539311,"11,648.54",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,06/04/2021,Other programme expenditure,Global Health,ABBOTT LABORATORIES LTD,751539311,"3,312,907.78",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,06/04/2021,Other programme expenditure,Global Health,ABBOTT LABORATORIES LTD,751539311,"94,146.00",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,06/04/2021,Other programme expenditure,Global Health,ABBOTT LABORATORIES LTD,751539311,365.15,,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,06/04/2021,Other programme expenditure,Global Health,ABBOTT LABORATORIES LTD,751539311,"9,067.61",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,06/04/2021,Other programme expenditure,Global Health,ABBOTT LABORATORIES LTD,751539311,286.8,,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,06/04/2021,Other programme expenditure,Global Health,ABBOTT LABORATORIES LTD,751539311,18,,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,06/04/2021,Other programme expenditure,Global Health,ABBOTT LABORATORIES LTD,751539311,"448,328.56",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,06/04/2021,Other programme expenditure,Global Health,ABBOTT LABORATORIES LTD,751539311,"10,088.83",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,06/04/2021,Other programme expenditure,Global Health,ABBOTT LABORATORIES LTD,751539311,399.17,,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,06/04/2021,Other programme expenditure,Global Health,ABBOTT LABORATORIES LTD,751539311,"8,175.80",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,06/04/2021,Other programme expenditure,Global Health,ABBOTT LABORATORIES LTD,751539311,"16,350.00",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,06/04/2021,Outsourcing Contract,Global Health,ABBOTT LABORATORIES LTD,751539311,"133,500.00",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,06/04/2021,Outsourcing Contract,Global Health,ABBOTT LABORATORIES LTD,751539311,"3,460.80",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,06/04/2021,Outsourcing Contract,Global Health,ABBOTT LABORATORIES LTD,751539311,"2,689.20",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,06/04/2021,Other programme expenditure,Global Health,ABBOTT LABORATORIES LTD,751539311,"1,780.81",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,06/04/2021,Other programme expenditure,Global Health,ABBOTT LABORATORIES LTD,851021901,-18,,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,06/04/2021,Other programme expenditure,Global Health,ABBOTT LABORATORIES LTD,851021524,-286.8,,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,01/04/2021,Other programme expenditure,Global Health,ABBOTT RAPID DIAGNOSTICS LTD,92661952,"3,133,440.00",,SK7 5BW,Medium,,,,
Department of Health and Social Care,Department of Health and Social Care,22/04/2021,Research & development,Chief Scientific Advisor,ABERDEEN UNIVERSITY OF,ASI0010736,"82,121.89",,AB24 3FX,Govn,,,,
Department of Health and Social Care,Department of Health and Social Care,22/04/2021,Research & development,Chief Scientific Advisor,ABERDEEN UNIVERSITY OF,ASI0010727,"39,901.86",,AB24 3FX,Govn,,,,
Department of Health and Social Care,Department of Health and Social Care,22/04/2021,Research & development,Chief Scientific Advisor,ACADEMY OF MEDICAL SCIENCES,ASI0010775,"42,559.66",,W1B 1QH,Medium,,,,
