Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount ,PO Line Description ,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health and Social Care,Department of Health and Social Care,21/04/2020,School Fruit and Veg Scheme,GLOBAL AND PUBLIC HEALTH,A G Axton,8173," 67,804.42 ",,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,29/04/2020,Professional Fees,FINANCE AND GROUP OPERATIONS,A M INDUSTRIAL LTD,INV-3924," 30,000.00 ",,GU3 2AH,SME,,,
Department of Health and Social Care,Department of Health and Social Care,25/04/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,A PLUS INTERNATIONAL EXPRESS PARCELS UK LTD,NHS20200406 FOR GOODS RECD 23/04/20," 371,520.00 ",PPE - Gowns,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,08/04/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,A PLUS INTERNATIONAL EXPRESS PARCELS UK LTD,NHS20200406," 2,012,400.00 ",PPE - Gowns,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,23/04/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751468622, 852.00 ,Test Kits,,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,23/04/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751468623, 852.00 ,Test Kits,,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,23/04/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751468624, 852.00 ,Test Kits,,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,23/04/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751468628, 852.00 ,Test Kits,,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,23/04/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751468638, 852.00 ,Test Kits,,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,23/04/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751468639, 852.00 ,Test Kits,,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,23/04/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751468641, 852.00 ,Test Kits,,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,23/04/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751468626," 1,704.00 ",Test Kits,,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,23/04/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751468627," 1,704.00 ",Test Kits,,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,23/04/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751468634," 1,704.00 ",Test Kits,,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,23/04/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751468640," 1,704.00 ",Test Kits,,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,23/04/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751468641," 28,259.71 ",Test Kits,,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,23/04/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751468622," 30,433.54 ",Test Kits,,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,23/04/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751468623," 30,433.54 ",Test Kits,,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,23/04/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751468624," 30,433.54 ",Test Kits,,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,23/04/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751468628," 30,433.54 ",Test Kits,,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,23/04/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751468638," 30,433.54 ",Test Kits,,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,23/04/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751468639," 30,433.54 ",Test Kits,,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,23/04/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751468626," 58,693.25 ",Test Kits,,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,23/04/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751468627," 58,693.25 ",Test Kits,,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,23/04/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751468634," 60,867.07 ",Test Kits,,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,23/04/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751468640," 60,867.07 ",Test Kits,,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,16/04/2020,Research & development,CHIEF SCIENTIFIC ADVISOR,ACADEMY OF MEDICAL SCIENCES,ERS-630474-186981," 478,000.00 ",,W1B 1QH,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,14/04/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ACF TECHNOLOGIES UK LTD,40404," 197,520.00 ",,GU21 6LE,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,09/04/2020,Revenue Grants to non-profit institutions,GLOBAL AND PUBLIC HEALTH,ACTION ON SMOKING AND HEALTH,ERS-630330-186781," 35,000.00 ",,EC1N 8JY,VCS,,,
Department of Health and Social Care,Department of Health and Social Care,20/04/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,AEFO TECHNICAL SERVICES LLC,626128287," 5,868,167.20 ",PPE - Masks,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,27/04/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,AIR CHARTER SERVICE LTD,627546749," 1,028,972.64 ",Air Freight,,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,07/04/2020,Radio communications,FINANCE AND GROUP OPERATIONS,AIRWAVE SOLUTIONS INTERNATIONAL LTD,0900000137-726," 234,918.60 ",,SL1 2EJ,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,15/04/2020,Radio communications,FINANCE AND GROUP OPERATIONS,AIRWAVE SOLUTIONS INTERNATIONAL LTD,0900000137-725," 1,391,800.22 ",,SL1 2EJ,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,15/04/2020,Radio communications,FINANCE AND GROUP OPERATIONS,AIRWAVE SOLUTIONS INTERNATIONAL LTD,0900000137-725," 2,114,165.00 ",,SL1 2EJ,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,09/04/2020,Radio communications,FINANCE AND GROUP OPERATIONS,AIRWAVE SOLUTIONS INTERNATIONAL LTD,0900000137-718," 7,724.95 ",,SL1 2EJ,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,09/04/2020,Radio communications,FINANCE AND GROUP OPERATIONS,AIRWAVE SOLUTIONS INTERNATIONAL LTD,0900000137-718," 7,256.00 ",,SL1 2EJ,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,09/04/2020,Radio communications,FINANCE AND GROUP OPERATIONS,AIRWAVE SOLUTIONS INTERNATIONAL LTD,0900000137-718," 12,467.05 ",,SL1 2EJ,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,22/04/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,AIYA TECHNOLOGY HK LTD,626399406," 1,953,000.00 ",PPE - Gowns,,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,16/04/2020,Research & development,CHIEF SCIENTIFIC ADVISOR,ALDER HEY CHILDRENS NHS FOUNDATION TRUST,ERS-630568-186858," 32,188.00 ",,L12 2AP,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,16/04/2020,Research & development,CHIEF SCIENTIFIC ADVISOR,ALDER HEY CHILDRENS NHS FOUNDATION TRUST,ERS-630458-186857," 56,697.00 ",,L12 2AP,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,15/04/2020,Research & development,CHIEF SCIENTIFIC ADVISOR,ALZHEIMERS SOCIETY GRANTS ONLY,ERS-630420-186802," 25,000.00 ",,EC3N 2AE,VCS,,,
Department of Health and Social Care,Department of Health and Social Care,23/04/2020,Outsourcing Contract,GLOBAL AND PUBLIC HEALTH,AMBIPAR RESPONSE LTD,107254," 23,701.50 ",,RH10 1EX,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,28/04/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ASCOT SIGNS LTD,2820," 687,000.00 ",PPE - Visors,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,07/04/2020,Outsourcing Contract,FINANCE AND GROUP OPERATIONS,ASSOCIATION OF DIRECTORS OF ADULT SOCIAL SERVICES,5551," 145,491.00 ",,SW8 2LL,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,15/04/2020,Outsourcing Contract,FINANCE AND GROUP OPERATIONS,ATOS IT SOLUTIONS AND SERVICES LTD,5584334018," 91,731.54 ",,WS11 0JA,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,28/04/2020,Outsourcing Contract,FINANCE AND GROUP OPERATIONS,ATOS IT SOLUTIONS AND SERVICES LTD,5584335088," 28,802.58 ",,WS11 0JA,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,28/04/2020,Outsourcing Contract,FINANCE AND GROUP OPERATIONS,ATOS IT SOLUTIONS AND SERVICES LTD,5584335087," 1,162,215.27 ",,WS11 0JA,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,28/04/2020,Outsourcing Contract,FINANCE AND GROUP OPERATIONS,ATOS IT SOLUTIONS AND SERVICES LTD,5584335088," 4,527.31 ",,WS11 0JA,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,07/04/2020,Printing,FINANCE AND GROUP OPERATIONS,ATOS IT SOLUTIONS AND SERVICES LTD,5584333851," 27,719.32 ",,WS11 0JA,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,16/04/2020,Research & development,CHIEF SCIENTIFIC ADVISOR,BARTS HEALTH NHS TRUST,ERS-630594-187149," 121,624.00 ",,E1 8PR,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,16/04/2020,Research & development,CHIEF SCIENTIFIC ADVISOR,BARTS HEALTH NHS TRUST,ERS-630781-187150," 170,470.00 ",,E1 8PR,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,27/04/2020,Research & development,CHIEF SCIENTIFIC ADVISOR,BARTS HEALTH NHS TRUST,ERS-631094-187268," 2,414,237.00 ",,E1 8PR,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,16/04/2020,Research & development,CHIEF SCIENTIFIC ADVISOR,BARTS HEALTH NHS TRUST,ERS-630491-187148," 82,601.00 ",,E1 8PR,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,09/04/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,BEIJING SIRIUSMED MEDICAL DEVICE CO LTD,624762445," 700,000.00 ",Ventilator and ventilator consumables ,,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,21/04/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,BEIJING SIRIUSMED MEDICAL DEVICE CO LTD,625857940," 61,250.00 ",Ventilator and ventilator consumables ,,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,29/04/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,BEIJING UNION GLORY INVESTMENT CO LTD,627918338," 864,013.53 ",PPE - Gowns,,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,21/04/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,BEIJING UNION GLORY INVESTMENT CO LTD,626398934," 18,560,822.39 ",PPE - Gowns,,LARGE,,,
