Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description ,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health and Social Care,Department of Health and Social Care,28/04/2022,Revenue Grants to local authorities,Social Care Group,WOLVERHAMPTON CITY COUNCIL,ICTF2 IPC 21.04.22,-77346.41,LA Grants (ICTF2 IPC refunds) Wolverhampton Council (S05360),WV1 1RG,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,28/04/2022,Revenue Grants to local authorities,Social Care Group,WINDSOR AND MAIDENHEAD ROYAL BOROUGH OF,ICTF2 IPC 26.04.22,-167109.59,LA Grants (ICTF2 IPC refunds) Windsor and Maidenhead (S05357),SL6 1RF,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/04/2022,Revenue Grants to local authorities,Social Care Group,GREENWICH LONDON BOROUGH COUNCIL,Greenwich ICTF2 REfu,-93301.55,LA Grants (ICTF2 IPC refunds),SE18 6PW,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/04/2022,Revenue Grants to local authorities,Social Care Group,EALING LONDON BOROUGH COUNCIL,ICF2 Refund Ealing,-123669,LA Grants (ICTF2 IPC refunds),W5 2HL,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,26/04/2022,Revenue Grants to local authorities,Social Care Group,WORCESTERSHIRE COUNTY COUNCIL,ICTF2 IPC 13.04.22,-181105.29,ICTF2 IPC REFUND WORCESTERSHIRE,WR5 2NP,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,26/04/2022,Revenue Grants to local authorities,Social Care Group,TELFORD AND WREKIN BOROUGH OF,ICTF2 ICF 08.04.22,-53194.83,ICTF2 ICF REFUND TELFORD & WREKIN,TF3 4LF,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,26/04/2022,Revenue Grants to local authorities,Social Care Group,READING BOROUGH COUNCIL,ICTF2 ICF 11.04.22,-61735.6,ICTF2 ICF REFUND READING,RG1 7TD,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,26/04/2022,Revenue Grants to local authorities,Social Care Group,LEICESTER CITY COUNCIL,ICTF2 ICF 11.04.22,-29885.68,ICTF2 ICF REFUND LEICESTER,LE1 6ZG,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,26/04/2022,Revenue Grants to local authorities,Social Care Group,KIRKLEES METROPOLITAN COUNCIL,ICTF2 ICF 08.04.22,-107353.51,ICT2 ICF REFUND KIRKLEES,HD1 2EY,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,26/04/2022,Revenue Grants to local authorities,Social Care Group,DARLINGTON BOROUGH COUNCIL,ICTF2 IPC 12.04.22,-63988.35,ICTF2 IPC REFUND DARLINGTON,DL1 5QT,Govn,,,
