Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount ,PO Line Description ,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,
Department of Health and Social Care,Department of Health and Social Care,05/08/2021,Consultancy/Professional Advice,Global Health,4C ASSOCIATES LTD,SIN001578,64.8,,W6 7JP,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,19/08/2021,Contractor/ Staff Substitution,Global Health,4C ASSOCIATES LTD,SIN001632,"366,036.00",,W6 7JP,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,05/08/2021,Consultancy/Professional Advice,Global Health,4C ASSOCIATES LTD,SIN001578,"15,960.00",,W6 7JP,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,05/08/2021,Consultancy/Professional Advice,Global Health,4C ASSOCIATES LTD,SIN001578,"20,520.00",,W6 7JP,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,05/08/2021,Consultancy/Professional Advice,Global Health,4C ASSOCIATES LTD,SIN001578,"41,040.00",,W6 7JP,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,16/08/2021,Outsourcing Contract,Global Health,ABBOTT RAPID DIAGNOSTICS LTD,92678217,225,,SK7 5BW,Medium,,,,
Department of Health and Social Care,Department of Health and Social Care,16/08/2021,Outsourcing Contract,Global Health,ABBOTT RAPID DIAGNOSTICS LTD,92627737,300,,SK7 5BW,Medium,,,,
Department of Health and Social Care,Department of Health and Social Care,16/08/2021,Outsourcing Contract,Global Health,ABBOTT RAPID DIAGNOSTICS LTD,92646754,300,,SK7 5BW,Medium,,,,
Department of Health and Social Care,Department of Health and Social Care,16/08/2021,Outsourcing Contract,Global Health,ABBOTT RAPID DIAGNOSTICS LTD,92646756,300,,SK7 5BW,Medium,,,,
Department of Health and Social Care,Department of Health and Social Care,16/08/2021,Outsourcing Contract,Global Health,ABBOTT RAPID DIAGNOSTICS LTD,92646757,300,,SK7 5BW,Medium,,,,
Department of Health and Social Care,Department of Health and Social Care,16/08/2021,Outsourcing Contract,Global Health,ABBOTT RAPID DIAGNOSTICS LTD,92658977,300,,SK7 5BW,Medium,,,,
Department of Health and Social Care,Department of Health and Social Care,16/08/2021,Outsourcing Contract,Global Health,ABBOTT RAPID DIAGNOSTICS LTD,92658978,300,,SK7 5BW,Medium,,,,
Department of Health and Social Care,Department of Health and Social Care,16/08/2021,Outsourcing Contract,Global Health,ABBOTT RAPID DIAGNOSTICS LTD,92658979,300,,SK7 5BW,Medium,,,,
Department of Health and Social Care,Department of Health and Social Care,16/08/2021,Outsourcing Contract,Global Health,ABBOTT RAPID DIAGNOSTICS LTD,92658980,300,,SK7 5BW,Medium,,,,
Department of Health and Social Care,Department of Health and Social Care,16/08/2021,Outsourcing Contract,Global Health,ABBOTT RAPID DIAGNOSTICS LTD,92672443,300,,SK7 5BW,Medium,,,,
Department of Health and Social Care,Department of Health and Social Care,16/08/2021,Outsourcing Contract,Global Health,ABBOTT RAPID DIAGNOSTICS LTD,92672450,300,,SK7 5BW,Medium,,,,
Department of Health and Social Care,Department of Health and Social Care,16/08/2021,Outsourcing Contract,Global Health,ABBOTT RAPID DIAGNOSTICS LTD,92672451,300,,SK7 5BW,Medium,,,,
Department of Health and Social Care,Department of Health and Social Care,16/08/2021,Outsourcing Contract,Global Health,ABBOTT RAPID DIAGNOSTICS LTD,92682402,300,,SK7 5BW,Medium,,,,
Department of Health and Social Care,Department of Health and Social Care,20/08/2021,Outsourcing Contract,Global Health,ABBOTT RAPID DIAGNOSTICS LTD,93107359,300,,SK7 5BW,Medium,,,,
Department of Health and Social Care,Department of Health and Social Care,20/08/2021,Outsourcing Contract,Global Health,ABBOTT RAPID DIAGNOSTICS LTD,93107360,300,,SK7 5BW,Medium,,,,
Department of Health and Social Care,Department of Health and Social Care,20/08/2021,Outsourcing Contract,Global Health,ABBOTT RAPID DIAGNOSTICS LTD,93107361,300,,SK7 5BW,Medium,,,,
Department of Health and Social Care,Department of Health and Social Care,20/08/2021,Outsourcing Contract,Global Health,ABBOTT RAPID DIAGNOSTICS LTD,93107362,300,,SK7 5BW,Medium,,,,
Department of Health and Social Care,Department of Health and Social Care,23/08/2021,Outsourcing Contract,Global Health,ABBOTT RAPID DIAGNOSTICS LTD,93252508,300,,SK7 5BW,Medium,,,,
Department of Health and Social Care,Department of Health and Social Care,23/08/2021,Outsourcing Contract,Global Health,ABBOTT RAPID DIAGNOSTICS LTD,93252509,300,,SK7 5BW,Medium,,,,
Department of Health and Social Care,Department of Health and Social Care,31/08/2021,Outsourcing Contract,Global Health,ABBOTT RAPID DIAGNOSTICS LTD,93200554,300,,SK7 5BW,Medium,,,,
Department of Health and Social Care,Department of Health and Social Care,31/08/2021,Outsourcing Contract,Global Health,ABBOTT RAPID DIAGNOSTICS LTD,93200558,300,,SK7 5BW,Medium,,,,
Department of Health and Social Care,Department of Health and Social Care,31/08/2021,Outsourcing Contract,Global Health,ABBOTT RAPID DIAGNOSTICS LTD,93200559,300,,SK7 5BW,Medium,,,,
Department of Health and Social Care,Department of Health and Social Care,16/08/2021,Outsourcing Contract,Global Health,ABBOTT RAPID DIAGNOSTICS LTD,92646755,360,,SK7 5BW,Medium,,,,
Department of Health and Social Care,Department of Health and Social Care,16/08/2021,Outsourcing Contract,Global Health,ABBOTT RAPID DIAGNOSTICS LTD,92658981,375,,SK7 5BW,Medium,,,,
Department of Health and Social Care,Department of Health and Social Care,16/08/2021,Outsourcing Contract,Global Health,ABBOTT RAPID DIAGNOSTICS LTD,92688098,375,,SK7 5BW,Medium,,,,
Department of Health and Social Care,Department of Health and Social Care,20/08/2021,Outsourcing Contract,Global Health,ABBOTT RAPID DIAGNOSTICS LTD,93107358,375,,SK7 5BW,Medium,,,,
Department of Health and Social Care,Department of Health and Social Care,16/08/2021,Outsourcing Contract,Global Health,ABBOTT RAPID DIAGNOSTICS LTD,92681216,450,,SK7 5BW,Medium,,,,
Department of Health and Social Care,Department of Health and Social Care,20/08/2021,Outsourcing Contract,Global Health,ABBOTT RAPID DIAGNOSTICS LTD,93107357,450,,SK7 5BW,Medium,,,,
