Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description ,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health and Social Care,Department of Health and Social Care,30/08/2022,Revenue Grants to local authorities,Social Care Group,SOUTHAMPTON CITY COUNCIL,ICTF3 IPC Refund,-47973.89,LA Grants (ICTF3 IPC refunds),SO15 1GX,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,30/08/2022,Revenue Grants to local authorities,Social Care Group,REDBRIDGE LONDON BOROUGH COUNCIL,ICF2/RTF Refund,-35228.96,ICF2/RTF IPC Refund Redbridge,IG1 1TR,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,30/08/2022,Revenue Grants to local authorities,Social Care Group,BRACKNELL FOREST BOROUGH COUNCIL,ICTF3 IPC Refund,-55583.63,LA Grants (ICTF3 IPC refunds),RG12 1AQ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,22/08/2022,Outsourcing Contract,Social Care Group,IMPROVEMENT AND DEVELOPMENT AGENCY,40225709,1431641,Care and Health Improvement Programme,SW1P 3HZ,Medium,,,
Department of Health and Social Care,Department of Health and Social Care,16/08/2022,Research & development,Social Care Group,NATCEN SOCIAL RESEARCH TA NATIONAL CENTRE FOR SOCIAL RESEARCH,58039,25851.75,Research on demand for L&D in the ASC workforce,EC1V 0AX,Medium,,,
Department of Health and Social Care,Department of Health and Social Care,10/08/2022,Secondees in invoiced costs,Social Care Group,HERTFORDSHIRE COUNTY COUNCIL,1803601933,52100.52,Secondees in invoiced costs,SG13 8DQ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,10/08/2022,Outsourcing Contract,Social Care Group,ASSOCIATION OF DIRECTORS OF ADULT SOCIAL SERVICES,7278,50000.4,ADASS Leadership and Infrastructure,SW8 2LL,Micro,,,
Department of Health and Social Care,Department of Health and Social Care,08/08/2022,Revenue Grants to local authorities,Social Care Group,KENSINGTON AND CHELSEA COUNCIL ROYAL BOROUGH OF,LA Grants (ICTF2 Tes,-45158.6,LA Grants (ICTF2 Testing refunds) Kensington & Chelsea,W8 7NX,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,08/08/2022,Revenue Grants to local authorities,Social Care Group,BRISTOL CITY COUNCIL,LA Grants (ICTF2 Tes,-41956.86,LA Grants (ICTF2 Testing refunds) - Bristol,BS1 5TR,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,08/08/2022,Revenue Grants to local authorities,Social Care Group,BRISTOL CITY COUNCIL,LA Grants (ICTF2 IPC,-47196.7,LA Grants (ICTF2 IPC refunds) Bristol,BS1 5TR,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,05/08/2022,Revenue Grants to non-profit institutions,Social Care Group,SOCIAL CARE INSTITUTE FOR EXCELLENCE SCIE,ASI0024337,792500,2022/004 SCIE grant - April to Sept,W1U 6AG,Small,,,
Department of Health and Social Care,Department of Health and Social Care,05/08/2022,Consultancy/Professional Advice,Social Care Group,OFFICE FOR NATIONAL STATISTICS ONS,2821098,75520.13,ASC self-funding population estimates,NP10 8XG,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,03/08/2022,Revenue Grants to local authorities,Social Care Group,HAMPSHIRE COUNTY COUNCIL,LA Grants (ICTF2 IPC,-73026.03,LA Grants (ICTF2 IPC refunds) Hampshire,SO23 8UJ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,11/08/2022,SFVS - product & distribution cost,Public Health,Total Produce - Bodmin,B22070131908,31478.438,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,11/08/2022,SFVS - product & distribution cost,Public Health,Total Produce - Bodmin,B22070131878,43029.306,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,04/08/2022,SFVS - product & distribution cost,Public Health,MWW (Birmingham),SIN0373796,33014.22,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,04/08/2022,SFVS - product & distribution cost,Public Health,MWW (Birmingham),SIN0373794,42736.5,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,04/08/2022,SFVS - product & distribution cost,Public Health,MWW (Birmingham),SIN0373790,39247.547,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,04/08/2022,SFVS - product & distribution cost,Public Health,MWW (Birmingham),SIN0373783,65672.024,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,01/08/2022,SFVS - product & distribution cost,Public Health,MWW (Chesham),SIN0373656,32688.177,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,01/08/2022,SFVS - product & distribution cost,Public Health,MWW (Chesham),SIN0373655,68603.24,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,01/08/2022,SFVS - product & distribution cost,Public Health,MWW (Chesham),SIN0373647,27934.94,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,03/08/2022,SFVS - product & distribution cost,Public Health,MWW (St Helens),SIN0373636,31408.433,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,03/08/2022,SFVS - product & distribution cost,Public Health,MWW (St Helens),SIN0373633,62428.27,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,01/08/2022,SFVS - product & distribution cost,Public Health,MWW (Marden),SIN0373503,36414.427,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,01/08/2022,SFVS - product & distribution cost,Public Health,MWW (Marden),SIN0373502,57799.978,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,01/08/2022,SFVS - product & distribution cost,Public Health,MWW (Marden),SIN0373500,78462.086,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,01/08/2022,SFVS - product & distribution cost,Public Health,MWW (Peterborough),SIN0373513,54057.25,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,01/08/2022,SFVS - product & distribution cost,Public Health,MWW (Peterborough),SIN0373512,40235.72,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,01/08/2022,SFVS - product & distribution cost,Public Health,MWW (Peterborough),SIN0373508,35695.11,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,05/08/2022,SFVS - product & distribution cost,Public Health,AG Axton,INV-24882,70920.18,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,02/08/2022,SFVS - product & distribution cost,Public Health,Total Produce - Wigan,W22061530359,29048.302,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,02/08/2022,SFVS - product & distribution cost,Public Health,Total Produce - Wigan,W22061530358,25655.836,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,02/08/2022,SFVS - product & distribution cost,Public Health,Total Produce - Wigan,W22061530356,28031.798,SFVS - product & distribution cost,,SME,,,
