Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount ,PO Line Description ,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health and Social Care,Department of Health and Social Care,11/08/2020,Revenue Grants to non-profit institutions,COMMUNITY CARE,42ND STREET,ERS-639916-193032," 32,473.00 ",,M4 5AG,VCS,,,
Department of Health and Social Care,Department of Health and Social Care,03/08/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,A PLUS INTERNATIONAL EXPRESS PARCELS UK LTD,NHS20200630," 1,264,200.00 ",,TW14 0AF,SME,,,
Department of Health and Social Care,Department of Health and Social Care,11/08/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,AB SCIENTIFIC LTD,6956," 103,200.00 ",,EC1V 2NX,SME,,,
Department of Health and Social Care,Department of Health and Social Care,19/08/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,AB SCIENTIFIC LTD,7004," 41,280.00 ",,EC1V 2NX,SME,,,
Department of Health and Social Care,Department of Health and Social Care,30/08/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,AB SCIENTIFIC LTD,7046," 41,280.00 ",,EC1V 2NX,SME,,,
Department of Health and Social Care,Department of Health and Social Care,05/08/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABINGDON HEALTH LTD,65," 376,020.00 ",,YO41 1LZ,SME,,,
Department of Health and Social Care,Department of Health and Social Care,05/08/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABLE SERVICES SUPPLIES LTD,INV-01082," 1,016,100.00 ",PPE - Masks,W12 7SB,SME,,,
Department of Health and Social Care,Department of Health and Social Care,18/08/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABLE SERVICES SUPPLIES LTD,INV-01091," 677,400.00 ",PPE - Masks,W12 7SB,SME,,,
Department of Health and Social Care,Department of Health and Social Care,21/08/2020,Revenue Grants to non-profit institutions,GLOBAL AND PUBLIC HEALTH,ADFAM,ERS-640860-193401," 25,213.00 ",,N1 6DR,VCS,,,
Department of Health and Social Care,Department of Health and Social Care,07/08/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,AIR CHARTER SERVICE LTD,647390917," 2,840,386.38 ",,RH10 1UH,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,10/08/2020,Radio communications,FINANCE AND GROUP OPERATIONS,AIRWAVE SOLUTIONS INTERNATIONAL LTD,0900000137-756," 241,018.18 ",,SL1 2EJ,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,14/08/2020,Radio communications,FINANCE AND GROUP OPERATIONS,AIRWAVE SOLUTIONS INTERNATIONAL LTD,0900000137-757," 23,820.00 ",,SL1 2EJ,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,14/08/2020,Radio communications,FINANCE AND GROUP OPERATIONS,AIRWAVE SOLUTIONS INTERNATIONAL LTD,0900000137-757," 3,628.00 ",,SL1 2EJ,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,03/08/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,AIYA TECHNOLOGY HK LTD,646160685," 770,880.00 ",,RH10 1UH,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,13/08/2020,Research & development,CHIEF SCIENTIFIC ADVISOR,ALDER HEY CHILDRENS NHS FOUNDATION TRUST,ERS-640128-193109," 32,188.00 ",,L12 2AP,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,13/08/2020,Research & development,CHIEF SCIENTIFIC ADVISOR,ALDER HEY CHILDRENS NHS FOUNDATION TRUST,ERS-640061-193108," 56,697.00 ",,L12 2AP,PUBLIC,,,
