Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount ,PO Line Description ,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health and Social Care,Department of Health and Social Care,30/12/2021,Other programme expenditure,Global Health ,INSS,FCP0000509,"241,845,302.90","INSS - EEA PAYMENTS - SPAIN - EUR 286,838,261.51",,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,24/12/2021,Radio communications,NHS AND Workforce ,FREQUENTIS AG,FCP0000508,"25,923.58",FREQUENTIS AG - GBP PAYT TO AUSTRIA -  ARP CRS EARLY SECOND LINE SUPPORT,,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,22/12/2021,Revenue Grant to Overseas Bodies,Global Health ,WORLD HEALTH ORGANIZATION,FCP0000507,"1,009,118.00",WORLD HEALTH ORGANIZATION GBP PAYT TO SWITZERLAND - SUPPORTING COUNTRIES IN AFRICA & ASIA GRANT,,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,21/12/2021,Storage costs,Global Health ,CARGO SERVICES FAR EAST LTD,FCP0000505,"127,994.31",CARGO SERVICES FAR EAST LTD - GBP PAYT TO HONG KONG - WAREHOUSING/STORAGE NOV 2021,,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,21/12/2021,Other programme expenditure,Global Health ,DEPARTMENT OF HEALTH IRELAND,FCP0000506,"229,611,375.00","DEPARTMENT OF HEALTH IRELAND - EEA PAYMENTS - EUR 270,000,000.00",,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,17/12/2021,Other programme expenditure,Global Health ,SLOVAKIA EEA,FCP0000497,"152,256.53","SLOVAKIA EEA PAYT - EUR 178,210.54 - URAD PRE DOHL'AD NAD ZDRAVOTNOU",,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,17/12/2021,Other programme expenditure,Global Health ,GERMANY (DVKA) EEA ,FCP0000495,"6,756,728.79","GERMANY (DVKA) EEA PAYT - EUR 7,911,453.74 -DEUTSCHE VERBINDUNGSSTELLE",,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,17/12/2021,Other programme expenditure,Global Health ,CROATIA FCP EEA,FCP0000494,"280,034.66","CROATIA FCP EEA PAYT - HRK 2,460,063.53 - HRVATSKI ZAVOD ZA ZDRAVSTVENO",,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,17/12/2021,Other programme expenditure,Global Health ,LITHUANIA EEA ,FCP0000498,"105,893.56","LITHUANIA EEA PAYT - EUR 123,929.65 - VALSTYBINE LIGONIU KASA PRIE",,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,17/12/2021,Other programme expenditure,Global Health ,NETHERLANDS EEA,FCP0000496,"788,967.87","NETHERLANDS EEA PAYT - EUR 923,794.20 -  CAK",,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,17/12/2021,Other programme expenditure,Global Health ,LUXEMBOURG EEA,FCP0000499,"37,009.06","LUXEMBOURG EEA PAYT -  EUR 43,310.48 - CAISSE NATIONALE DE SANTE",,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,14/12/2021,Capital Grants to non-profit institutions,Global Health ,GARDP FOUNDATION ,FCP0000490,"768,068.00",GARDP FOUNDATION - GAMRIF STI PROGRAMME TRANCHE Q1 & Q3 - GBP TO SWITZERLAND,,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,14/12/2021,Capital Grants to non-profit institutions,Global Health ,TRUSTEES OF BOSTON UNIVERSITY,FCP0000489,"911,059.25","TRUSTEES OF BOSTON UNIVERSITY - INV 1800093810 GAMRIF/CARB-X GRANT NUMBER 55206375 - USD 1,204,477.72",,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,14/12/2021,Revenue Grant to Overseas Bodies,Global Health ,WORLD HEALTH ORGANIZATION,FCP0000491,"195,748.00",WORLD HEALTH ORGANIZATION - FLEMING FUND COUNTRY GRANT INDIA - GBP TO SWITZERLAND,,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,10/12/2021,Storage costs,Global Health ,CARGO SERVICES FAR EAST,FCP0000488,"45,426.10",CARGO SERVICES FAR EAST - GBP PAYT - INVS 211114/15/16/17 STORAGE NOV 2021,,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,10/12/2021,Revenue Grant to Overseas Bodies,NHS AND Workforce ,CHRISTIAN HEALTH ASSN GHANA,FCP0000487,"135,906.80",CHRISTIAN HEALTH ASSN GHANA - GBP PAYT - WORKFORCE GRANT,,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,03/12/2021,UK subscriptions to overseas bodies,Global Health ,WORLD HEALTH ORGANIZATION,FCP0000484,"8,251,721.92","WORLD HEALTH ORGANIZATION - WHO-AC-2022/2023 - USD 10,926,105.00",,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,03/12/2021,UK subscriptions to overseas bodies,Global Health ,WORLD HEALTH ORGANIZATION,FCP0000485,"8,178,867.71","WORLD HEALTH ORGANIZATION - WHO-AC-2022/2023 - CHF 9,953,682.00",,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,31/12/2021,Contractor/ Staff Substitution,Global Health,ROBERTSON BELL LTD,23935,"29,621.76",Contractor/ Staff Substitution,WC1H 0BS,Micro,,,
Department of Health and Social Care,Department of Health and Social Care,22/12/2021,Research & development,Chief Scientific Advisor,CORTIRIO LTD,INV_NIHR_PDA_06,"27,725.98",Research & development,,Micro,,,
Department of Health and Social Care,Department of Health and Social Care,17/12/2021,Revenue Grants to non-profit institutions,NHS and Workforce,CENTRE FOR FUN AND FAMILIES LIMITED,ASI0018096,"27,500.00",HWB Alliance-Centre for Fun and Families,LE3 0PE,Micro,,,
Department of Health and Social Care,Department of Health and Social Care,21/12/2021,Contractor/ Staff Substitution,NHSX,IDENTITY E2E LTD,101634,"26,862.00",Contractor/ Staff Substitution,TN14 7AA,Micro,,,
Department of Health and Social Care,Department of Health and Social Care,31/12/2021,Outsourcing Contract,Social Care Group,ASSOCIATION OF DIRECTORS OF ADULT SOCIAL SERVICES,6863,"129,879.73",Outsourcing Contract,SW8 2LL,Micro,,,
Department of Health and Social Care,Department of Health and Social Care,17/12/2021,Consultancy/Professional Advice,Social Care Group,THINK AHEAD,10028,"1,850,573.00",Think Ahead- Mental health social work graduate programme FY,WC2N 6DF,Micro,,,
