Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount ,PO Line Description ,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,
Department of Health and Social Care,Department of Health and Social Care,30/12/2020,Revenue Grants to non-profit institutions,NHS and Workforce,42ND STREET,ASI0003507," 37,473.00 ",2019/001a - CYPMH - 20/21 - 42nd Street,M4 5AG,Medium,,,,
Department of Health and Social Care,Department of Health and Social Care,31/12/2020,Outsourcing Contract,Global Health,4C ASSOCIATES LTD,SIN001419," 20,912.19 ",,W6 7JP,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,31/12/2020,Outsourcing Contract,Global Health,4C ASSOCIATES LTD,SIN001419," 150,475.52 ",,W6 7JP,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,31/12/2020,Outsourcing Contract,Global Health,4C ASSOCIATES LTD,SIN001419," 102,264.48 ",,W6 7JP,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,31/12/2020,Outsourcing Contract,Global Health,4C ASSOCIATES LTD,SIN001419," 47,200.39 ",,W6 7JP,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,31/12/2020,Outsourcing Contract,Global Health,4C ASSOCIATES LTD,SIN001419," 13,475.42 ",,W6 7JP,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,31/12/2020,Outsourcing Contract,Global Health,4C ASSOCIATES LTD,SIN001419," 13,103.13 ",,W6 7JP,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,31/12/2020,Outsourcing Contract,Global Health,4C ASSOCIATES LTD,SIN001419," 11,017.07 ",,W6 7JP,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,10/12/2020,School Fruit and Veg Scheme,Global Health,A G Axton,8404," 70,960.89 ",,,SME,,,,
Department of Health and Social Care,Department of Health and Social Care,29/12/2020,Other programme expenditure,Global Health,AB SCIENTIFIC LTD,7608," 133,440.00 ",,EC1V 2NX,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,31/12/2020,Other programme expenditure,Global Health,ABBOTT RAPID DIAGNOSTICS LTD,92165145," 10,229,760.00 ",,SK7 5BW,Medium,,,,
Department of Health and Social Care,Department of Health and Social Care,31/12/2020,Other programme expenditure,Global Health,ABBOTT RAPID DIAGNOSTICS LTD,92185136," 10,229,760.00 ",,SK7 5BW,Medium,,,,
