Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount ,PO Line Description ,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,
Department of Health and Social Care,Department of Health and Social Care,08/02/2021,Outsourcing Contract,Global Health,4C ASSOCIATES LTD,SIN001449,"76,956.00",,W6 7JP,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,08/02/2021,Consultancy/Professional Advice,Global Health,4C ASSOCIATES LTD,SIN001449,"262,044.00",,W6 7JP,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,08/02/2021,Consultancy/Professional Advice,Global Health,4C ASSOCIATES LTD,SIN001468,"195,717.60",,W6 7JP,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,10/02/2021,School Fruit and Veg Scheme,Global Health,A G Axton,8469,"58,144.60",,,SME,,,,
Department of Health and Social Care,Department of Health and Social Care,17/02/2021,Outsourcing Contract,Global Health,A PLUS INTERNATIONAL EXPRESS PARCELS UK LTD,NHS20210127,"1,480,920.00",,TW14 0AF,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,15/02/2021,Other programme expenditure,Global Health,ABBOTT RAPID DIAGNOSTICS LTD,92227529,"1,198,080.00",,SK7 5BW,Medium,,,,
Department of Health and Social Care,Department of Health and Social Care,15/02/2021,Other programme expenditure,Global Health,ABBOTT RAPID DIAGNOSTICS LTD,92227530,"1,198,080.00",,SK7 5BW,Medium,,,,
Department of Health and Social Care,Department of Health and Social Care,15/02/2021,Other programme expenditure,Global Health,ABBOTT RAPID DIAGNOSTICS LTD,92227531,"1,198,080.00",,SK7 5BW,Medium,,,,
Department of Health and Social Care,Department of Health and Social Care,15/02/2021,Other programme expenditure,Global Health,ABBOTT RAPID DIAGNOSTICS LTD,92227532,"1,198,080.00",,SK7 5BW,Medium,,,,
Department of Health and Social Care,Department of Health and Social Care,15/02/2021,Other programme expenditure,Global Health,ABBOTT RAPID DIAGNOSTICS LTD,92227533,"1,198,080.00",,SK7 5BW,Medium,,,,
Department of Health and Social Care,Department of Health and Social Care,15/02/2021,Other programme expenditure,Global Health,ABBOTT RAPID DIAGNOSTICS LTD,92227534,"1,198,080.00",,SK7 5BW,Medium,,,,
Department of Health and Social Care,Department of Health and Social Care,15/02/2021,Other programme expenditure,Global Health,ABBOTT RAPID DIAGNOSTICS LTD,92227535,"1,198,080.00",,SK7 5BW,Medium,,,,
Department of Health and Social Care,Department of Health and Social Care,15/02/2021,Other programme expenditure,Global Health,ABBOTT RAPID DIAGNOSTICS LTD,92227536,"1,198,080.00",,SK7 5BW,Medium,,,,
Department of Health and Social Care,Department of Health and Social Care,15/02/2021,Other programme expenditure,Global Health,ABBOTT RAPID DIAGNOSTICS LTD,92227537,"645,120.00",,SK7 5BW,Medium,,,,
