Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description ,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health and Social Care,Department of Health and Social Care,28/02/2022,Revenue Grant to Overseas Bodies,NHS and Workforce,FUTURE INTERNATIONAL WORKFORCE,FCP0000565,107627.38,FUTURE INTERNATIONAL WORKFORCE PROGRAMME - GHANA,,Public ,,,
Department of Health and Social Care,Department of Health and Social Care,28/02/2022,Other programme expenditure,Global Health,CARGO SERVICES FAR EAST,FCP0000563,392204.64,Other programme expenditure,,Public ,,,
Department of Health and Social Care,Department of Health and Social Care,28/02/2022,Capital Grants to non-profit institutions,Global Health,"PROJECT, INVOICE RECEIVED",FCP0000562,25273.55,"PROJECT, INVOICE RECEIVED 14 FEBRUARY 2022",,Public ,,,
Department of Health and Social Care,Department of Health and Social Care,28/02/2022,Revenue Grant to Overseas Bodies,Global Health,THE FOOD & AGRICULTURE ORG,FCP0000564,373751.86,Seventh addendum/ year,,Public ,,,
Department of Health and Social Care,Department of Health and Social Care,27/02/2022,Other programme expenditure,Global Health,Le Centre National des Soins a L'Etranger,FCP0000561,6211180.12,Payment for medical,,Public ,,,
Department of Health and Social Care,Department of Health and Social Care,27/02/2022,Additions purchased - Finished Goods & Consumables,Global Health,MX SUBMISSION ID,FCP0000560,249689.27,MX SUBMISSION ID:19533,,Public ,,,
Department of Health and Social Care,Department of Health and Social Care,15/02/2022,Other programme expenditure,Global Health,POLAND EEA PAYT,FCP0000554,54309.27,"POLAND EEA PAYT - PLN 292,828.70 - NARODOWY FUNDUSZ ZDROWIA",,Public ,,,
Department of Health and Social Care,Department of Health and Social Care,15/02/2022,Other programme expenditure,Global Health,FORSAKRINGSKASSAN (EEA PAYTS,FCP0000556,501356.36,"FORSAKRINGSKASSAN (EEA PAYTS) - SEK 6,330,320.88 (SWEDEN)",,Public ,,,
Department of Health and Social Care,Department of Health and Social Care,15/02/2022,Revenue Grant to Overseas Bodies,Global Health,WORLD HEALTH ORGANIZATION,FCP0000544,416916.7,WORLD HEALTH ORGANIZATION GENEVA - UNICEF/UNDP/WORLD BANK/WHO SPECIAL PROG - 1/1 - 31/12/22,,Public ,,,
Department of Health and Social Care,Department of Health and Social Care,15/02/2022,Other programme expenditure,Global Health,GREECE EEA PAYT,FCP0000550,374113.21,"GREECE EEA PAYT - EUR 446,443.13   - EOPYY ICOME FROM FOREIGN INSTITUTIONS",,Public ,,,
Department of Health and Social Care,Department of Health and Social Care,15/02/2022,Other programme expenditure,Global Health,BANCA D'ITALIA CAPO,FCP0000551,43789.27,"BANCA D'ITALIA CAPO 20 CAPITOLO 3620 - EEA PAYTS (ITALY) EUR 52,322.32",,Public ,,,
Department of Health and Social Care,Department of Health and Social Care,15/02/2022,Other programme expenditure,Global Health,NETHERLANDS EEA PAYT,FCP0000553,6300242.93,"NETHERLANDS EEA PAYT - EUR 7,530,680.37 -  CAK",,Public ,,,
Department of Health and Social Care,Department of Health and Social Care,15/02/2022,Other programme expenditure,Global Health,BULGARIA EEA PAYT,FCP0000545,863970.88,"BULGARIA EEA PAYT - BGN 2,016,439.78 - NATIONAL HEALTH INSURANCE FUND",,Public ,,,
Department of Health and Social Care,Department of Health and Social Care,15/02/2022,Other programme expenditure,Global Health,INSS - EEA PAYMENTS,FCP0000555,1020591.2,INSS - EEA PAYMENTS - SPAIN - EUR,,Public ,,,
Department of Health and Social Care,Department of Health and Social Care,15/02/2022,Other programme expenditure,Global Health,GERMANY (DVKA) EEA,FCP0000548,5326911.1,"GERMANY (DVKA) EEA PAYT - EUR 6,366,724.15 -DEUTSCHE VERBINDUNGSSTELLE",,Public ,,,
Department of Health and Social Care,Department of Health and Social Care,11/02/2022,Capital Grants to Other Bodies,Global Health,UNITED NATIONS OFFICE ,FCP0000543,48961.3,UNITED NATIONS OFFICE FOR PROJECT FCP 11 FEB 22,,Public ,,,
Department of Health and Social Care,Department of Health and Social Care,24/02/2022,Additions-SW LIC,Public Health,HEADUP SYSTEMS LTD,1003-REF,-100005.08,BACS REFUND,WC1N 2EB,Micro,,,
Department of Health and Social Care,Department of Health and Social Care,24/02/2022,Additions-SW LIC,Public Health,HEADUP SYSTEMS LTD,1003a,100005.08,"REPAYMENT OF INV 1003,",WC1N 2EB,Micro,,,
Department of Health and Social Care,Department of Health and Social Care,17/02/2022,Contractor/ Staff Substitution,NHSX,IDENTITY E2E LTD,101658,26862,E2E COVID Status Cert,TN14 7AA,Micro,,,
Department of Health and Social Care,Department of Health and Social Care,16/02/2022,Service charge - ICT,NHSX,BLACK PEAR SOFTWARE LTD,INV-10498,46727.16,"GPITF Q1-4 FY 21/22 SaaS, API and Compliance",WR6 6TP,Micro,,,
Department of Health and Social Care,Department of Health and Social Care,07/02/2022,Research & development,NHSX,QURE.AI TECHNOLOGIES LIMITED,Q-UK-21-22-02,302648.25,29396 - Qure.ai Technologies Private Limited AI Award,B3 2HB,Micro,,,
Department of Health and Social Care,Department of Health and Social Care,24/02/2022,Outsourcing Contract,NHS and Workforce,AMBER AND GREENE,2021/22/29,60537.6,CAA Training Amber and Greene,E5 0QG,Micro,,,
Department of Health and Social Care,Department of Health and Social Care,11/02/2022,Revenue Grants to non-profit institutions,NHS and Workforce,VOLUNTARY SECTOR MENTAL HEALTH PROVIDERS FORUM,ASI0019571,52500, HWBA Sub Group  Projects 21/22 - Association of Mental Health Providers,W1U 7EX,Micro,,,
Department of Health and Social Care,Department of Health and Social Care,08/02/2022,Additional support for delivery of Healthcare services,Global Health,RESPIRATORY PROTECTIVE ASSESSMENT LTD,12115,182976,Fit test training for NHS staff,BS37 9TW,Micro,,,
Department of Health and Social Care,Department of Health and Social Care,03/02/2022,Storage costs,Global Health,MODULE AR LTD,116,383904,Rental Containers Oct 21 - Mar 22,HU3 4UW,Micro,,,
Department of Health and Social Care,Department of Health and Social Care,22/02/2022,Outsourcing Contract,Chief Scientific Advisor,SCIENCE TO BUSINESS LTD,NIHR200668 Inv 009,43077.98,NIHR200668,W9 2HU,Micro,,,
Department of Health and Social Care,Department of Health and Social Care,14/02/2022,Research & development,Chief Scientific Advisor,XIM LIMITED,dhsc 009,73649,"LifeLight, project application AI_AWARD02031",SO16 7NP,Micro,,,
Department of Health and Social Care,Department of Health and Social Care,14/02/2022,Research & development,Chief Scientific Advisor,SERG TECHNOLOGIES LIMITED,INV-0012,45000,SERG Technologies - NIHR202133,E16 2DQ,Micro,,,
Department of Health and Social Care,Department of Health and Social Care,14/02/2022,Research & development,Chief Scientific Advisor,CYBERLIVER LIMITED,DHSC-2021-002,38528,AI_AWARD02402,HA7 1NR,Micro,,,
Department of Health and Social Care,Department of Health and Social Care,14/02/2022,Research & development,Chief Scientific Advisor,BREATHEOX LIMITED (TRADING AS ALBUS HEALTH),INV-0010,163780.22,AI_AWARD02005,OX42HN,Micro,,,
Department of Health and Social Care,Department of Health and Social Care,14/02/2022,Outsourcing Contract,Chief Scientific Advisor,SCIENCE TO BUSINESS LTD,NIHR200668 Inv 008,28142.59,NIHR200668,W9 2HU,Micro,,,
Department of Health and Social Care,Department of Health and Social Care,18/02/2022,Revenue Grants to non-profit institutions,Social Care Group,SOCIAL CARE INSTITUTE FOR EXCELLENCE SCIE,ASI0019590,396300,Grant agreement,W1U 6AG,Small,,,
Department of Health and Social Care,Department of Health and Social Care,14/02/2022,Outsourcing Contract,Public Health,MULTI RESOURCE MARKETING LTD,PO553943,32161.76,A4 HSRU: Administration costs 2021-22,LE16 9NR,Small,,,
Department of Health and Social Care,Department of Health and Social Care,01/02/2022,Revenue Grants to non-profit institutions,Office For Health Improvement & Disparities (OHID),THE NAZ PROJECT (LONDON),ASI0019415,25637,2021_046b PHE_NAZ Payment 1 - Oct 2021,W6 9DT,Small,,,
Department of Health and Social Care,Department of Health and Social Care,25/02/2022,Consultancy/Professional Advice,No Group,2020 DELIVERY LTD TA THE PSC,4693,102382.36,Implantable Medical Devices - Bridging Team,SE1 9LQ,Small,,,
Department of Health and Social Care,Department of Health and Social Care,24/02/2022,Consultancy/Professional Advice,No Group,2020 DELIVERY LTD TA THE PSC,4820,26399.56,CC29541- Addition - NHSX Medical Devices Safety Programme rev,SE1 9LQ,Small,,,
Department of Health and Social Care,Department of Health and Social Care,24/02/2022,Consultancy/Professional Advice,No Group,2020 DELIVERY LTD TA THE PSC,4765,74160,Implantable Medical Devices - Bridging Team,SE1 9LQ,Small,,,
Department of Health and Social Care,Department of Health and Social Care,24/02/2022,Consultancy/Professional Advice,No Group,2020 DELIVERY LTD TA THE PSC,4745,70492.63,Implantable Medical Devices - Bridging Team,SE1 9LQ,Small,,,
Department of Health and Social Care,Department of Health and Social Care,24/02/2022,Consultancy/Professional Advice,No Group,2020 DELIVERY LTD TA THE PSC,4730,50580,Implantable Medical Devices - Bridging Team,SE1 9LQ,Small,,,
Department of Health and Social Care,Department of Health and Social Care,24/02/2022,Consultancy/Professional Advice,No Group,2020 DELIVERY LTD TA THE PSC,4703,57940.8,Implantable Medical Devices - Bridging Team,SE1 9LQ,Small,,,
Department of Health and Social Care,Department of Health and Social Care,23/02/2022,Consultancy/Professional Advice,No Group,2020 DELIVERY LTD TA THE PSC,4790,53163.46,CC29541- Addition - NHSX Medical Devices Safety Programme rev,SE1 9LQ,Small,,,
Department of Health and Social Care,Department of Health and Social Care,28/02/2022,Contractor/ Staff Substitution,NHSX,MASON ADVISORY LTD,INV003008,66896.4,COVID Status Cert -MasonAdvisory Security service,M50 2ST,Small,,,
Department of Health and Social Care,Department of Health and Social Care,25/02/2022,Revenue Grants to non-profit institutions,NHSX,REGISTERED NURSING HOME ASSOCIATION LTD,ASI0019685,345000,2021_037_YR1 - RNHA 4th Payment,B30 3JN,Small,,,
Department of Health and Social Care,Department of Health and Social Care,25/02/2022,Revenue Grants to non-profit institutions,NHSX,REGISTERED NURSING HOME ASSOCIATION LTD,ASI0019685,625000,2021_037_YR1 - RNHA 3rd Payment,B30 3JN,Small,,,
Department of Health and Social Care,Department of Health and Social Care,24/02/2022,Research & development,NHSX,OPTELLUM LIMITED,NHSX-Q3 FY2021-22,201296,Optellum-  AI Award Research,OX1 1BY,Small,,,
Department of Health and Social Care,Department of Health and Social Care,24/02/2022,Research & development,NHSX,HEALTHY IO UK LTD,INVUK20200196,479808,Addtional line- Healthy . IO,W1G 0AN,Small,,,
Department of Health and Social Care,Department of Health and Social Care,24/02/2022,Consultancy/Professional Advice,NHSX,2020 DELIVERY LTD TA THE PSC,4820,140039.24,"CC29419 PSC delivery of MDSP POCT and service model work

Atamis ref: C29962",SE1 9LQ,Small,,,
Department of Health and Social Care,Department of Health and Social Care,21/02/2022,Service charge - ICT,NHSX,PCTI SOLUTIONS LTD,ARIN/00000245,638082.1,"20085 GPITF Cont Call Off 21 22 SaaS charges, API, Compl.",SL3 9LL,Small,,,
Department of Health and Social Care,Department of Health and Social Care,18/02/2022,Research & development,NHSX,MIRADA MEDICAL LIMITED,INV-0343,29745.97,Mirada NHS AI LAB AI Award Contract,OX2 0HP,Small,,,
Department of Health and Social Care,Department of Health and Social Care,16/02/2022,Service charge - ICT,NHSX,PRESCRIBING SERVICES LTD,PCECL623,295451.2,"GPITF Continuity Call Off FY2122 SaaS, API and Compliance",NR10 5RH,Small,,,
Department of Health and Social Care,Department of Health and Social Care,16/02/2022,Service charge - ICT,NHSX,INFORMATICA SYSTEMS LTD,SIN-00013,61241.49,"GPITF Continuity Call Off FY 2122 SaaS, API and Compliance",RH4 9JD,Small,,,
Department of Health and Social Care,Department of Health and Social Care,16/02/2022,Service charge - ICT,NHSX,DXS UK LTD,23538,134783.52,"GPITF Continuity Call off FY2122 SaaS , API and Compliance",GU8 6LB,Small,,,
Department of Health and Social Care,Department of Health and Social Care,14/02/2022,Additions - IT_IDS,NHSX,MARVELL CONSULTING LIMITED,STAN01,132000,Health and Social Care Standards Portal - Phase 1,SE1 0HS,Small,,,
Department of Health and Social Care,Department of Health and Social Care,11/02/2022,Consultancy/Professional Advice,NHSX,CXPARTNERS LTD,INV-1095,36588,Mental Health - Interoprobility,BS1 5UE,Small,,,
Department of Health and Social Care,Department of Health and Social Care,11/02/2022,Consultancy/Professional Advice,NHSX,CXPARTNERS LTD,INV-1094,71820,Physical health checks - Mental Health,BS1 5UE,Small,,,
