Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount ,PO Line Description ,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,
Department of Health and Social Care,Department of Health and Social Care,06/07/2021,Consultancy/Professional Advice,NHSX,2020 DELIVERY LTD TA THE PSC,4672,"129,411.16",,SE1 9LQ,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,16/07/2021,Consultancy/Professional Advice,Global Health,2T SECURITY LTD,449,"529,200.00",,HP6 6BQ,Micro,,,,
Department of Health and Social Care,Department of Health and Social Care,16/07/2021,Consultancy/Professional Advice,Global Health,2T SECURITY LTD,456,"650,475.00",,HP6 6BQ,Micro,,,,
Department of Health and Social Care,Department of Health and Social Care,20/07/2021,Consultancy/Professional Advice,Global Health,4C ASSOCIATES LTD,SIN001595,"3,360.00",,W6 7JP,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,20/07/2021,Consultancy/Professional Advice,Global Health,4C ASSOCIATES LTD,SIN001539,"15,120.00",,W6 7JP,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,20/07/2021,Consultancy/Professional Advice,Global Health,4C ASSOCIATES LTD,SIN001539,"20,520.00",,W6 7JP,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,20/07/2021,Consultancy/Professional Advice,Global Health,4C ASSOCIATES LTD,SIN001595,"33,060.00",,W6 7JP,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,20/07/2021,Consultancy/Professional Advice,Global Health,4C ASSOCIATES LTD,SIN001539,"36,720.00",,W6 7JP,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,20/07/2021,Consultancy/Professional Advice,Global Health,4C ASSOCIATES LTD,SIN001595,"47,520.00",,W6 7JP,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,23/07/2021,Outsourcing Contract,Global Health,4C ASSOCIATES LTD,SIN001580,"335,608.80",,W6 7JP,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,30/07/2021,Outsourcing Contract,Global Health,4C ASSOCIATES LTD,SIN001610,"366,166.80",,W6 7JP,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,12/07/2021,Outsourcing Contract,Global Health,ABBOTT RAPID DIAGNOSTICS LTD,92997898,165,,SK7 5BW,Medium,,,,
Department of Health and Social Care,Department of Health and Social Care,12/07/2021,Outsourcing Contract,Global Health,ABBOTT RAPID DIAGNOSTICS LTD,92874332,300,,SK7 5BW,Medium,,,,
Department of Health and Social Care,Department of Health and Social Care,12/07/2021,Outsourcing Contract,Global Health,ABBOTT RAPID DIAGNOSTICS LTD,92874333,300,,SK7 5BW,Medium,,,,
Department of Health and Social Care,Department of Health and Social Care,12/07/2021,Outsourcing Contract,Global Health,ABBOTT RAPID DIAGNOSTICS LTD,92924896,300,,SK7 5BW,Medium,,,,
Department of Health and Social Care,Department of Health and Social Care,12/07/2021,Outsourcing Contract,Global Health,ABBOTT RAPID DIAGNOSTICS LTD,92997899,300,,SK7 5BW,Medium,,,,
Department of Health and Social Care,Department of Health and Social Care,12/07/2021,Outsourcing Contract,Global Health,ABBOTT RAPID DIAGNOSTICS LTD,92841018,600,,SK7 5BW,Medium,,,,
Department of Health and Social Care,Department of Health and Social Care,12/07/2021,Outsourcing Contract,Global Health,ABBOTT RAPID DIAGNOSTICS LTD,92874330,600,,SK7 5BW,Medium,,,,
Department of Health and Social Care,Department of Health and Social Care,12/07/2021,Outsourcing Contract,Global Health,ABBOTT RAPID DIAGNOSTICS LTD,92940264,600,,SK7 5BW,Medium,,,,
